    0.399964594841003418E+02   -0.153147195395569177E+07   -0.921034037030929298E+01    1
    0.399964177608489990E+02   -0.153146426437341212E+07   -0.921044037030957341E+01    1
    0.399787771701812744E+02   -0.152821483856074885E+07   -0.921054037030962824E+01    1
    0.399777698516845703E+02   -0.152802939299300080E+07   -0.921064037030957117E+01    1
    0.399772286415100098E+02   -0.152792976179649844E+07   -0.921074037030951231E+01    1
    0.399755430221557617E+02   -0.152761947751726187E+07   -0.921084037030956004E+01    1
    0.399738729000091553E+02   -0.152731207699826476E+07   -0.921094037030982626E+01    1
    0.399738061428070068E+02   -0.152729979039702541E+07   -0.921104037030986689E+01    1
    0.399707210063934326E+02   -0.152673202781480039E+07   -0.921114037030979382E+01    1
    0.399687242507934570E+02   -0.152636461795712914E+07   -0.921124037030971543E+01    1
    0.399666380882263184E+02   -0.152598080414051004E+07   -0.921134037030974362E+01    1
    0.399658882617950439E+02   -0.152584286227975902E+07   -0.921144037030999030E+01    1
    0.399648034572601318E+02   -0.152564330718909763E+07   -0.921154037031001316E+01    1
    0.399640333652496338E+02   -0.152550165292430343E+07   -0.921164037030991878E+01    1
    0.399628531932830811E+02   -0.152528457942932192E+07   -0.921174037030982440E+01    1
    0.399626612663269043E+02   -0.152524927903830470E+07   -0.921184037030983660E+01    1
    0.399582552909851074E+02   -0.152443901717279991E+07   -0.921194037030951485E+01    1
    0.399522924423217773E+02   -0.152334278806681070E+07   -0.921204037030952705E+01    1
    0.399518311023712158E+02   -0.152325799029305880E+07   -0.921214037030998156E+01    1
    0.399517226219177246E+02   -0.152323805110761290E+07   -0.921224037030988363E+01    1
    0.399484753608703613E+02   -0.152264125063751615E+07   -0.921234037030934161E+01    1
    0.399451529979705811E+02   -0.152203076853830181E+07   -0.921244037030902518E+01    1
    0.399419033527374268E+02   -0.152143376668369747E+07   -0.921254037030904627E+01    1
    0.399415493011474609E+02   -0.152136872990253428E+07   -0.921264037030951854E+01    1
    0.399411714076995850E+02   -0.152129931507382891E+07   -0.921274037030999970E+01    1
    0.399409878253936768E+02   -0.152126559361502342E+07   -0.921284037030948610E+01    1
    0.399390196800231934E+02   -0.152090409678198374E+07   -0.921294037030920698E+01    1
    0.399386000633239746E+02   -0.152082702972387755E+07   -0.921304037030927248E+01    1
    0.399364364147186279E+02   -0.152042968369704788E+07   -0.921314037030924204E+01    1
    0.399338150024414062E+02   -0.151994834062487399E+07   -0.921324037030922760E+01    1
    0.399302780628204346E+02   -0.151929900942456559E+07   -0.921334037030934105E+01    1
    0.399219298362731934E+02   -0.151776694535998511E+07   -0.921344037030969787E+01    1
    0.399174523353576660E+02   -0.151694555414083740E+07   -0.921354037030985573E+01    1
    0.399153506755828857E+02   -0.151656008429249935E+07   -0.921364037030992655E+01    1
    0.399134218692779541E+02   -0.151620636096868478E+07   -0.921374037030946802E+01    1
    0.399132466316223145E+02   -0.151617422622163012E+07   -0.921384037030914982E+01    1
    0.399096477031707764E+02   -0.151551433690154483E+07   -0.921394037030964519E+01    1
    0.399063229560852051E+02   -0.151490484833834227E+07   -0.921404037030995227E+01    1
    0.399022626876831055E+02   -0.151416069117049640E+07   -0.921414037030962874E+01    1
    0.399013721942901611E+02   -0.151399750792189920E+07   -0.921424037030934606E+01    1
    0.399002659320831299E+02   -0.151379479720525141E+07   -0.921434037030921971E+01    1
    0.398970580101013184E+02   -0.151320705655249511E+07   -0.921444037030936336E+01    1
    0.398955941200256348E+02   -0.151293888729353249E+07   -0.921454037030933470E+01    1
    0.398944616317749023E+02   -0.151273144366572751E+07   -0.921464037030924921E+01    1
    0.398933446407318115E+02   -0.151252685267237318E+07   -0.921474037030921878E+01    1
    0.398925685882568359E+02   -0.151238471702246112E+07   -0.921484037030936243E+01    1
    0.398920691013336182E+02   -0.151229323847018299E+07   -0.921494037030979385E+01    1
    0.398905861377716064E+02   -0.151202165735127078E+07   -0.921504037030951295E+01    1
    0.398901307582855225E+02   -0.151193826675729640E+07   -0.921514037030919297E+01    1
    0.398864078521728516E+02   -0.151125660215821420E+07   -0.921524037030950538E+01    1
    0.398841691017150879E+02   -0.151084676065962762E+07   -0.921534037030945363E+01    1
    0.398777627944946289E+02   -0.150967428382146847E+07   -0.921544037030915142E+01    1
    0.398771297931671143E+02   -0.150955845716998400E+07   -0.921554037030927198E+01    1
    0.398741888999938965E+02   -0.150902039049702999E+07   -0.921564037030937300E+01    1
    0.398685944080352783E+02   -0.150799708538750326E+07   -0.921574037030957349E+01    1
    0.398659396171569824E+02   -0.150751161114975787E+07   -0.921584037030942937E+01    1
    0.398636293411254883E+02   -0.150708920098841167E+07   -0.921594037030905611E+01    1
    0.398635244369506836E+02   -0.150707002174609900E+07   -0.921604037030913048E+01    1
    0.398630225658416748E+02   -0.150697826819583285E+07   -0.921614037030920841E+01    1
    0.398621380329132080E+02   -0.150681656208748301E+07   -0.921624037030940890E+01    1
    0.398620581626892090E+02   -0.150680196101962519E+07   -0.921634037030984743E+01    1
    0.398610079288482666E+02   -0.150660997445461387E+07   -0.921644037030952390E+01    1
    0.398597609996795654E+02   -0.150638204715103260E+07   -0.921654037030911333E+01    1
    0.398568809032440186E+02   -0.150585565764171327E+07   -0.921664037030929251E+01    1
