# Columns:
# 0 index: running object index
# 1 z_or_mu: distance modulus mu for anchor objects, redshift z for non-anchor HII galaxies
# 2 e_z_or_e_mu: uncertainty in distance modulus or redshift
# 3 log_sigma: log10 ionised-gas velocity dispersion, sigma in km/s
# 4 e_log_sigma: uncertainty in log_sigma
# 5 log_f_Hbeta: log10 extinction-corrected Hbeta flux, in erg/s/cm^2
# 6 e_log_f_Hbeta: uncertainty in log_f_Hbeta
# 7 origin_id: numerical identifier of the data origin/subsample
# 8 GEHR_id: (Holman) Additional field to make arrangements to GEHR analysis
# origin_id meaning:
# 0: Local anchor sample, 36 nearby GEHRs/HII regions with independent Cepheid or TRGB distance moduli, from Fernandez-Arenas et al. 2018 and references therein.
# 1: Low-redshift HII galaxies, 0.01 <= z <= 0.15, from Chavez et al. 2014.
# 2: Intermediate-redshift HII galaxies, mainly 0.6 <= z <= 4, compiled from Erb et al. 2006, Masters et al. 2014, and Maseda et al. 2014.
# 3: VLT/X-shooter intermediate-redshift HII galaxies from Terlevich et al. 2015.
# 4: Keck/MOSFIRE intermediate-redshift HII galaxies from Gonzalez-Moran et al. 2019.
# 5: VLT/KMOS intermediate-redshift HII galaxies from Gonzalez-Moran et al. 2021.
# 6: High-redshift JWST/NIRSpec HII galaxies from D'Eugenio et al. 2024, homogenised and analysed in Chavez et al. 2025.
# 7: High-redshift HII galaxies from VUDS/VANDELS, Llerena et al. 2023, homogenised and analysed in Chavez et al. 2025.
# 8: New very-high-redshift subsample analysed in the present paper, including JWST/NIRSpec objects and ALMA+JWST/MIRI objects extending to z ~ 14.
index,z_or_mu,e_z_or_e_mu,log_sigma,e_log_sigma,log_f_Hbeta,e_log_f_Hbeta,origin_id,GEHR_id
145 , 2.1814 , 0.021814 , 1.845098 , 0.093000001 , -16.54766950333468 , 0.055143126874086644 , 2.0 ,N/A
146 , 2.1816 , 0.021816 , 1.7853298 , 0.028459015 , -16.089031654309032 , 0.04841090769040884 , 2.0 ,N/A
147 , 2.1558 , 0.021558 , 1.8750613 , 0.046293334 , -16.108336809504422 , 0.04977144915117041 , 2.0 ,N/A
148 , 2.2473 , 0.022473 , 1.90309 , 0.075949999 , -16.396401828004034 , 0.05437495406708838 , 2.0 ,N/A
149 , 2.1735 , 0.021735 , 1.8076242 , 0.0088551799 , -16.255782887110573 , 0.05143474678681911 , 3.0 ,N/A
150 , 2.0138 , 0.020138 , 1.8692317 , 0.09383784 , -16.723760762390363 , 0.06294219565018475 , 2.0 ,N/A
151 , 2.2664 , 0.022664 , 1.7923917 , 0.083999997 , -16.50463487110948 , 0.05392874428342802 , 2.0 ,N/A
152 , 2.03 , 0.0203 , 1.69897 , 0.034719999 , -16.08278270503203 , 0.048399299406743417 , 2.0 ,N/A
153 , 0.636427 , 0.00636427 , 1.6157922 , 0.0099147692 , -15.576750001345282 , 0.183202939912294 , 3.0 ,N/A
154 , 0.85089 , 0.0085089 , 1.7026257 , 0.045037569 , -15.586747338355272 , 0.1832183080839428 , 3.0 ,N/A
155 , 0.681622 , 0.00681622 , 1.5586119 , 0.011237193 , -15.745478242446145 , 0.18141274819176603 , 3.0 ,N/A
156 , 1.472 , 0.01472 , 1.5646498 , 0.097585303 , -16.575698226934925 , 0.12536501642423253 , 2.0 ,N/A
157 , 1.412 , 0.01412 , 1.6747086 , 0.082058667 , -16.714362988049984 , 0.4276996719865046 , 2.0 ,N/A
158 , 1.3 , 0.013 , 1.6945227 , 0.044334292 , -16.076622396327213 , 0.05610871538044185 , 2.0 ,N/A
159 , 1.444 , 0.01444 , 1.8331649 , 0.044861579 , -16.179692718040087 , 0.05334131910940898 , 2.0 ,N/A
160 , 1.504 , 0.01504 , 1.8374324 , 0.065817584 , -16.095371832340053 , 0.06346153133934974 , 2.0 ,N/A
161 , 1.543 , 0.01543 , 1.654137 , 0.039147878 , -16.247545231631726 , 0.05233415530281629 , 2.0 ,N/A
162 , 1.61 , 0.0161 , 1.7490635 , 0.039090095 , -16.34354952067876 , 0.04895319531363322 , 2.0 ,N/A
163 , 2.158 , 0.02158 , 1.8137914 , 0.040282173 , -16.254399047972942 , 0.059953565154646726 , 2.0 ,N/A
164 , 2.165 , 0.02165 , 1.8685482 , 0.041347517 , -16.390691518802644 , 0.050327437047385314 , 2.0 ,N/A
165 , 2.177 , 0.02177 , 1.8294762 , 0.038851385 , -16.338489721909355 , 0.051224106252978706 , 2.0 ,N/A
166 , 2.191 , 0.02191 , 1.7669444 , 0.062620045 , -16.67140353880461 , 0.06465046048927191 , 2.0 ,N/A
167 , 2.215 , 0.02215 , 1.6426649 , 0.040199792 , -16.699994040432614 , 0.05082333505499077 , 2.0 ,N/A
168 , 2.234 , 0.02234 , 1.7089084 , 0.042885929 , -16.444293448077396 , 0.0512039454255907 , 2.0 ,N/A
169 , 2.264 , 0.02264 , 1.8368251 , 0.044484596 , -16.105059099743183 , 0.04811094111102227 , 2.0 ,N/A
170 , 2.315 , 0.02315 , 1.7009654 , 0.043679638 , -16.48305554553654 , 0.04979652250834679 , 2.0 ,N/A
171 , 2.42935 , 0.0004 , 1.7854010249923875 , 0.025011986261650573 , -16.423456379468412 , 0.10427994884726419 , 4.0 ,N/A
172 , 1.35915 , 0.0004 , 1.78813169001 , 0.0463492501839 , -16.663695094268277 , 0.08835966328859701 , 4.0 ,N/A
173 , 1.61126 , 0.0004 , 1.76908655673 , 0.0754721531742 , -17.0673 , 0.153912 , 4.0 ,N/A
174 , 1.66582 , 0.0004 , 1.75387017739 , 0.0304130148251 , -16.4788 , 0.0734876 , 4.0 ,N/A
175 , 1.60012 , 0.0004 , 1.65042440279 , 0.0519198988724 , -17.03 , 0.130101 , 4.0 ,N/A
176 , 2.18561 , 0.0004 , 1.8156441491319653 , 0.010169823645948836 , -16.3077 , 0.126795 , 4.0 ,N/A
177 , 1.68144 , 0.0004 , 1.76536513378 , 0.0797419763646 , -16.749279159559656 , 0.10250817911691502 , 4.0 ,N/A
178 , 1.61136 , 0.0004 , 1.82913853235 , 0.0352537155068 , -16.496605066952263 , 0.07972653942495767 , 4.0 ,N/A
179 , 1.6482 , 0.0004 , 1.62747868947 , 0.0163552935103 , -16.35507709829215 , 0.06898458394843998 , 4.0 ,N/A
180 , 1.44327 , 0.0004 , 1.44692951253 , 0.0848840977127 , -17.007381801301847 , 0.10354732165326888 , 4.0 ,N/A
181 , 1.4366 , 0.0004 , 1.61705383062 , 0.0249542867113 , -16.6702 , 0.106274 , 4.0 ,N/A
182 , 1.64914 , 0.0004 , 1.82054993983 , 0.0265238518853 , -16.1593 , 0.0562743 , 4.0 ,N/A
183 , 1.58196 , 0.0004 , 1.72651353144 , 0.0389866330302 , -16.869185790465327 , 0.08645678198403789 , 4.0 ,N/A
184 , 1.41204 , 0.0004 , 1.65525005783 , 0.0222175237208 , -16.35087020779853 , 0.07212105401195844 , 4.0 ,N/A
185 , 1.65538 , 0.0004 , 1.50229320006 , 0.0460376563769 , -16.622899963673706 , 0.0794235769345298 , 4.0 ,N/A
186 , 1.495 , 0.0004 , 1.79245 , 0.043434 , -16.7643 , 0.104118 , 5.0 ,N/A
187 , 1.672 , 0.0004 , 1.72554 , 0.0564906 , -16.7594 , 0.117521 , 5.0 ,N/A
188 , 1.665 , 0.0004 , 1.74361 , 0.0442733 , -16.7253 , 0.094743 , 5.0 ,N/A
189 , 1.738 , 0.0004 , 1.72074 , 0.0672796 , -16.8947 , 0.118359 , 5.0 ,N/A
190 , 1.768 , 0.0004 , 1.59316 , 0.0465453 , -16.9191 , 0.0887971 , 5.0 ,N/A
191 , 1.639 , 0.0004 , 1.80992 , 0.0405997 , -16.6945 , 0.0896061 , 5.0 ,N/A
192 , 1.663 , 0.0004 , 1.67754 , 0.0727585 , -17.0724 , 0.154306 , 5.0 ,N/A
193 , 1.669 , 0.0004 , 1.58277 , 0.073722 , -17.0138 , 0.0780469 , 5.0 ,N/A
194 , 1.738 , 0.0004 , 1.6848 , 0.0637131 , -16.644 , 0.0872419 , 5.0 ,N/A
195 , 1.68 , 0.0004 , 1.76107 , 0.0559043 , -16.7676 , 0.0801701 , 5.0 ,N/A
196 , 1.716 , 0.0004 , 1.51442 , 0.0626732 , -16.6823 , 0.0965598 , 5.0 ,N/A
197 , 1.687 , 0.0004 , 1.74297 , 0.0176376 , -16.3389 , 0.0579201 , 5.0 ,N/A
198 , 1.769 , 0.0004 , 1.8063 , 0.0429843 , -16.4718 , 0.0875148 , 5.0 ,N/A
199 , 1.738 , 0.0004 , 1.61827 , 0.0628206 , -16.9894 , 0.0923806 , 5.0 ,N/A
200 , 1.731 , 0.0004 , 1.57846 , 0.0847786 , -17.0112 , 0.100981 , 5.0 ,N/A
201 , 2.288 , 0.0004 , 1.792407 , 0.0270778 , -16.3029 , 0.02589812455620523 , 5.0 ,N/A
202 , 2.232 , 0.0004 , 1.8477937026855624 , 0.033903967826411835 , -16.5478 , 0.117515 , 5.0 ,N/A
203 , 2.112 , 0.0004 , 1.8172495296595133 , 0.08377754321993526 , -16.7787 , 0.232347 , 5.0 ,N/A
204 , 2.232 , 0.0004 , 1.6828569350260985 , 0.07362054746352455 , -16.7666 , 0.188191 , 5.0 ,N/A
205 , 2.114 , 0.0004 , 1.6735894893965821 , 0.033566001302332886 , -16.367 , 0.0895158 , 5.0 ,N/A
206 , 2.545 , 0.0004 , 1.8067907749910863 , 0.03425692039900584 , -16.5955 , 0.0773063 , 5.0 ,N/A
207 , 2.172 , 0.0004 , 1.773518668816286 , 0.0461848032013572 , -16.1497 , 0.0501355 , 5.0 ,N/A
208 , 2.174 , 0.0004 , 1.7101309274279366 , 0.0465719704145483 , -16.6057 , 0.0522656 , 5.0 ,N/A
209 , 2.178 , 0.0004 , 1.8211686168233536 , 0.056156591371032405 , -16.5477 , 0.0551431 , 5.0 ,N/A
210 , 2.34 , 0.0004 , 1.726864900389242 , 0.03506357091080468 , -16.5047 , 0.0879931 , 5.0 ,N/A
211 , 2.378 , 0.0004 , 1.638424825275046 , 0.057518990677658165 , -16.5461 , 0.111427 , 5.0 ,N/A
212 , 2.298 , 0.0004 , 1.830158967290999 , 0.010044879092106662 , -16.189600846153137 , 0.13315807749806613 , 5.0 ,N/A
213 , 2.198 , 0.0004 , 1.6548592799792545 , 0.02033051781795311 , -16.49714249040161 , 0.15035704933561678 , 5.0 ,N/A
214 , 2.22 , 0.0004 , 1.7249518522725573 , 0.0228503770765547 , -16.45626850573228 , 0.2508972091075452 , 5.0 ,N/A
215 , 1.4774 , 0.014774 , 1.7557067 , 0.0073498289 , -15.8168 , 0.0583603 , 3.0 ,N/A
216 , 2.3052 , 0.023052 , 1.7606781 , 0.0062858989 , -16.2371 , 0.0760927 , 3.0 ,N/A
217 , 5.56616 , 0.00011 , 1.731287637106479 , 0.016466631970289563 , -17.640378160410393 , 0.21223405137902593 , 6.0 ,N/A
218 , 5.50411 , 7e-05 , 1.7852822105045478 , 0.014475846892451098 , -18.14442027749828 , 0.19747368926825817 , 6.0 ,N/A
219 , 5.88979 , 8e-05 , 1.6223271596530495 , 0.018973479758331586 , -18.113533077693248 , 0.26711105749939906 , 6.0 ,N/A
220 , 5.79912 , 7e-05 , 1.6212870434031421 , 0.010900167582975536 , -17.86159560631962 , 0.11204690423146649 , 6.0 ,N/A
221 , 7.43173 , 0.00015 , 1.868382740286045 , 0.023609865597895706 , -17.62477904306533 , 0.38611788678609427 , 6.0 ,N/A
222 , 2.471 , 0.00024710000000000004 , 1.7064617376313547 , 0.02193049705192052 , -16.34696525160951 , 0.14026031729203653 , 7.0 ,N/A
223 , 3.0679 , 0.00030679 , 1.709948016510761 , 0.031023436135190454 , -16.551695158437962 , 0.14696694986313 , 7.0 ,N/A
224 , 2.4935 , 0.00024935 , 1.7396514437093769 , 0.09415147765559494 , -16.619522740972204 , 0.41778230120023885 , 7.0 ,N/A
225 , 3.4993 , 0.00034993 , 1.7605732539443941 , 0.08475054137354676 , -16.417322753900113 , 0.14161352324336654 , 7.0 ,N/A
226 , 2.2247 , 0.00022247 , 1.7786576319473553 , 0.027708652311029446 , -16.05022542423596 , 0.07919616056321424 , 7.0 ,N/A
227 , 2.5457 , 0.00025457 , 1.7871769924705538 , 0.01708551602362087 , -16.306552600861806 , 0.0718860232452192 , 7.0 ,N/A
228 , 3.3076 , 0.00033076 , 1.8416722500736344 , 0.013893255928445649 , -16.719071185595432 , 0.15436455583857833 , 7.0 ,N/A
229 , 3.4205 , 0.00034205000000000005 , 1.844849800806639 , 0.016747710830492923 , -16.310898634634256 , 0.15940943497012552 , 7.0 ,N/A        
230 , 2.3174 , 0.00023174000000000003 , 1.849726444196328 , 0.01564639537780624 , -16.37134651516793 , 0.08439673373480779 , 7.0 ,N/A
231 , 6.92889 , 0.000692889 , 1.6823981206352 , 0.06001080813162883 , -17.834743871939374 , 0.1861836946876443 , 8.0 ,N/A
232 , 6.32705 , 0.000632705 , 1.630287570073842 , 0.05239868837278783 , -18.431798275933005 , 0.18433451820017152 , 8.0 ,N/A
233 , 5.82084 , 0.000582084 , 1.5027164995947835 , 0.04903196712199866 , -18.67778070526608 , 0.08272275845776224 , 8.0 ,N/A
234 , 5.91983 , 0.000591983 , 1.8186803678761436 , 0.013684664733006701 , -17.132775864498456 , 0.0679745030107212 , 8.0 ,N/A
235 , 5.763 , 0.0005763 , 1.741824588030661 , 0.021425109816086012 , -17.80278810829886 , 0.19619410395462322 , 8.0 ,N/A
236 , 7.197 , 0.0007197000000000001 , 1.7241385331839778 , 0.042386572082870944 , -18.130768280269024 , 0.05281959915039549 , 8.0 ,N/A
237 , 5.981 , 0.0005981000000000001 , 1.6907652671144964 , 0.0492695413718146 , -18.356547323513812 , 0.10013300841008176 , 8.0 ,N/A
238 , 6.718 , 0.0006718000000000001 , 1.662203388286914 , 0.03633130641703898 , -18.25561643360514 , 0.19345136397192073 , 8.0 ,N/A
239 , 8.479 , 0.0008479 , 1.6855375635033008 , 0.06481249932759396 , -18.744727494896694 , 0.04825494243369464 , 8.0 ,N/A
240 , 6.631 , 0.0006631 , 1.6683172032850744 , 0.032690392631012505 , -18.13202632241748 , 0.05604889058331489 , 8.0 ,N/A
241 , 12.34 , 0.001234 , 1.9219019201200276 , 0.13253578339987915 , -18.058301218609696 , 0.5296224254865345 , 8.0 ,N/A
242 , 14.18 , 0.001418 , 1.6657775571749098 , 0.11559500077999378 , -18.356547323513812 , 0.7197321302666393 , 8.0 ,N/A
243 , 29.15 , 0.0 , 1.2917336 , 0.02151725446 , -11.90018667 , 0.03187085752 , 0.0 ,5.M101
244 , 29.15 , 0.0 , 1.2344576 , 0.02595943574 , -12.30421385 , 0.03150223699 , 0.0 ,5.M101
245 , 24.58 , 0.0 , 1.1308849 , 0.02271098251 , -10.54012053 , 0.02562453765 , 0.0 ,3.M33
246 , 29.8 , 0.0 , 1.1144041 , 0.02739535241 , -13.54489762 , 0.02384603694 , 0.0 ,7.NGC0925
247 , 27.63 , 0.0 , 1.2455455 , 0.01702555493 , -11.5817537 , 0.03013870722 , 0.0 ,8.NGC2366
248 , 27.49 , 0.0 , 1.3043677 , 0.03375996481 , -11.38598765 , 0.01277662194 , 0.0 ,9.NGC2403
249 , 30.35 , 0.0 , 1.22127 , 0.01345330309 , -12.98793548 , 0.01267248315 , 0.0 ,10.NGC2541
250 , 30.65 , 0.0 , 1.2455455 , 0.01230279587 , -12.87856661 , 0.02769698314 , 0.0 ,12.NGC3319
251 , 29.8 , 0.0 , 1.1262528 , 0.01016483189 , -13.50181482 , 0.02493658614 , 0.0 ,15.NGC4258
252 , 28.22 , 0.0 , 1.0219418 , 0.01494941219 , -12.90822449 , 0.03058856655 , 0.0 ,16.NGC4395
