    id    redshift           galex.FUV          galex.FUV_err           galex.NUV          galex.NUV_err        sloan.sdss.u       sloan.sdss.u_err        sloan.sdss.g       sloan.sdss.g_err        sloan.sdss.r       sloan.sdss.r_err        sloan.sdss.i       sloan.sdss.i_err        sloan.sdss.z       sloan.sdss.z_err       ukirt.wfcam.Y      ukirt.wfcam.Y_err       ukirt.wfcam.J      ukirt.wfcam.J_err       ukirt.wfcam.H      ukirt.wfcam.H_err       ukirt.wfcam.K      ukirt.wfcam.K_err             wise.W1            wise.W1_err             wise.W2           wise.W2_err             wise.W3          wise.W3_err             wise.W4  wise.W4_err 
   _1_  0.07368165  0.0513888330424927  0.0026889287923182797  0.0651321175265932  0.0033243425049663193  0.0786071217847452   0.003951387679698656   0.138120383258461   0.006908870882054499   0.113184720561629    0.00566417125179645  0.1881555706630731   0.009415260924894949  0.1340569026335054  0.0068039587528712425  0.0984100114490484   0.005711735265357336  0.0949492264327564   0.005555789682523458  0.1125574134841736    0.00846543860086236  0.0988164309351933   0.007990561852306515  0.0946928219111248    0.00800437869832137  0.1063138756633843  0.012985975737814345  1.3877223009459825  0.18242528829251414  10.326713621302826          nan 
   _2_  0.02324598  0.2282175296393349   0.012050477479068157  0.3144573860524435   0.016019803627626096  0.5713496107193465   0.028619896738590427  1.1848237203336784    0.05925052208117352  1.4523427295811344    0.07262988181642756  1.5976422489090432     0.0799019458503133  1.8457654426402463    0.09246082065619066                 nan                    nan                 nan                    nan                 nan                    nan                 nan                    nan  0.6527050097885577   0.040183893704747085  0.4497694409753481  0.030855750129056465  2.6103772666444955   0.2651553127629327   13.21789153493691          nan 
   _3_  0.05303453  0.0723738425824784   0.004191419176805625  0.0934911206187932  0.0049130724515653625  0.1580330803590107   0.008118159770795667  0.3672959331719664   0.018390172979626473  0.2537496108183963   0.012736141524092784  0.3527751933036948   0.017719364164951634   0.304662563679855   0.016774204306133165                 nan                    nan                 nan                    nan                 nan                    nan                 nan                    nan  0.1542826011145833   0.010487539817909125  0.1462144244826986  0.014039183906246205  1.8823617106963548  0.19879688785530816   12.25637616329066          nan 
   _5_  0.01788816  0.2940789912559042   0.015004143971111644  0.3086426932374668   0.015581987691249523  0.5691529030438052   0.028540037392163996  0.9537908484689864     0.0477100834850274  0.9249569434445372   0.046273498724694676  0.7607793268949431    0.03807781518309087  0.8096930849232254   0.040905356157180196  0.2411232626307992    0.01284832146706611  0.2574491313437815   0.014272654133469675  0.2571424919541834     0.0156940162864599  0.2013860811106425   0.013078960275026561  0.3253244757327909   0.019517845579372244  0.2315210262699475  0.018058763056678397   1.718316219054856   0.1898893243373534  13.451230486739483          nan 
   _6_  0.03755626  0.1037364501949693   0.005515129473684444  0.1012244288798863   0.005216679111245284  0.1261453449640431   0.006327745186462724  0.2334467287514781    0.01167524001425149  0.1630409318786767   0.008157274401929737  0.1822435443046307   0.009120968493583926  0.1792803998745521   0.009091804572180886   0.080433938968596   0.005130470864391174  0.0817130518163452   0.006316081830471031  0.0898203063355184   0.006511903274435366  0.0739996206742486  0.0073983379524836775  0.0770400731894506   0.007216337667913525  0.0623146790576177  0.015300417197251443  0.5038517791284022  0.23570283659438956   4.425497532000696          nan 
   _7_  0.05817448  0.0414070909242992   0.004913295504110634  0.0484211478034153   0.004252642632120904  0.0931795487645782   0.004826074669111633  0.1791948315380222   0.008983595669522181  0.1819447955058333   0.009131930218189005  0.2536437718810861   0.012736992051072737  0.2470442669086852   0.013086470996644659                 nan                    nan                 nan                    nan                 nan                    nan                 nan                    nan  0.1586049894554055   0.010489418422412366  0.1136031917976961  0.013971877761045614  1.4424570005603643   0.1523383954035175   7.515571772419884          nan 
  _11_  0.05662303  0.0479457018056771   0.004774260417463504  0.0500283984366537   0.004050811470554865  0.1078506859572255   0.005483854421838096  0.2423030147984447   0.012131507132345287   0.148001997786629   0.007430665221943524  0.2317386198135243   0.011631872143228552  0.1700509342662414   0.009243418643220628  0.0797700361611697    0.00508812388929625  0.0618716119376963   0.005322326044742359  0.0685763020001286  0.0070760337795352755  0.0739996206742486  0.0075760904027515116  0.1586049894554055   0.010489418422412366  0.2700165385975836   0.01993911778037105   3.141253478887557   0.2115810213480051  14.506482439538884          nan 
  _13_   0.1131638  0.0445430385919265  0.0028720712288046422  0.0568271344762167  0.0031870763945676707   0.063485876259979  0.0032965465083627373  0.0814103528124161   0.004091153379593579  0.0949793377592972   0.004779026882860432  0.1400416313494872   0.007046538701591982  0.0888194773219877   0.005100223232541324                 nan                    nan                 nan                    nan                 nan                    nan                 nan                    nan  0.1021213598038042   0.007403720245122459  0.1294763991630131  0.012027371002720007  1.9710732999677816  0.15235583640235867  11.747949743817724          nan 
  _14_  0.08221846  0.0407502019529596   0.002118399389383522  0.0464415011573919  0.0023587025845046416   0.060895570386848  0.0032937672709826746  0.0923164177819491   0.004653141576536698  0.0524207689103961  0.0027003088335902873  0.1541910305705468  0.0077854560433466185   0.049386456116106   0.004119850316937919                 nan                    nan                 nan                    nan                 nan                    nan                 nan                    nan  0.3932935914356635   0.022294659780646153  0.6197123556481217   0.03626139627344657  3.2832407953591587  0.21131209300332796  13.563199035558654          nan 
  _16_  0.01478385  0.1393828819608875   0.014803499516061025  0.1597168877888939    0.00823643032507416  0.2387981293940668   0.011945532071970013  0.4263687228063444   0.021319528113660037   0.466559433636461    0.02332946063425619  0.4381265314945664   0.021909004248213144  0.4834237356431466   0.024193374751188226  0.1856263886932415   0.010218205523311557  0.1633395786002227   0.010325862161019692  0.1862835298350614   0.011468576910597427  0.1499786958583188   0.010009874961095986  0.2402796169026573   0.014175762513387122  0.1730575077363639   0.01325547937794769  0.8254730464239339  0.11700311563574213   4.028672910498082          nan 
