NUMERO,GALAXY,SURVEY,RA,DEC
1,IC0010,"CDS/P/DSS2/color",5.07205,59.30385
2,IC2574,"CDS/P/DESI-Legacy-Surveys/DR10/color",157.097278,68.412159
3,M33,"CDS/P/SDSS9/color-alt",23.46204,30.66022
4,M81,"CDS/P/SDSS9/color-alt",148.88822,69.06529
5,M101,"CDS/P/SDSS9/color-alt",210.80227,54.34895
6,MRK116,"CDS/P/SDSS9/color-alt",143.50845,55.24107
7,NGC0925,"CDS/P/DSS2/color",36.82016,33.57912
8,NGC2366,"CDS/P/DESI-Legacy-Surveys/DR10/color",112.22542,69.21497
9,NGC2403,"CDS/P/SDSS9/color-alt",114.21374,65.60268
10,NGC2541,"CDS/P/DESI-Legacy-Surveys/DR10/color",123.66728,49.06193
11,NGC3198,"CDS/P/DESI-Legacy-Surveys/DR10/color",154.97918,45.54982
12,NGC3319,"CDS/P/SDSS9/color-alt",159.78939,41.68669
13,NGC4214,"CDS/P/SDSS9/color-alt",183.91321,36.32689
14,NGC4236,"CDS/P/DSS2/color",184.1755,69.462583
15,NGC4258,"CDS/P/SDSS9/color-alt",184.7396,47.30397
16,NGC4395,"CDS/P/DESI-Legacy-Surveys/DR10/color",186.45358,33.54686
17,NGC6822,"CDS/P/DSS2/color",296.24042,-14.80333
18,NGC1073,"CDS/P/DESI-Legacy-Surveys/DR10/color",40.91883,1.37614
19,NGC2500,"CDS/P/SDSS9/color-alt",120.47154,50.73714
20,NGC3184,"CDS/P/SDSS9/color-alt",154.57057,41.42428
21,M96,"CDS/P/SDSS9/color-alt",161.69035,11.82
22,NGC3370,"CDS/P/DESI-Legacy-Surveys/DR10/color",161.76701,17.27378
23,M66,"CDS/P/SDSS9/color-alt",170.06254,12.99161
24,NGC4414,"CDS/P/SDSS9/color-alt",186.61312,31.22353
25,NGC4496A,"CDS/P/SDSS9/color-alt",187.91333,3.93944
26,NGC4535,"CDS/P/SDSS9/color-alt",188.58458,8.19792
27,NGC4536,"CDS/P/SDSS9/color-alt",188.61278,2.18824
28,NGC4725,"CDS/P/SDSS9/color-alt",192.61072,25.50077
29,UGC08091,"CDS/P/DESI-Legacy-Surveys/DR10/color",194.66845,14.21739
30,NGC5204,"CDS/P/SDSS9/color-alt",202.40213,58.41872
31,UGC09128,"CDS/P/DESI-Legacy-Surveys/DR10/color",213.98478,23.05501
32,NGC5584,"CDS/P/SDSS9/color-alt",215.599,-0.38767
33,NGC7331,"CDS/P/SDSS9/color-alt",339.266927,34.415756
