# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      a007
# Description of the table:        Distances
# Object:                          M66
# Display the fields:              $objname,$L,$j2000,$field[modulus],$field[distance],modc,$link[method,method],$link[iref,iref],$link[bibref,bibcode],$link[calib,calib_bibcode],pgc,dataset,bibcode,"calib_bibcode",calibsys
# Description of each column
# $objname: ------------ Name of object
# $j2000: -------------- J2000 coordinates
# $field[modulus]: ----- Distance modulus
# $field[distance]: ---- Linear distance (Mpc)
# modc: ---------------- Distance modulus corrected to standard system
# $link[method,method]:  Distance determination method
# $link[iref,iref]: ---- Code of Bib.Ref.
# $link[bibref,bibcode]:  Bibliographic Reference
# $link[calib,calib_bibcode]:  Calibration relation
# pgc: ----------------- PGC number
# dataset: ------------- <NA>
# bibcode: ------------- <NA>
# calib_bibcode: ------- <NA>
# calibsys: ------------ Calibration system
#--------,------,-------,---------,------,--------,--------,----------,------,--------,----,--------------------,----------------,---------------------,--------------------------,---,-------,-------,---------------,--------
$objname,$j2000,modulus,e_modulus,flimit,fquality,distance,e_distance,flimit,fquality,modc,$link[method_method],$link[iref_iref],$link[bibref_bibcode],$link[calib_calib_bibcode],pgc,dataset,bibcode,"calib_bibcode",calibsys
NGC3627,J112015.0+125930,30.22,0.12,,,11.0662343405007,0.628760391497357,,,30.2199993133545,Cepheids  ,    51557,Saha+1999              ,                               ,34695,51557,1999ApJ...522..802S,,
NGC3627,J112015.0+125930,30.8805,0.831657,,,15.0000043460844,7.00000507604934,,,30.7811886848972,EPM       ,    51832,Eastman+1996           ,EPM:Eastman+1996               ,34695,51832,1996ApJ...466..911E,1996ApJ...466..911E,
NGC3627,J112015.0+125930,29.99,0.08,,,9.95405312431841,0.373559481866824,,,29.9982205254437,PNLF      ,    51545,Ciardullo+2002         ,PNLF:Ciardullo+1989            ,34695,51545,2002ApJ...577...31C,1989ApJ...339...53C,Ciardullo+1989
NGC3627,J112015.0+125930,30.04,0.144,,,10.1859181750856,0.69836928083353,,,29.8622953349966,SNIa      ,    51916,Jha+2007               ,SNIa:Jha+2007                  ,34695,51916,2007ApJ...659..122J,2007ApJ...659..122J,
NGC3627,J112015.0+125930,30.32,0.054,,,11.5877719330214,0.291781351559999,,,30.0352782590515,SNIa      ,    51915,Silverman+2012         ,SNIa:Jha+2007:RV=1.7           ,34695,51915,2012MNRAS.425.1789S,2007ApJ...659..122J,
NGC3627,J112015.0+125930,29.843,0.069,,,9.30250864725972,0.30034104641226,,,29.9405607372275,SNIa      ,    51915,Silverman+2012         ,SNIa:Jha+2007:RV=3.1           ,34695,51915,2012MNRAS.425.1789S,2007ApJ...659..122J,
NGC3627,J112015.0+125930,30.5,0.14,,,12.5892541179417,0.838391719230243,,,30.170855004069,SNIa      ,    51914,Reindl+2005            ,SNIa:Reindl+2005               ,34695,51914,2005ApJ...624..532R,2005ApJ...624..532R,
NGC3627,J112015.0+125930,29.79,0.13,,,9.07820912929857,0.560081445579211,,,29.7578175652135,Sosie     ,    51162,Terry+2002             ,Sosie:Terry+2002               ,34695,51162,2002A&A...393...57T,2002A&A...393...57T,Paturel+2002
NGC3627,J112015.0+125930,29.55,0.45,,,8.12830230578909,1.87169769421091,,,29.4996018574813,TF        ,    51984,Sorce+2014             ,TF:Sorce+2014:MC[3.6]          ,34695,51984,2014MNRAS.444..527S,2014MNRAS.444..527S,
NGC3627,J112015.0+125930,29.51,0.54,,,7.97994771379799,2.25298760196872,,,29.4637660154904,TF        ,    51984,Sorce+2014             ,TF:Sorce+2014:M[3.6]           ,34695,51984,2014MNRAS.444..527S,2014MNRAS.444..527S,
NGC3627,J112015.0+125930,29.67,0.35,,,8.59013551686544,1.50239547148707,,,29.6921786014413,TF        ,    51600,Tully+2008             ,TF:Tully+2008                  ,34695,51600,2008ApJ...676..184T,2008ApJ...676..184T,Freedman+2001
NGC3627,J112015.0+125930,29.82,0.1,,,9.20449442394449,0.433796150933292,,,29.8411082747579,TRGB      ,    51765,Mould+2009             ,TRGB:I=-4.05                   ,34695,51765,2009ApJ...697..996M,,I=-4.05
NGC3627,J112015.0+125930,30.12,0.123693,,,10.568179176539,0.619470562153472,,,30.1225482700595,TRGB      ,    51759,Lee+2013               ,TRGB:Rizzi+2007                ,34695,51759,2013ApJ...773...13L,2007ApJ...661..815R,Rizzi+2007
NGC3627,J112015.0+125930,29.6,0.085,,!,8.31763917221371,0.332045485808658,,!,29.6025478122958,TRGB      ,    52052,Jacobs;+2009           ,TRGB:Rizzi+2007                ,34695,52052,2009AJ....138..332J,2007ApJ...661..815R,
NGC3627,J112015.0+125930,29.6,0.085,,!p,8.31763917221371,0.332045485808658,,!p,29.6025478122958,TRGB      ,    51764,Jacobs+2009            ,TRGB:Rizzi+2007                ,34695,51764,2009AJ....138..332J,2007ApJ...661..815R,Rizzi+2007
NGC3627,J112015.0+125930,30.01,,,c,10.046158961689,,,c,30.0154212667612,Cepheids  ,    51600,Tully+2008             ,Cepheids:Freedman+2001:Z       ,34695,51600,2008ApJ...676..184T,2001ApJ...553...47F,Freedman+2001
NGC3627,J112015.0+125930,30.06,0.17,,c,10.2801604529348,0.83715447626235,,c,30.0599994659424,Cepheids  ,    51384,Ferrarese+2000         ,                               ,34695,51384,2000ApJS..128..431F,,Ferrarese+2000
NGC3627,J112015.0+125930,30.06,,,c,10.2799979187446,,,c,30.059965133667,Cepheids  ,    51160,Karachentsev+2004      ,                               ,34695,51160,2004AJ....127.2031K,,
NGC3627,J112015.0+125930,30.5,,,c,12.5892541179417,,,c,30.5,Cepheids  ,    52014,Tammann+2008           ,                               ,34695,52014,2008A&ARv..15..289T,,
NGC3627,J112015.0+125930,30.41,,,c,12.0781375023453,,,c,30.4099998474121,SNIa      ,    52014,Tammann+2008           ,                               ,34695,52014,2008A&ARv..15..289T,,
#-- end of data table ----------------------------------------------------------
# 41 lines were successfully retrieved
#-------------------------------------------------------------------------------
# Pleinpot version: 8.18.10
# Date: 2026-02-04T01:19:40
