Lambda,OBS,CAL,GD1,GD2,GD3,Syn_mean
3400.0,0.0,1.68748,1.71285,1.69654,1.6943,1.6977925
3401.0,0.0,1.67578,1.6985,1.68259,1.68597,1.68571
3402.0,0.0,1.66765,1.68755,1.67158,1.67848,1.6763150000000002
3403.0,0.0,1.66171,1.67916,1.66306,1.672,1.6689824999999998
3404.0,0.0,1.65679,1.6723,1.65619,1.66664,1.66298
3405.0,0.0,1.65291,1.66689,1.65078,1.66244,1.658255
3406.0,0.0,1.65125,1.66406,1.6477,1.65945,1.655615
3407.0,0.0,1.65257,1.66465,1.64783,1.65755,1.65565
3408.0,0.0,1.65562,1.66747,1.65024,1.65663,1.65749
3409.0,0.0,1.65785,1.66958,1.65215,1.65669,1.6590675000000001
3410.0,0.0,1.65773,1.66874,1.65126,1.65767,1.6588499999999997
3411.0,0.0,1.65609,1.6655,1.64785,1.65952,1.6572400000000003
3412.0,0.0,1.65525,1.66268,1.64467,1.66214,1.656185
3413.0,0.0,1.657,1.66317,1.64468,1.66534,1.6575475000000002
3414.0,0.0,1.6618,1.66817,1.64931,1.66908,1.66209
3415.0,0.0,1.66914,1.67725,1.65816,1.67323,1.669445
3416.0,0.0,1.67808,1.68896,1.66983,1.67765,1.67863
3417.0,0.0,1.68741,1.70141,1.68244,1.68211,1.6883424999999999
3418.0,0.0,1.69565,1.71236,1.69384,1.68638,1.6970574999999999
3419.0,0.0,1.70137,1.71974,1.70192,1.69031,1.703335
3420.0,0.0,1.70391,1.72261,1.70545,1.69377,1.706435
3421.0,0.0,1.70364,1.72163,1.70482,1.69669,1.706695
3422.0,0.0,1.70174,1.71871,1.70181,1.69906,1.70533
3423.0,0.0,1.6998,1.71611,1.69876,1.70086,1.7038825000000002
3424.0,0.0,1.69954,1.71581,1.69782,1.70209,1.703815
3425.0,0.0,1.70223,1.71913,1.70048,1.70274,1.7061449999999998
3426.0,0.0,1.70762,1.72583,1.70682,1.70272,1.7107474999999999
3427.0,0.0,1.71321,1.73327,1.71458,1.70194,1.7157499999999999
3428.0,0.0,1.71547,1.73727,1.71964,1.70025,1.7181575000000002
3429.0,0.0,1.71255,1.73497,1.71867,1.69753,1.7159300000000002
3430.0,0.0,1.70587,1.72718,1.71179,1.69369,1.7096324999999999
3431.0,0.0,1.69913,1.71802,1.70265,1.68859,1.7020975000000003
3432.0,0.0,1.69541,1.71176,1.69569,1.68215,1.6962525
3433.0,0.0,1.6946,1.7093,1.69264,1.67446,1.69275
3434.0,0.0,1.69293,1.70715,1.69089,1.66576,1.6891825
3435.0,0.0,1.68558,1.69969,1.6851,1.65641,1.6816950000000002
3436.0,0.0,1.66987,1.68303,1.6709,1.64683,1.6676574999999998
3437.0,0.0,1.64724,1.65762,1.64769,1.63749,1.64751
3438.0,0.0,1.62249,1.6283,1.61936,1.62879,1.6247350000000003
3439.0,0.0,1.60172,1.60219,1.59256,1.62117,1.6044100000000001
3440.0,0.0,1.58939,1.58526,1.57386,1.615,1.5908775
3441.0,0.0,1.58615,1.57957,1.56631,1.6105,1.5856325
3442.0,0.0,1.58932,1.58295,1.56843,1.60766,1.5870900000000001
3443.0,0.0,1.59582,1.5918,1.57653,1.60628,1.5926075
3444.0,0.0,1.60463,1.60408,1.58813,1.60598,1.6007049999999998
