Lambda,OBS,CAL,GD1,GD2,GD3,Syn_mean
3400.0,0.0,1.10307,1.10461,1.07093,1.09491,1.0933799999999998
3401.0,0.0,1.08926,1.09526,1.05722,1.08148,1.080805
3402.0,0.0,1.07746,1.09075,1.0445,1.06936,1.0705175000000002
3403.0,0.0,1.06828,1.08955,1.03372,1.05937,1.0627299999999997
3404.0,0.0,1.06118,1.08967,1.02506,1.0515,1.0568525
3405.0,0.0,1.05533,1.08967,1.01808,1.04525,1.0520825
3406.0,0.0,1.05062,1.08932,1.0129,1.04055,1.0483475000000002
3407.0,0.0,1.04811,1.08941,1.01022,1.03816,1.046475
3408.0,0.0,1.04874,1.09086,1.01045,1.03843,1.04712
3409.0,0.0,1.05211,1.09367,1.01318,1.04103,1.0499975000000001
3410.0,0.0,1.05619,1.09697,1.01648,1.04425,1.0534724999999998
3411.0,0.0,1.05864,1.09988,1.01844,1.04626,1.055805
3412.0,0.0,1.05868,1.10232,1.01835,1.04639,1.056435
3413.0,0.0,1.05749,1.1046,1.01722,1.0455,1.0562025
3414.0,0.0,1.0573,1.10678,1.01726,1.04557,1.0567275
3415.0,0.0,1.05997,1.10861,1.02032,1.04826,1.05929
3416.0,0.0,1.06612,1.11008,1.02719,1.05431,1.064425
3417.0,0.0,1.07519,1.1116,1.03718,1.0632,1.0717925000000001
3418.0,0.0,1.08558,1.11369,1.04846,1.07336,1.0802725
3419.0,0.0,1.09508,1.11648,1.05871,1.08276,1.0882575
3420.0,0.0,1.10166,1.11971,1.06583,1.08949,1.0941725
3421.0,0.0,1.1043,1.12288,1.0689,1.09262,1.097175
3422.0,0.0,1.10359,1.12546,1.0686,1.09263,1.09757
3423.0,0.0,1.10129,1.12703,1.06667,1.09099,1.096495
3424.0,0.0,1.09943,1.12743,1.06527,1.08963,1.09544
3425.0,0.0,1.09966,1.12708,1.06601,1.09004,1.0956975
3426.0,0.0,1.10276,1.12681,1.06954,1.09294,1.0980124999999998
3427.0,0.0,1.10823,1.12728,1.07524,1.09784,1.1021475
3428.0,0.0,1.11423,1.12825,1.08135,1.10328,1.1067775
3429.0,0.0,1.11803,1.1288,1.0853,1.10689,1.109755
3430.0,0.0,1.11767,1.12834,1.08542,1.10706,1.1096225
3431.0,0.0,1.11347,1.1273,1.08174,1.10381,1.10658
3432.0,0.0,1.10785,1.12681,1.07629,1.09892,1.1024675
3433.0,0.0,1.10355,1.12777,1.07135,1.09453,1.0993
3434.0,0.0,1.10128,1.12991,1.0677,1.09128,1.0975425
3435.0,0.0,1.09914,1.13161,1.06386,1.08791,1.0956299999999999
3436.0,0.0,1.09356,1.13065,1.0568,1.08148,1.0906225
3437.0,0.0,1.082,1.1257,1.0444,1.0701,1.0805500000000001
3438.0,0.0,1.06442,1.11726,1.0264,1.05346,1.065385
3439.0,0.0,1.04383,1.1076,1.00565,1.03424,1.0478299999999998
3440.0,0.0,1.02476,1.09952,0.98604,1.01604,1.03159
3441.0,0.0,1.01133,1.09495,0.9718,1.00266,1.0201850000000001
3442.0,0.0,1.00565,1.094,0.96512,0.99615,1.01523
3443.0,0.0,1.00718,1.09502,0.96617,0.99654,1.0162274999999998
3444.0,0.0,1.0141,1.09597,0.9736,1.00265,1.0215800000000002
3445.0,0.0,1.0247,1.09621,0.98556,1.01278,1.0298125
3446.0,0.0,1.03775,1.09665,1.00017,1.02545,1.040005
3447.0,0.0,1.05122,1.0981,1.0148,1.03834,1.050615
3448.0,0.0,1.0617,1.0994,1.02637,1.04857,1.05901
3449.0,0.0,1.06584,1.09788,1.03186,1.05333,1.0622274999999999
3450.0,0.0,1.06217,1.09202,1.03019,1.05129,1.0589175
3451.0,0.0,1.05308,1.08318,1.02333,1.04439,1.050995
3452.0,0.0,1.04288,1.07457,1.01455,1.03566,1.041915
3453.0,0.0,1.0354,1.06877,1.00746,1.02849,1.03503
3454.0,0.0,1.03186,1.06637,1.00309,1.02404,1.0313400000000001
3455.0,0.0,1.03042,1.06634,1.00038,1.02128,1.0296049999999999
3456.0,0.0,1.0284,1.06708,0.99723,1.01835,1.027765
3457.0,0.0,1.02406,1.06735,0.99217,1.01376,1.0243349999999998
3458.0,0.0,1.01795,1.0669,0.98586,1.00804,1.0196875
3459.0,0.0,1.01238,1.06642,0.98026,1.003,1.015515
3460.0,0.0,1.00999,1.06713,0.97774,1.00075,1.0139025
3461.0,0.0,1.01222,1.06995,0.97954,1.00251,1.016055
3462.0,0.0,1.01848,1.07482,0.98528,1.00791,1.0216225
3463.0,0.0,1.02656,1.08048,0.99293,1.01517,1.028785
3464.0,0.0,1.03384,1.08536,1.00033,1.02209,1.035405
3465.0,0.0,1.03935,1.08854,1.00655,1.02787,1.0405775
3466.0,0.0,1.04348,1.09,1.0116,1.03243,1.0443775
3467.0,0.0,1.04706,1.09009,1.01616,1.0364,1.0474275
3468.0,0.0,1.05018,1.08925,1.01993,1.03962,1.049745
3469.0,0.0,1.05179,1.08793,1.0219,1.04121,1.0507075000000001
3470.0,0.0,1.05053,1.08638,1.02056,1.03993,1.04935
3471.0,0.0,1.04532,1.08475,1.01485,1.03477,1.0449225
3472.0,0.0,1.03617,1.08312,1.00502,1.02594,1.0375625000000002
3473.0,0.0,1.0246,1.08135,0.99281,1.01493,1.0284225
3474.0,0.0,1.0132,1.07898,0.98108,1.00414,1.01935
3475.0,0.0,1.00514,1.07567,0.97307,0.99642,1.0125749999999998
3476.0,0.0,1.00255,1.07153,0.9709,0.99368,1.009665
3477.0,0.0,1.00552,1.0672,0.97454,0.99608,1.010835
3478.0,0.0,1.01197,1.06363,0.98185,1.00187,1.0148300000000001
3479.0,0.0,1.01894,1.06169,0.98985,1.00855,1.0197575
3480.0,0.0,1.02411,1.06154,0.99602,1.01391,1.023895
3481.0,0.0,1.02661,1.06264,0.99952,1.01711,1.02647
3482.0,0.0,1.02751,1.06447,1.00123,1.01888,1.0280225
3483.0,0.0,1.02881,1.06726,1.00296,1.02073,1.0299399999999999
3484.0,0.0,1.03232,1.0717,1.00622,1.02406,1.033575
3485.0,0.0,1.038,1.07787,1.01089,1.02882,1.0388950000000001
3486.0,0.0,1.04367,1.08486,1.01512,1.03334,1.0442475
3487.0,0.0,1.04611,1.0911,1.01627,1.03515,1.0471575
3488.0,0.0,1.04351,1.09516,1.01297,1.03287,1.0461274999999999
3489.0,0.0,1.03685,1.09651,1.00607,1.02712,1.0416375
3490.0,0.0,1.02929,1.09603,0.99829,1.02031,1.0359800000000001
3491.0,0.0,1.02375,1.0954,0.99216,1.01483,1.0315349999999999
3492.0,0.0,1.02091,1.09549,0.98856,1.01158,1.0291350000000001
3493.0,0.0,1.01938,1.09561,0.98658,1.00974,1.0278275
