Lambda,OBS,CAL,GD1,GD2,GD3,Syn_mean
3400.0,0.0,1.11022,1.09613,1.0689,1.05448,1.0824325
3401.0,0.0,1.09706,1.08698,1.05649,1.04148,1.0705025
3402.0,0.0,1.08362,1.08028,1.04151,1.02604,1.0578625
3403.0,0.0,1.0715,1.07617,1.02636,1.01056,1.0461475
3404.0,0.0,1.06138,1.07432,1.01265,0.99677,1.0362799999999999
3405.0,0.0,1.05351,1.07407,1.00133,0.98563,1.028635
3406.0,0.0,1.0479,1.07479,0.99284,0.97741,1.023235
3407.0,0.0,1.04494,1.07618,0.98752,0.97221,1.0202125
3408.0,0.0,1.04459,1.07806,0.98534,0.96995,1.019485
3409.0,0.0,1.04579,1.08036,0.98497,0.96937,1.0201225
3410.0,0.0,1.0467,1.08288,0.98434,0.96861,1.0206325
3411.0,0.0,1.04556,1.08545,0.98154,0.96593,1.01962
3412.0,0.0,1.04262,1.08805,0.97629,0.96097,1.0169825000000001
3413.0,0.0,1.03979,1.0906,0.97095,0.95584,1.0142950000000002
3414.0,0.0,1.03988,1.09298,0.96906,0.95376,1.01392
3415.0,0.0,1.04469,1.09508,0.97364,0.9576,1.0177525
3416.0,0.0,1.05438,1.09688,0.98537,0.96827,1.0262250000000002
3417.0,0.0,1.06748,1.09858,1.00237,0.98447,1.038225
3418.0,0.0,1.08162,1.10031,1.02097,1.00325,1.0515374999999998
3419.0,0.0,1.0941,1.10226,1.03698,1.02107,1.0636025
3420.0,0.0,1.10269,1.10454,1.04737,1.03481,1.0723525
3421.0,0.0,1.10634,1.10711,1.05098,1.04254,1.0767425
3422.0,0.0,1.10579,1.10979,1.04898,1.04425,1.0772025
3423.0,0.0,1.1031,1.11228,1.04441,1.04212,1.0754774999999999
3424.0,0.0,1.101,1.1143,1.04079,1.03934,1.0738575000000001
3425.0,0.0,1.10162,1.11575,1.0409,1.03927,1.074385
3426.0,0.0,1.10607,1.11668,1.04602,1.04379,1.0781399999999999
3427.0,0.0,1.11355,1.11727,1.05512,1.05237,1.0845775
3428.0,0.0,1.12171,1.11767,1.06519,1.06231,1.09172
3429.0,0.0,1.12697,1.11797,1.07236,1.06992,1.0968049999999998
3430.0,0.0,1.1268,1.11827,1.07329,1.0715,1.0974650000000001
3431.0,0.0,1.1211,1.11877,1.06741,1.06602,1.0933249999999999
3432.0,0.0,1.11247,1.11951,1.05738,1.05561,1.0862425
3433.0,0.0,1.10438,1.12041,1.04697,1.04401,1.0789425
3434.0,0.0,1.09845,1.12122,1.03822,1.03375,1.0729099999999998
3435.0,0.0,1.09346,1.12146,1.03016,1.02457,1.0674125
3436.0,0.0,1.08565,1.12058,1.01906,1.01345,1.059685
3437.0,0.0,1.07184,1.11834,1.00123,0.99631,1.04693
3438.0,0.0,1.05094,1.11493,0.97568,0.97161,1.02829
3439.0,0.0,1.0258,1.11105,0.94512,0.94128,1.0058125
3440.0,0.0,1.0014,1.10733,0.91529,0.91069,0.9836775
3441.0,0.0,0.98336,1.10443,0.89224,0.88573,0.9664400000000001
3442.0,0.0,0.97494,1.10248,0.88044,0.87143,0.9573225000000001
3443.0,0.0,0.97645,1.10132,0.88111,0.8697,0.957145
3444.0,0.0,0.98611,1.10051,0.89264,0.8796,0.964715
3445.0,0.0,1.00155,1.09958,0.91219,0.89867,0.9779975
