Lambda,OBS,CAL,GD1,GD2,GD3,Syn_mean
3400.0,0.0,1.71188,1.68326,1.66769,1.65922,1.6805124999999999
3401.0,0.0,1.69596,1.66643,1.65088,1.64345,1.66418
3402.0,0.0,1.68243,1.65222,1.6373,1.6313,1.6508124999999998
3403.0,0.0,1.67198,1.6412,1.6272,1.6226,1.6407450000000001
3404.0,0.0,1.6644,1.63287,1.61983,1.61659,1.6334225
3405.0,0.0,1.65901,1.6265,1.61427,1.61216,1.6279850000000002
3406.0,0.0,1.65529,1.62201,1.61004,1.60903,1.6240925
3407.0,0.0,1.65317,1.61938,1.60754,1.60735,1.62186
3408.0,0.0,1.65261,1.6188,1.60721,1.60733,1.6214875
3409.0,0.0,1.65329,1.6199,1.60869,1.60875,1.6226574999999999
3410.0,0.0,1.65449,1.62115,1.61072,1.61038,1.624185
3411.0,0.0,1.65539,1.62159,1.61157,1.61129,1.6249600000000002
3412.0,0.0,1.65581,1.6209,1.61099,1.61131,1.6247525
3413.0,0.0,1.65617,1.61999,1.60996,1.61119,1.6243275
3414.0,0.0,1.65727,1.62051,1.61025,1.61226,1.6250725
3415.0,0.0,1.65982,1.62353,1.61312,1.61514,1.6279025
3416.0,0.0,1.66405,1.62944,1.61875,1.62,1.6330600000000002
3417.0,0.0,1.6698,1.63765,1.62662,1.62629,1.64009
3418.0,0.0,1.67649,1.64707,1.6356,1.63328,1.64811
3419.0,0.0,1.68334,1.65636,1.64442,1.64011,1.6560575
3420.0,0.0,1.68948,1.66406,1.65171,1.64585,1.6627750000000001
3421.0,0.0,1.69421,1.66923,1.65652,1.64986,1.667455
3422.0,0.0,1.69717,1.67158,1.65857,1.65188,1.6698000000000002
3423.0,0.0,1.69852,1.67167,1.65847,1.65225,1.6702275000000002
3424.0,0.0,1.69886,1.67083,1.65742,1.65174,1.6697125000000002
3425.0,0.0,1.69903,1.67052,1.65685,1.65146,1.6694650000000002
3426.0,0.0,1.6998,1.67191,1.65801,1.65229,1.6705025
3427.0,0.0,1.70148,1.67535,1.66125,1.65454,1.673155
3428.0,0.0,1.70365,1.6796,1.66567,1.65746,1.6765950000000003
3429.0,0.0,1.70522,1.68257,1.66909,1.65941,1.6790725
3430.0,0.0,1.70517,1.68264,1.66943,1.65914,1.679095
3431.0,0.0,1.70324,1.67933,1.66621,1.65642,1.6763000000000001
3432.0,0.0,1.70002,1.67396,1.66095,1.65252,1.6718625
3433.0,0.0,1.69648,1.66869,1.65617,1.64913,1.6676175
3434.0,0.0,1.69306,1.66453,1.65309,1.6469,1.6643949999999998
3435.0,0.0,1.68904,1.66027,1.65067,1.64446,1.6611099999999999
3436.0,0.0,1.68272,1.65334,1.64551,1.63936,1.6552324999999999
3437.0,0.0,1.6726,1.6411,1.63484,1.62927,1.6444524999999999
3438.0,0.0,1.65837,1.62304,1.61747,1.61399,1.6282175
3439.0,0.0,1.64152,1.60118,1.59607,1.59569,1.6086150000000001
3440.0,0.0,1.62473,1.57974,1.57478,1.57807,1.58933
3441.0,0.0,1.61093,1.56305,1.55846,1.56484,1.5743200000000002
3442.0,0.0,1.60201,1.55343,1.54953,1.55757,1.565635
3443.0,0.0,1.59835,1.55119,1.54789,1.5561,1.5633825
3444.0,0.0,1.59913,1.55476,1.55161,1.55855,1.5660125
3445.0,0.0,1.60307,1.56254,1.55857,1.56356,1.571935
3446.0,0.0,1.60902,1.57293,1.56792,1.57017,1.58001
3447.0,0.0,1.61557,1.58425,1.5784,1.57732,1.588885
3448.0,0.0,1.62096,1.59389,1.58773,1.58331,1.5964725000000002
3449.0,0.0,1.62312,1.59848,1.59253,1.58511,1.59981
3450.0,0.0,1.62072,1.5966,1.59017,1.58141,1.597225
3451.0,0.0,1.61422,1.5888,1.58165,1.57288,1.5893875
