Lambda,OBS,CAL,GD1,GD2,GD3,Syn_mean
3400.0,0.0,1.97636,2.02593,1.97431,1.95029,1.9817224999999998
3401.0,0.0,1.95942,2.00823,1.95712,1.9332,1.9644925
3402.0,0.0,1.9495,1.99675,1.94612,1.92208,1.9536125
3403.0,0.0,1.94428,1.9894,1.93935,1.91542,1.9471125
3404.0,0.0,1.94091,1.98427,1.93465,1.911,1.9427075
3405.0,0.0,1.93775,1.98012,1.93066,1.90748,1.9390025
3406.0,0.0,1.93519,1.97713,1.9277,1.90496,1.936245
3407.0,0.0,1.93452,1.97622,1.9269,1.90416,1.9354500000000001
3408.0,0.0,1.93637,1.97748,1.92844,1.90544,1.9369325000000002
3409.0,0.0,1.93963,1.9798,1.93127,1.90789,1.9396475
3410.0,0.0,1.94208,1.98139,1.93326,1.90982,1.9416375
3411.0,0.0,1.94259,1.98116,1.93316,1.91028,1.9417975
3412.0,0.0,1.94183,1.97981,1.93175,1.90957,1.94074
3413.0,0.0,1.94139,1.97893,1.93075,1.9091,1.9400425000000001
3414.0,0.0,1.9426,1.98012,1.93204,1.91031,1.9412675
3415.0,0.0,1.94585,1.98427,1.93632,1.91374,1.945045
3416.0,0.0,1.95107,1.99094,1.94337,1.91947,1.9512125
3417.0,0.0,1.95763,1.99944,1.95224,1.9266,1.9589775
3418.0,0.0,1.96464,2.00796,1.96123,1.9342,1.9670075
3419.0,0.0,1.97101,2.01532,1.96887,1.94088,1.9740199999999999
3420.0,0.0,1.97589,2.02018,1.97399,1.94587,1.9789824999999999
3421.0,0.0,1.97885,2.02256,1.97641,1.94866,1.98162
3422.0,0.0,1.98004,2.02273,1.97662,1.94961,1.98225
3423.0,0.0,1.9798,2.02171,1.97562,1.94917,1.9815749999999999
3424.0,0.0,1.97864,2.02031,1.97429,1.94817,1.9803525
3425.0,0.0,1.97752,2.01964,1.9737,1.94745,1.9795775
3426.0,0.0,1.97756,2.02037,1.97474,1.94788,1.9801375
3427.0,0.0,1.97911,2.02246,1.97729,1.94947,1.9820825
3428.0,0.0,1.98099,2.02433,1.9799,1.95117,1.9840975
3429.0,0.0,1.98094,2.02417,1.98026,1.95113,1.984125
3430.0,0.0,1.97788,2.02081,1.97706,1.94852,1.9810675
3431.0,0.0,1.97299,2.01559,1.97168,1.94408,1.9760849999999999
3432.0,0.0,1.96891,2.01075,1.96675,1.93999,1.9716
3433.0,0.0,1.96749,2.00787,1.96417,1.93764,1.9692925000000001
3434.0,0.0,1.96755,2.00567,1.96288,1.93614,1.96806
3435.0,0.0,1.96508,2.00081,1.95897,1.93234,1.9643
3436.0,0.0,1.95616,1.98975,1.94866,1.92311,1.95442
3437.0,0.0,1.93976,1.97209,1.93104,1.9074,1.9375725
3438.0,0.0,1.919,1.95036,1.909,1.88778,1.916535
3439.0,0.0,1.89918,1.92978,1.88797,1.86854,1.8963675000000002
3440.0,0.0,1.88501,1.91448,1.87252,1.85408,1.8815225
3441.0,0.0,1.87825,1.90645,1.86482,1.84616,1.87392
3442.0,0.0,1.87725,1.90451,1.86341,1.84393,1.8722750000000001
3443.0,0.0,1.87862,1.90582,1.86539,1.84487,1.873675
3444.0,0.0,1.87981,1.90849,1.86832,1.84672,1.875835
3445.0,0.0,1.88095,1.91169,1.87175,1.84916,1.8783874999999997
3446.0,0.0,1.88324,1.91604,1.87653,1.8523,1.8820275
3447.0,0.0,1.88659,1.92038,1.88156,1.85579,1.88608
3448.0,0.0,1.88799,1.92198,1.88426,1.85707,1.887825
3449.0,0.0,1.8834,1.91818,1.88104,1.85337,1.8839975
3450.0,0.0,1.8723,1.90829,1.8712,1.84424,1.8740075
3451.0,0.0,1.85809,1.89551,1.85815,1.83183,1.860895
3452.0,0.0,1.84536,1.88353,1.84601,1.82016,1.8487649999999998
3453.0,0.0,1.83689,1.87492,1.8377,1.81159,1.8402749999999999
3454.0,0.0,1.83232,1.86946,1.83283,1.80626,1.8352175
3455.0,0.0,1.82939,1.86512,1.82904,1.80245,1.8315000000000001
3456.0,0.0,1.82579,1.85998,1.82431,1.79821,1.8270725
3457.0,0.0,1.82064,1.85373,1.81798,1.79296,1.8213275
3458.0,0.0,1.81532,1.84773,1.81173,1.78785,1.8156575
3459.0,0.0,1.81246,1.84478,1.8084,1.78503,1.8126674999999999
3460.0,0.0,1.81415,1.84646,1.81022,1.78653,1.81434
3461.0,0.0,1.82078,1.8533,1.81726,1.79244,1.820945
3462.0,0.0,1.83042,1.8624,1.82721,1.8012,1.8303075
3463.0,0.0,1.83929,1.87156,1.83686,1.80964,1.8393374999999998
3464.0,0.0,1.84524,1.87783,1.84341,1.81615,1.8456575000000002
3465.0,0.0,1.84831,1.88168,1.84739,1.81974,1.8492799999999998
3466.0,0.0,1.84945,1.88363,1.84941,1.82166,1.8510375
3467.0,0.0,1.84956,1.88454,1.8507,1.8223,1.8517750000000002
3468.0,0.0,1.84874,1.88427,1.85084,1.82184,1.8514225
3469.0,0.0,1.84632,1.88168,1.84882,1.81958,1.8491
3470.0,0.0,1.84143,1.87632,1.84377,1.81481,1.8440824999999998
3471.0,0.0,1.83429,1.86792,1.83549,1.80772,1.836355
3472.0,0.0,1.82593,1.85771,1.82529,1.79887,1.82695
3473.0,0.0,1.81714,1.8469,1.81447,1.7895,1.8170025
3474.0,0.0,1.80859,1.8369,1.80445,1.78049,1.8076075
3475.0,0.0,1.80088,1.82859,1.79624,1.77266,1.7995925000000002
3476.0,0.0,1.79437,1.82261,1.79045,1.76649,1.79348
3477.0,0.0,1.78947,1.81904,1.78715,1.7623,1.7894899999999998
3478.0,0.0,1.78655,1.81764,1.7861,1.76011,1.7876
3479.0,0.0,1.78562,1.81781,1.78664,1.75963,1.7874249999999998
3480.0,0.0,1.78612,1.81891,1.78801,1.76036,1.7883499999999999
3481.0,0.0,1.78762,1.82077,1.78994,1.76209,1.7901049999999998
3482.0,0.0,1.79055,1.82415,1.79321,1.76527,1.793295
3483.0,0.0,1.79617,1.83011,1.79908,1.77084,1.7990499999999998
3484.0,0.0,1.80496,1.83866,1.808,1.77898,1.80765
3485.0,0.0,1.81529,1.84851,1.8184,1.78844,1.81766
3486.0,0.0,1.82446,1.85664,1.82718,1.79686,1.826285
3487.0,0.0,1.82991,1.86078,1.83177,1.80175,1.8310525
