Lambda,OBS,CAL,GD1,GD2,GD3,Syn_mean
3400.0,0.0,1.7547,1.74258,1.71288,1.71571,1.7314675
3401.0,0.0,1.74637,1.73446,1.70493,1.70774,1.723375
3402.0,0.0,1.73824,1.72626,1.69695,1.69994,1.7153475
3403.0,0.0,1.73063,1.71831,1.68926,1.69261,1.7077025
3404.0,0.0,1.7238,1.71094,1.68218,1.686,1.7007299999999999
3405.0,0.0,1.71792,1.70438,1.67592,1.68029,1.6946275
3406.0,0.0,1.71311,1.69879,1.67064,1.67559,1.6895324999999999
3407.0,0.0,1.70939,1.69428,1.66644,1.67193,1.6855099999999998
3408.0,0.0,1.70676,1.6909,1.66334,1.66931,1.6825775
3409.0,0.0,1.70515,1.68864,1.66133,1.66769,1.6807025000000002
3410.0,0.0,1.70448,1.68745,1.66036,1.667,1.6798225
3411.0,0.0,1.70467,1.68728,1.66037,1.66717,1.6798725
3412.0,0.0,1.70563,1.68807,1.6613,1.66812,1.68078
3413.0,0.0,1.70728,1.68977,1.66308,1.6698,1.6824824999999999
3414.0,0.0,1.70955,1.69226,1.66563,1.67211,1.6848875
3415.0,0.0,1.71232,1.69545,1.66881,1.67495,1.6878825
3416.0,0.0,1.71546,1.69915,1.67248,1.67818,1.6913175
3417.0,0.0,1.71882,1.70317,1.67644,1.68165,1.6950200000000002
3418.0,0.0,1.72225,1.70731,1.6805,1.68518,1.6988100000000002
3419.0,0.0,1.7256,1.71137,1.68448,1.68863,1.70252
3420.0,0.0,1.72873,1.71517,1.68819,1.69183,1.7059799999999998
3421.0,0.0,1.73154,1.71859,1.69153,1.6947,1.70909
3422.0,0.0,1.73396,1.72152,1.69441,1.69715,1.7117599999999997
3423.0,0.0,1.73594,1.72394,1.6968,1.69914,1.713955
3424.0,0.0,1.73746,1.72581,1.69866,1.70067,1.71565
3425.0,0.0,1.7385,1.72713,1.69999,1.7017,1.7168299999999999
3426.0,0.0,1.73904,1.72785,1.70076,1.70223,1.71747
3427.0,0.0,1.73902,1.72791,1.7009,1.7022,1.7175075
3428.0,0.0,1.73838,1.72722,1.70032,1.70154,1.7168649999999999
3429.0,0.0,1.73702,1.72565,1.69891,1.70016,1.7154349999999998
3430.0,0.0,1.73484,1.72306,1.69652,1.69796,1.713095
3431.0,0.0,1.73174,1.71933,1.69305,1.69482,1.709735
3432.0,0.0,1.72764,1.71438,1.6884,1.69066,1.70527
3433.0,0.0,1.72251,1.70815,1.68253,1.68546,1.6996625
3434.0,0.0,1.71636,1.70072,1.67549,1.67924,1.6929525
3435.0,0.0,1.70931,1.69221,1.66742,1.6721,1.68526
3436.0,0.0,1.70154,1.68288,1.65856,1.66425,1.6768075
3437.0,0.0,1.69333,1.6731,1.64925,1.65597,1.6679125000000001
3438.0,0.0,1.68501,1.6633,1.63991,1.6476,1.658955
3439.0,0.0,1.67697,1.65395,1.631,1.63955,1.6503675
3440.0,0.0,1.66957,1.64551,1.62297,1.63216,1.6425525
3441.0,0.0,1.6631,1.63836,1.61616,1.62576,1.6358450000000002
3442.0,0.0,1.65776,1.63276,1.61082,1.62054,1.6304699999999999
3443.0,0.0,1.65359,1.62877,1.60701,1.61655,1.62648
3444.0,0.0,1.65052,1.62629,1.6046,1.6137,1.6237775
3445.0,0.0,1.64831,1.62504,1.60335,1.61176,1.622115
3446.0,0.0,1.64669,1.62465,1.60289,1.61044,1.6211674999999999
3447.0,0.0,1.64532,1.62467,1.60281,1.6094,1.62055
3448.0,0.0,1.64388,1.62466,1.60269,1.6083,1.6198825
3449.0,0.0,1.64211,1.62424,1.60218,1.60688,1.6188525
3450.0,0.0,1.63983,1.62315,1.60103,1.60494,1.6172374999999999
3451.0,0.0,1.63701,1.62129,1.59916,1.60244,1.6149749999999998
3452.0,0.0,1.63374,1.61869,1.59661,1.59945,1.6121225000000001
3453.0,0.0,1.63017,1.6155,1.59351,1.59611,1.6088225
3454.0,0.0,1.62649,1.61194,1.59011,1.59262,1.60529
3455.0,0.0,1.62294,1.60828,1.58663,1.58921,1.6017649999999999
3456.0,0.0,1.61975,1.60481,1.58338,1.58611,1.5985125
3457.0,0.0,1.6171,1.6018,1.58058,1.58353,1.5957525000000001
3458.0,0.0,1.61515,1.59947,1.57846,1.58163,1.5936775
3459.0,0.0,1.61401,1.59797,1.57717,1.58051,1.592415
3460.0,0.0,1.61365,1.59735,1.57675,1.58019,1.5919850000000002
3461.0,0.0,1.61401,1.59758,1.57716,1.58059,1.592335
3462.0,0.0,1.61494,1.59851,1.57824,1.58158,1.5933175
3463.0,0.0,1.61621,1.59989,1.57978,1.58292,1.5947
3464.0,0.0,1.61751,1.60139,1.58141,1.5843,1.5961524999999999
3465.0,0.0,1.6186,1.60271,1.58288,1.58548,1.5974175000000002
3466.0,0.0,1.61921,1.60355,1.58387,1.58619,1.598205
3467.0,0.0,1.61915,1.60365,1.58415,1.58622,1.5982925000000001
3468.0,0.0,1.61827,1.60281,1.58353,1.58541,1.597505
3469.0,0.0,1.6165,1.60096,1.58194,1.58371,1.5957775
3470.0,0.0,1.6139,1.59814,1.57941,1.58115,1.59315
3471.0,0.0,1.61054,1.59447,1.57608,1.57782,1.5897275
3472.0,0.0,1.60667,1.59022,1.57219,1.57397,1.5857625
