Lambda,OBS,CAL,GD1,GD2,GD3,Syn_mean
3400.0,0.0,1.64333,1.76421,1.74334,1.68873,1.7099025
3401.0,0.0,1.62877,1.74724,1.72722,1.67382,1.6942625
3402.0,0.0,1.6167,1.7344,1.71499,1.6614,1.6818724999999999
3403.0,0.0,1.60736,1.72517,1.706,1.65179,1.67258
3404.0,0.0,1.60034,1.71841,1.69926,1.64462,1.6656575
3405.0,0.0,1.59519,1.71306,1.69387,1.63941,1.6603824999999999
3406.0,0.0,1.59172,1.70904,1.6899,1.63589,1.6566375
3407.0,0.0,1.58991,1.70696,1.68788,1.63395,1.6546750000000001
3408.0,0.0,1.58958,1.70688,1.68793,1.63338,1.6544424999999998
3409.0,0.0,1.59012,1.70823,1.68925,1.63364,1.65531
3410.0,0.0,1.59069,1.70945,1.69016,1.63397,1.6560674999999998
3411.0,0.0,1.59068,1.70918,1.68946,1.63381,1.6557825
3412.0,0.0,1.59018,1.70761,1.68746,1.63326,1.6546275
3413.0,0.0,1.58998,1.70595,1.68564,1.63306,1.6536575
3414.0,0.0,1.5912,1.70618,1.68615,1.63426,1.6544475
3415.0,0.0,1.59463,1.70959,1.69022,1.63766,1.6580249999999999
3416.0,0.0,1.60035,1.71639,1.698,1.64339,1.6645325
3417.0,0.0,1.60768,1.7258,1.70835,1.65084,1.6731675
3418.0,0.0,1.61535,1.73584,1.71911,1.65877,1.6822675
3419.0,0.0,1.62202,1.74467,1.72824,1.66584,1.6901925
3420.0,0.0,1.62672,1.75069,1.73403,1.67101,1.6956125
3421.0,0.0,1.62913,1.75344,1.73624,1.6739,1.6981775
3422.0,0.0,1.62961,1.75342,1.73557,1.67477,1.6983424999999999
3423.0,0.0,1.629,1.75194,1.73361,1.67442,1.6972424999999998
3424.0,0.0,1.62828,1.75024,1.73172,1.67379,1.6960075
3425.0,0.0,1.62824,1.7495,1.73114,1.67368,1.69564
3426.0,0.0,1.62923,1.75044,1.73249,1.67446,1.696655
3427.0,0.0,1.63094,1.75283,1.73549,1.67592,1.698795
3428.0,0.0,1.63252,1.75558,1.73881,1.67729,1.70105
3429.0,0.0,1.63294,1.75675,1.74023,1.67755,1.7018675
3430.0,0.0,1.63158,1.75478,1.7382,1.67603,1.7001475
3431.0,0.0,1.62865,1.75022,1.73328,1.67284,1.6962475
3432.0,0.0,1.62491,1.74475,1.72739,1.66871,1.69144
3433.0,0.0,1.62098,1.74019,1.72272,1.66429,1.6870450000000001
3434.0,0.0,1.61656,1.73665,1.71923,1.65939,1.6829575
3435.0,0.0,1.61038,1.73172,1.71444,1.65291,1.6773625
3436.0,0.0,1.601,1.72244,1.7052,1.64348,1.66803
3437.0,0.0,1.58784,1.70729,1.68982,1.63049,1.6538599999999999
3438.0,0.0,1.57188,1.68747,1.66964,1.61484,1.6359575
