Lambda,OBS,CAL,GD1,GD2,GD3,Syn_mean
3400.0,0.0,1.63154,1.22738,1.54107,1.53491,1.483725
3401.0,0.0,1.61503,1.21992,1.52431,1.51849,1.4694375
3402.0,0.0,1.60397,1.21876,1.51112,1.5061,1.4599875
3403.0,0.0,1.59675,1.22059,1.50101,1.49696,1.4538275
3404.0,0.0,1.59114,1.22267,1.49267,1.48954,1.449005
3405.0,0.0,1.58562,1.22313,1.48519,1.48276,1.444175
3406.0,0.0,1.58054,1.22247,1.47908,1.47706,1.4397875
3407.0,0.0,1.57792,1.22301,1.47592,1.47406,1.4377274999999998
3408.0,0.0,1.5792,1.22621,1.47655,1.47474,1.4391749999999999
3409.0,0.0,1.58301,1.23097,1.47932,1.47762,1.44273
3410.0,0.0,1.58575,1.23472,1.4806,1.47922,1.4450725
3411.0,0.0,1.58455,1.23654,1.47765,1.47685,1.4438974999999998
3412.0,0.0,1.57994,1.23803,1.47107,1.47101,1.4400125
3413.0,0.0,1.57527,1.24064,1.46465,1.46518,1.436435
3414.0,0.0,1.57407,1.24381,1.46288,1.46346,1.436055
3415.0,0.0,1.57819,1.24609,1.46847,1.46829,1.4402599999999999
3416.0,0.0,1.58735,1.24718,1.48128,1.47959,1.44885
3417.0,0.0,1.59972,1.24801,1.49854,1.49499,1.460315
3418.0,0.0,1.61251,1.24948,1.5159,1.51067,1.47214
3419.0,0.0,1.62275,1.25209,1.52901,1.52273,1.481645
3420.0,0.0,1.62836,1.25587,1.53518,1.52869,1.487025
3421.0,0.0,1.62913,1.26037,1.53458,1.52855,1.4881575
3422.0,0.0,1.62679,1.26467,1.53002,1.52472,1.48655
3423.0,0.0,1.62364,1.26753,1.52498,1.52027,1.484105
3424.0,0.0,1.62116,1.26813,1.52177,1.51725,1.4820775
3425.0,0.0,1.62016,1.26714,1.52143,1.51662,1.4813375
3426.0,0.0,1.62166,1.26644,1.52462,1.51911,1.4829575
3427.0,0.0,1.62634,1.26729,1.53135,1.52493,1.4874774999999998
3428.0,0.0,1.63253,1.26888,1.53925,1.53206,1.4931800000000002
3429.0,0.0,1.63613,1.26928,1.54354,1.53604,1.4962475
3430.0,0.0,1.63358,1.26794,1.54035,1.53313,1.49375
3431.0,0.0,1.62559,1.26627,1.53054,1.52403,1.4866075
3432.0,0.0,1.61704,1.2663,1.51953,1.51382,1.4791725
3433.0,0.0,1.61276,1.26925,1.5126,1.50759,1.4755500000000001
3434.0,0.0,1.61297,1.27419,1.51012,1.50574,1.475755
3435.0,0.0,1.61256,1.27747,1.50695,1.50333,1.4750775
3436.0,0.0,1.60495,1.27512,1.49662,1.49405,1.467685
3437.0,0.0,1.5872,1.26617,1.4763,1.47507,1.4511850000000002
3438.0,0.0,1.56209,1.2538,1.44875,1.44902,1.428415
3439.0,0.0,1.53628,1.24297,1.42065,1.42235,1.4055625
