Lambda,OBS,CAL,GD1,GD2,GD3,Syn_mean
3400.0,0.0,1.70709,1.7212,1.68875,1.70483,1.7054675000000001
3401.0,0.0,1.69156,1.70402,1.67263,1.68913,1.6893349999999998
3402.0,0.0,1.67972,1.68953,1.65912,1.67745,1.676455
3403.0,0.0,1.67092,1.67795,1.6485,1.66889,1.666565
3404.0,0.0,1.66433,1.66873,1.64012,1.66233,1.6588775
3405.0,0.0,1.65927,1.66151,1.63361,1.65697,1.65284
3406.0,0.0,1.65588,1.65649,1.62909,1.65319,1.6486625
3407.0,0.0,1.65477,1.65392,1.62692,1.65185,1.646865
3408.0,0.0,1.65563,1.65371,1.62722,1.65293,1.6473725
3409.0,0.0,1.65737,1.65478,1.6287,1.6552,1.6490125
3410.0,0.0,1.65837,1.65528,1.62943,1.65639,1.6498675
3411.0,0.0,1.65763,1.65419,1.62834,1.65522,1.648845
3412.0,0.0,1.65608,1.65189,1.62575,1.65265,1.6465925000000001
3413.0,0.0,1.65534,1.65006,1.62391,1.65079,1.645025
3414.0,0.0,1.65716,1.65098,1.62508,1.65198,1.6463
3415.0,0.0,1.66224,1.65595,1.63046,1.65702,1.6514175
3416.0,0.0,1.67003,1.66486,1.63983,1.6654,1.66003
3417.0,0.0,1.67946,1.67624,1.65142,1.67566,1.6706949999999998
3418.0,0.0,1.68878,1.68787,1.66322,1.68586,1.6814324999999999
3419.0,0.0,1.69655,1.69763,1.6729,1.69428,1.69034
3420.0,0.0,1.70165,1.70389,1.67908,1.69959,1.6960525
3421.0,0.0,1.7038,1.70637,1.68132,1.70153,1.698255
3422.0,0.0,1.70359,1.70589,1.68055,1.70083,1.6977149999999999
3423.0,0.0,1.70232,1.70401,1.67838,1.69893,1.69591
3424.0,0.0,1.70138,1.70255,1.67681,1.69736,1.6945249999999998
3425.0,0.0,1.70207,1.70302,1.67734,1.69757,1.695
3426.0,0.0,1.70483,1.70601,1.68062,1.70025,1.6979275
3427.0,0.0,1.70884,1.71085,1.68595,1.70481,1.7026125
3428.0,0.0,1.71232,1.71547,1.69109,1.70921,1.7070224999999999
3429.0,0.0,1.71313,1.71749,1.69339,1.71072,1.7086825
3430.0,0.0,1.7104,1.71569,1.6914,1.70805,1.706385
3431.0,0.0,1.70536,1.71059,1.68581,1.70244,1.7010500000000002
3432.0,0.0,1.70017,1.70425,1.67929,1.69667,1.695095
3433.0,0.0,1.69618,1.69861,1.67402,1.69294,1.6904375
3434.0,0.0,1.69269,1.69347,1.66983,1.69064,1.6866575000000001
