Lambda,OBS,CAL,GD1,GD2,GD3,Syn_mean
3400.0,0.0,1.79216,1.8507,1.80724,1.79096,1.810265
3401.0,0.0,1.77638,1.83359,1.79049,1.7741,1.79364
3402.0,0.0,1.76336,1.82025,1.77723,1.7617,1.7806350000000002
3403.0,0.0,1.7532,1.8106,1.76744,1.7531,1.771085
3404.0,0.0,1.7454,1.80347,1.76029,1.74691,1.7640175
3405.0,0.0,1.73957,1.79812,1.75498,1.74214,1.7587025
3406.0,0.0,1.73563,1.79441,1.75126,1.73885,1.7550375
3407.0,0.0,1.73363,1.79259,1.74933,1.73726,1.7532025
3408.0,0.0,1.73327,1.79252,1.74914,1.73754,1.7531174999999999
3409.0,0.0,1.73369,1.79328,1.75003,1.73899,1.7539975
3410.0,0.0,1.73379,1.79374,1.75072,1.74002,1.7545674999999998
3411.0,0.0,1.73294,1.79313,1.75038,1.73979,1.75406
3412.0,0.0,1.73155,1.79175,1.7492,1.7385,1.75275
3413.0,0.0,1.73086,1.79079,1.74831,1.73737,1.7518325000000001
3414.0,0.0,1.73232,1.7917,1.74922,1.73811,1.7528375
3415.0,0.0,1.73677,1.79564,1.75296,1.74168,1.7567624999999998
3416.0,0.0,1.74402,1.80259,1.75971,1.74828,1.76365
3417.0,0.0,1.75289,1.81161,1.76863,1.75684,1.7724924999999998
3418.0,0.0,1.76172,1.82102,1.77813,1.76582,1.7816725
3419.0,0.0,1.76891,1.82909,1.78651,1.77363,1.7895349999999999
3420.0,0.0,1.77349,1.83459,1.79248,1.77899,1.7948875000000002
3421.0,0.0,1.77534,1.83724,1.79557,1.78156,1.7974275
3422.0,0.0,1.77511,1.83757,1.79628,1.78192,1.79772
3423.0,0.0,1.77396,1.83656,1.79561,1.78098,1.7967775000000001
3424.0,0.0,1.77308,1.83537,1.79468,1.7798,1.7957325
3425.0,0.0,1.77331,1.83499,1.79444,1.77943,1.7955424999999998
3426.0,0.0,1.77489,1.83602,1.79545,1.78037,1.7966825000000002
3427.0,0.0,1.77728,1.83816,1.79757,1.78253,1.7988849999999998
3428.0,0.0,1.7793,1.84008,1.7998,1.78482,1.801
3429.0,0.0,1.77972,1.84028,1.80054,1.78536,1.801475
3430.0,0.0,1.77797,1.83793,1.79878,1.78332,1.7994999999999999
3431.0,0.0,1.77451,1.83352,1.79481,1.77913,1.7954925000000002
3432.0,0.0,1.77036,1.82854,1.78996,1.77434,1.7908
3433.0,0.0,1.7661,1.82397,1.78543,1.77053,1.7865075
3434.0,0.0,1.76104,1.81931,1.78102,1.76722,1.7821475
3435.0,0.0,1.75343,1.81263,1.77487,1.76206,1.7757475
3436.0,0.0,1.74148,1.80166,1.7648,1.75251,1.7651125
3437.0,0.0,1.7248,1.78577,1.74985,1.73736,1.749445
3438.0,0.0,1.70503,1.76646,1.73133,1.71834,1.73029
3439.0,0.0,1.6853,1.74706,1.71234,1.69902,1.71093
