Lambda,OBS,CAL,GD1,GD2,GD3,Syn_mean
3400.0,0.0,1.79508,1.3679,1.803,1.80893,1.6937275
3401.0,0.0,1.78169,1.36259,1.78873,1.79418,1.6817975
3402.0,0.0,1.77084,1.35794,1.77658,1.7822,1.6718899999999999
3403.0,0.0,1.76253,1.35409,1.7668,1.77297,1.6640975
3404.0,0.0,1.7564,1.35112,1.75929,1.76601,1.6582050000000002
3405.0,0.0,1.75211,1.34907,1.75385,1.76095,1.653995
3406.0,0.0,1.74943,1.34793,1.75036,1.75768,1.6513499999999999
3407.0,0.0,1.74821,1.34766,1.74863,1.75617,1.6501675
3408.0,0.0,1.74806,1.34807,1.74814,1.75603,1.650075
3409.0,0.0,1.74838,1.34901,1.74805,1.75641,1.6504625
3410.0,0.0,1.74861,1.35035,1.74762,1.75642,1.65075
3411.0,0.0,1.74859,1.352,1.74669,1.7557,1.6507450000000001
3412.0,0.0,1.7488,1.35383,1.74596,1.75477,1.6508399999999999
3413.0,0.0,1.75,1.35582,1.74661,1.75479,1.651805
3414.0,0.0,1.75282,1.3579,1.74968,1.75693,1.6543325000000002
3415.0,0.0,1.75748,1.36004,1.75553,1.7617,1.6586875
3416.0,0.0,1.76359,1.36219,1.76362,1.76874,1.664535
3417.0,0.0,1.77045,1.36427,1.77277,1.77695,1.67111
3418.0,0.0,1.77709,1.36628,1.78147,1.7849,1.677435
3419.0,0.0,1.78267,1.36822,1.78843,1.79132,1.68266
3420.0,0.0,1.78659,1.37008,1.79289,1.79542,1.686245
3421.0,0.0,1.78872,1.37183,1.79485,1.79714,1.688135
3422.0,0.0,1.78939,1.3734,1.79498,1.79704,1.6887025
3423.0,0.0,1.78933,1.37479,1.79444,1.79613,1.6886725
3424.0,0.0,1.78931,1.37599,1.79435,1.79551,1.68879
3425.0,0.0,1.78991,1.37698,1.79543,1.79597,1.6895725000000001
3426.0,0.0,1.79124,1.37777,1.79772,1.79769,1.691105
3427.0,0.0,1.79282,1.37837,1.80047,1.80008,1.6929349999999999
3428.0,0.0,1.79385,1.37875,1.80248,1.80194,1.694255
3429.0,0.0,1.79349,1.37886,1.80261,1.80211,1.6942674999999998
3430.0,0.0,1.79149,1.37864,1.80045,1.80017,1.6926875
3431.0,0.0,1.7883,1.37805,1.79656,1.79667,1.689895
3432.0,0.0,1.78452,1.37715,1.79176,1.79262,1.6865125
3433.0,0.0,1.78031,1.37591,1.78641,1.78849,1.6827800000000002
3434.0,0.0,1.77503,1.37438,1.77978,1.78356,1.6781875
3435.0,0.0,1.76738,1.37254,1.77039,1.7761,1.6716025
3436.0,0.0,1.75626,1.37041,1.75692,1.76445,1.66201
3437.0,0.0,1.74167,1.36804,1.73939,1.74831,1.6493525
3438.0,0.0,1.72499,1.36543,1.71948,1.72925,1.6347874999999998
3439.0,0.0,1.70867,1.36266,1.70014,1.71031,1.620445
3440.0,0.0,1.69514,1.35981,1.68437,1.69471,1.6085074999999998
3441.0,0.0,1.68619,1.35694,1.67431,1.6846,1.6005099999999999
3442.0,0.0,1.68226,1.35402,1.67054,1.68046,1.5968200000000001
3443.0,0.0,1.68273,1.35093,1.6723,1.68138,1.596835
3444.0,0.0,1.68636,1.34771,1.67813,1.68588,1.5995199999999998
3445.0,0.0,1.69174,1.34447,1.68632,1.69247,1.60375
3446.0,0.0,1.6975,1.34118,1.69515,1.69971,1.6083850000000002
3447.0,0.0,1.70198,1.33787,1.70262,1.70588,1.6120875
3448.0,0.0,1.70366,1.33451,1.70687,1.70913,1.6135425
3449.0,0.0,1.70151,1.33114,1.70669,1.70813,1.6118675
3450.0,0.0,1.69572,1.32782,1.70221,1.70289,1.60716
3451.0,0.0,1.6879,1.32465,1.69508,1.69496,1.6006475
3452.0,0.0,1.67984,1.32177,1.68728,1.68653,1.593855
3453.0,0.0,1.67284,1.3193,1.6802,1.67919,1.5878825
3454.0,0.0,1.66718,1.3173,1.67409,1.67326,1.5829575
3455.0,0.0,1.66231,1.31574,1.66831,1.66798,1.578585
3456.0,0.0,1.65765,1.31475,1.6623,1.66247,1.5742925
3457.0,0.0,1.65312,1.31441,1.65619,1.65664,1.57009
3458.0,0.0,1.64945,1.31453,1.65108,1.65148,1.5666350000000002
3459.0,0.0,1.64782,1.31515,1.64854,1.6486,1.5650275
