Lambda,OBS,CAL,GD1,GD2,GD3,Syn_mean
3400.0,0.0,1.60962,1.39056,1.45608,1.58789,1.5110375
3401.0,0.0,1.60261,1.38179,1.44962,1.58013,1.5035375000000002
3402.0,0.0,1.59601,1.37509,1.44393,1.57287,1.496975
3403.0,0.0,1.59004,1.37083,1.43918,1.56641,1.4916150000000001
3404.0,0.0,1.58487,1.36855,1.43549,1.56094,1.4874625
3405.0,0.0,1.58064,1.36792,1.43286,1.55655,1.4844925
3406.0,0.0,1.57736,1.3685,1.43126,1.55326,1.4825949999999999
3407.0,0.0,1.57508,1.3699,1.43057,1.55104,1.4816475000000002
3408.0,0.0,1.57375,1.37189,1.43066,1.54979,1.4815225
3409.0,0.0,1.57328,1.37426,1.43138,1.5494,1.48208
3410.0,0.0,1.57355,1.37682,1.43259,1.54975,1.4831775
3411.0,0.0,1.57448,1.37944,1.43415,1.55073,1.4847
3412.0,0.0,1.57596,1.38201,1.43596,1.55227,1.48655
3413.0,0.0,1.57789,1.38439,1.43794,1.55429,1.4886275
3414.0,0.0,1.58022,1.38664,1.44001,1.55672,1.4908975
3415.0,0.0,1.58287,1.38866,1.44214,1.55951,1.4932949999999998
3416.0,0.0,1.58573,1.39066,1.44428,1.56256,1.4958075000000002
3417.0,0.0,1.58871,1.3926,1.44641,1.56579,1.4983775
3418.0,0.0,1.59168,1.39474,1.44849,1.56909,1.5010000000000001
3419.0,0.0,1.5946,1.39699,1.4505,1.57235,1.5036100000000001
3420.0,0.0,1.59741,1.39942,1.45239,1.57547,1.5061725000000001
3421.0,0.0,1.6,1.40183,1.45414,1.57835,1.5085799999999998
3422.0,0.0,1.60226,1.40411,1.4557,1.5809,1.5107424999999999
3423.0,0.0,1.60413,1.40603,1.45705,1.58306,1.5125674999999998
3424.0,0.0,1.60557,1.40753,1.45815,1.58478,1.5140075
3425.0,0.0,1.60654,1.40855,1.459,1.58605,1.5150350000000001
3426.0,0.0,1.60703,1.40917,1.45957,1.58685,1.515655
3427.0,0.0,1.60701,1.40948,1.45986,1.58715,1.515875
3428.0,0.0,1.60636,1.40966,1.45985,1.58689,1.5156900000000002
3429.0,0.0,1.60506,1.40977,1.45954,1.58603,1.5151000000000001
3430.0,0.0,1.60301,1.40998,1.4589,1.58447,1.51409
3431.0,0.0,1.60021,1.41014,1.45789,1.58216,1.5126
3432.0,0.0,1.59663,1.41031,1.4565,1.57903,1.5106175
3433.0,0.0,1.59233,1.40997,1.4547,1.57506,1.5080149999999999
3434.0,0.0,1.5874,1.40922,1.45248,1.57025,1.5048374999999998
3435.0,0.0,1.58193,1.40732,1.44985,1.56469,1.5009474999999999
3436.0,0.0,1.57601,1.40475,1.44686,1.5585,1.49653
