Lambda,OBS,CAL,GD1,GD2,GD3,Syn_mean
3488.0,0.0,1.67634,1.68026,1.65066,1.62617,1.6583575000000002
3489.0,0.0,1.67212,1.67442,1.6457,1.61946,1.652925
3490.0,0.0,1.66571,1.66707,1.63915,1.61048,1.6456025
3491.0,0.0,1.66191,1.66299,1.63526,1.60588,1.64151
3492.0,0.0,1.66276,1.66371,1.63541,1.60816,1.64251
3493.0,0.0,1.66577,1.6665,1.63767,1.61334,1.64582
3494.0,0.0,1.66659,1.66728,1.63865,1.61491,1.6468575
3495.0,0.0,1.66338,1.66465,1.63669,1.61085,1.6438925
3496.0,0.0,1.65826,1.66091,1.6336,1.60486,1.6394075
3497.0,0.0,1.65442,1.659,1.6317,1.60183,1.6367374999999997
3498.0,0.0,1.6525,1.65922,1.63152,1.60234,1.636395
3499.0,0.0,1.6504,1.65944,1.63164,1.60229,1.6359425
3500.0,0.0,1.64671,1.65816,1.63076,1.59927,1.6337249999999999
3501.0,0.0,1.64252,1.65606,1.62919,1.59532,1.6307725000000002
3502.0,0.0,1.63949,1.65423,1.62751,1.59336,1.6286475
3503.0,0.0,1.63711,1.65207,1.6254,1.59241,1.6267475
3504.0,0.0,1.63334,1.64802,1.62172,1.58907,1.6230375000000001
3505.0,0.0,1.6274,1.64167,1.61597,1.58246,1.616875
3506.0,0.0,1.62042,1.63412,1.60879,1.57484,1.6095424999999999
3507.0,0.0,1.6136,1.62636,1.60101,1.56806,1.6022575000000001
3508.0,0.0,1.60672,1.61818,1.59267,1.56134,1.5947274999999999
3509.0,0.0,1.59876,1.60883,1.58332,1.55305,1.58599
3510.0,0.0,1.58947,1.59829,1.57297,1.54288,1.5759025
3511.0,0.0,1.58002,1.58787,1.56291,1.53231,1.5657775
3512.0,0.0,1.57273,1.57997,1.5554,1.52393,1.5580075
3513.0,0.0,1.57015,1.57725,1.55291,1.52081,1.55528
3514.0,0.0,1.57382,1.58134,1.5569,1.52503,1.5592725
3515.0,0.0,1.58307,1.59156,1.5667,1.53606,1.5693475
3516.0,0.0,1.59491,1.60458,1.57925,1.55026,1.58225
3517.0,0.0,1.60516,1.61566,1.59022,1.5624,1.59336
3518.0,0.0,1.61024,1.62062,1.59552,1.56801,1.5985975000000001
3519.0,0.0,1.60853,1.61766,1.59333,1.56531,1.5962075
3520.0,0.0,1.60083,1.60787,1.58447,1.55554,1.5871775
3521.0,0.0,1.58971,1.59432,1.57167,1.54224,1.5744850000000001
3522.0,0.0,1.57814,1.58041,1.5582,1.52905,1.56145
3523.0,0.0,1.56833,1.56877,1.5468,1.51825,1.5505375000000001
3524.0,0.0,1.56163,1.56119,1.5393,1.51096,1.54327
3525.0,0.0,1.5591,1.55908,1.53719,1.50847,1.5409599999999999
3526.0,0.0,1.56146,1.56308,1.54094,1.51183,1.5443275
3527.0,0.0,1.56833,1.57225,1.54963,1.52076,1.5527425000000001
3528.0,0.0,1.57785,1.58403,1.56103,1.53248,1.5638475
3529.0,0.0,1.58749,1.59532,1.57224,1.54355,1.5746499999999999
3530.0,0.0,1.59531,1.60403,1.58119,1.55177,1.5830750000000002
3531.0,0.0,1.60063,1.60969,1.58736,1.55683,1.5886275
3532.0,0.0,1.60377,1.61303,1.59124,1.55958,1.5919050000000001
3533.0,0.0,1.60551,1.61512,1.59384,1.56125,1.59393
3534.0,1.42948,1.60665,1.61677,1.59599,1.56264,1.5955125
3535.0,1.59073,1.6076,1.61816,1.59781,1.56398,1.5968875
3536.0,1.62461,1.60838,1.61929,1.59935,1.56507,1.5980225
3537.0,1.74406,1.60901,1.62029,1.60078,1.56589,1.5989925
3538.0,1.78033,1.6096,1.6212,1.6019,1.5668,1.599875
3539.0,1.39067,1.61002,1.62172,1.60255,1.56761,1.600475
3540.0,1.62033,1.60997,1.6215,1.60259,1.56745,1.6003775
3541.0,1.72957,1.60971,1.62095,1.60233,1.56656,1.5998875
3542.0,1.78117,1.6102,1.62122,1.60282,1.56663,1.6002174999999998
3543.0,1.72989,1.61205,1.62285,1.60447,1.56885,1.602055
3544.0,1.82011,1.61447,1.62496,1.60653,1.57206,1.604505
3545.0,1.88222,1.61582,1.62595,1.60765,1.57373,1.6057875000000001
3546.0,1.76747,1.61524,1.62501,1.60702,1.57275,1.605005
3547.0,1.6916,1.61307,1.62235,1.60455,1.57011,1.60252
3548.0,1.89503,1.60978,1.61836,1.60065,1.56672,1.5988775
3549.0,1.68734,1.60528,1.61309,1.59548,1.56215,1.594
3550.0,1.6976,1.59941,1.60654,1.58905,1.55599,1.5877474999999999
3551.0,1.79952,1.59254,1.59905,1.58172,1.54871,1.580505
3552.0,1.70166,1.58534,1.59123,1.57398,1.54116,1.5729275
3553.0,1.81641,1.57846,1.58392,1.56676,1.53399,1.5657824999999999
3554.0,1.87828,1.57271,1.57814,1.56113,1.52797,1.5599875
3555.0,1.64738,1.56906,1.57472,1.55774,1.52444,1.55649
3556.0,1.49986,1.56809,1.57389,1.55693,1.52404,1.5557375
3557.0,1.81788,1.56929,1.57487,1.55794,1.52587,1.5569925000000002
3558.0,1.72784,1.57139,1.57661,1.55984,1.52826,1.559025
3559.0,1.66717,1.57338,1.57843,1.56187,1.53021,1.5609725
3560.0,1.69617,1.57489,1.58001,1.56349,1.53197,1.56259
3561.0,1.75225,1.57541,1.5804,1.5638,1.53324,1.5632125
3562.0,1.88516,1.57359,1.57767,1.56109,1.53191,1.561065
3563.0,1.71866,1.56807,1.57044,1.55431,1.52561,1.5546075
3564.0,1.60266,1.55918,1.55942,1.54392,1.51475,1.5443175
3565.0,1.58812,1.54906,1.54724,1.53219,1.50279,1.53282
3566.0,1.75579,1.53982,1.53618,1.52108,1.49296,1.52251
3567.0,1.63781,1.53163,1.52648,1.51109,1.48535,1.5136375000000002
3568.0,1.42843,1.52271,1.51651,1.50098,1.47715,1.5043375
3569.0,1.67718,1.51125,1.50481,1.48959,1.46566,1.4928275
3570.0,1.79733,1.49754,1.49201,1.47726,1.45136,1.4795425000000002
3571.0,1.85037,1.48444,1.48107,1.46673,1.43814,1.467595
3572.0,1.78521,1.47522,1.47432,1.4598,1.43011,1.4598625
3573.0,1.57925,1.47098,1.47195,1.45691,1.42807,1.4569775
3574.0,1.80497,1.47008,1.47194,1.45649,1.42911,1.456905
3575.0,1.52326,1.46963,1.47132,1.45559,1.42973,1.4565675
3576.0,1.81464,1.46693,1.46738,1.45164,1.42723,1.453295
3577.0,1.8435,1.46038,1.45887,1.44354,1.4198,1.4456475000000002
3578.0,1.7601,1.45005,1.44638,1.43158,1.40769,1.433925
3579.0,1.80376,1.43793,1.43246,1.41813,1.39362,1.420535
3580.0,1.61768,1.42686,1.42016,1.40596,1.38134,1.40858
