    0.208974146842956543E+02    0.343504548072814941E+00    0.656260192394256592E+00   -0.820024559607839584E+07   -0.639692919225326229E+01    1
    0.213999128341674805E+02    0.321273207664489746E+00    0.569938540458679199E+00   -0.795500965942653269E+07   -0.639859585891991234E+01    1
    0.230061841011047363E+02    0.211912393569946289E-01    0.556510835886001587E+00   -0.739650721396772098E+07   -0.640026252558658548E+01    1
    0.229084753990173340E+02    0.651830434799194336E-01    0.988958358764648438E+00   -0.704935064956675842E+07   -0.640192919225324708E+01    1
    0.212726652622222900E+02    0.605664253234863281E+00    0.780095309019088745E+00   -0.684444923009872623E+07   -0.640359585891989269E+01    1
    0.221063351631164551E+02    0.522493124008178711E+00    0.646839529275894165E+00   -0.664610812655881792E+07   -0.640526252558656939E+01    1
    0.240850949287414551E+02    0.118697285652160645E+00    0.716569066047668457E+00   -0.625575541552819032E+07   -0.640692919225325852E+01    1
    0.207078707218170166E+02    0.866810679435729980E+00    0.826691389083862305E+00   -0.623235288428266626E+07   -0.640859585891993611E+01    1
    0.234421694278717041E+02    0.354145169258117676E+00    0.790861070156097412E+00   -0.610757447705238592E+07   -0.641026252558658882E+01    1
    0.217265975475311279E+02    0.842714309692382812E+00    0.940270215272903442E+00   -0.560318381016216334E+07   -0.641192919225323532E+01    1
    0.248458099365234375E+02    0.141870379447937012E+00    0.885554045438766479E+00   -0.555434244883425161E+07   -0.641359585891991646E+01    1
    0.250720167160034180E+02    0.457227230072021484E-01    0.882092714309692383E+00   -0.555218253807565384E+07   -0.641526252558657806E+01    1
    0.204611718654632568E+02    0.117633402347564697E+01    0.539161413908004761E+00   -0.549668410572069511E+07   -0.641692919225322811E+01    1
    0.211401689052581787E+02    0.105133652687072754E+01    0.594164043664932251E+00   -0.547409864445107616E+07   -0.641859585891988971E+01    1
    0.206239092350006104E+02    0.129959702491760254E+01    0.740022391080856323E+00   -0.488774304701465555E+07   -0.642026252558655663E+01    1
    0.233565080165863037E+02    0.802481770515441895E+00    0.967080295085906982E+00   -0.473634543080329895E+07   -0.642192919225324488E+01    1
    0.212233018875122070E+02    0.127931237220764160E+01    0.799066394567489624E+00   -0.460382699411239941E+07   -0.642359585891991269E+01    1
    0.255152630805969238E+02    0.420277714729309082E+00    0.809766590595245361E+00   -0.456113476477887668E+07   -0.642526252558658673E+01    1
    0.214183139801025391E+02    0.134021818637847900E+01    0.522514075040817261E+00   -0.449557355830085091E+07   -0.642692919225324300E+01    1
    0.231903505325317383E+02    0.101040780544281006E+01    0.841507077217102051E+00   -0.430413247661929019E+07   -0.642859585891990015E+01    1
    0.237757658958435059E+02    0.918412804603576660E+00    0.833860933780670166E+00   -0.424441710619595740E+07   -0.643026252558656886E+01    1
    0.203190279006958008E+02    0.171582639217376709E+01    0.621949821710586548E+00   -0.398606967253218871E+07   -0.643192919225324111E+01    1
    0.246076750755310059E+02    0.907773375511169434E+00    0.618340134620666504E+00   -0.395500744176641759E+07   -0.643359585891991337E+01    1
    0.232562136650085449E+02    0.117481470108032227E+01    0.710658669471740723E+00   -0.390815287279558508E+07   -0.643526252558656875E+01    1
    0.223835611343383789E+02    0.148144543170928955E+01    0.711154311895370483E+00   -0.358319343137686467E+07   -0.643692919225323834E+01    1
    0.243428575992584229E+02    0.120540559291839600E+01    0.657229423522949219E+00   -0.335766461987739988E+07   -0.643859585891991681E+01    1
    0.252556896209716797E+02    0.103613615036010742E+01    0.598297357559204102E+00   -0.334725923026314424E+07   -0.644026252558658285E+01    1
    0.207619571685791016E+02    0.192505300045013428E+01    0.843784660100936890E+00   -0.326655640185424453E+07   -0.644192919225322491E+01    1
    0.257594001293182373E+02    0.928577184677124023E+00    0.788836687803268433E+00   -0.324945713239238784E+07   -0.644359585891989273E+01    1
    0.292886722087860107E+02    0.105697512626647949E+00    0.611895143985748291E+00   -0.310357335197937302E+07   -0.644526252558658452E+01    1
    0.283265948295593262E+02    0.372262597084045410E+00    0.803830683231353760E+00   -0.310077179327521939E+07   -0.644692919225326833E+01    1
    0.201894915103912354E+02    0.218166053295135498E+01    0.647764205932617188E+00   -0.307151068658942729E+07   -0.644859585891993525E+01    1
    0.210444962978363037E+02    0.200673222541809082E+01    0.693650335073471069E+00   -0.306157673469882784E+07   -0.645026252558659063E+01    1
    0.229632318019866943E+02    0.160763859748840332E+01    0.762804955244064331E+00   -0.305943632298104977E+07   -0.645192919225324069E+01    1
    0.239661228656768799E+02    0.140583455562591553E+01    0.813755005598068237E+00   -0.303340328938364983E+07   -0.645359585891991294E+01    1
    0.257153904438018799E+02    0.112138450145721436E+01    0.545929908752441406E+00   -0.299393462667707959E+07   -0.645526252558657454E+01    1
    0.277766036987304688E+02    0.593466162681579590E+00    0.821308851242065430E+00   -0.296307706839304930E+07   -0.645692919225322282E+01    1
    0.299040472507476807E+02    0.787675380706787109E-02    0.595713019371032715E+00   -0.289794243693160499E+07   -0.645859585891991106E+01    1
