No.,(m-M),err(m-M),Distance,Method,Reference,Notes,SN Name,Redshift,H0,LMCModulus
3,27.43,0.15,3.06,Cepheids,2006ApJS..165..108S,LMC ZP,,,,18.54
4,27.43,,3.06,Cepheids,2008A&ARv..15..289T,,,,,18.54
5,27.48,0.24,3.13,Cepheids,2001ApJ...553...47F,"10, VI, KEY PROJECT",,,,
7,27.5,,3.16,Cepheids,2000ApJ...529..745F,"HST KP Calibrated, max. D",,,,
9,27.54,0.24,3.22,Cepheids,2001ApJ...553...47F,"10, VI, +Z, KEY PROJECT",,,,
15,27.39,0.16,3.01,TRGB,2016ApJ...828L...5C,i,,,,
16,27.45,0.04,3.09,TRGB,2009ApJS..183...67D,I,,,,
17,27.5,0.05,3.16,TRGB,2009AJ....138..332J,I,,,,
18,27.51,0.24,3.18,TRGB,2003AJ....125.3046D,I,,,,
19,27.52,0.02,3.19,TRGB,2009ApJS..183...67D,I,,,,
20,27.51,0.07,3.2,TRGB,2011ApJS..195...18R,I,,,,
21,27.52,0.08,3.2,TRGB,2009ApJS..183...67D,I,,,,
