No.,(m-M),err(m-M),Distance,Method,Reference,Notes,SN Name,Redshift,H0,LMCModulus
1,30.79,0.12,14.4,Cepheids,2001ApJ...548..564W,LMC W01,,,,
2,30.79,0.08,14.4,Cepheids,2003A&A...411..361K,cte LMC K03,,,,
3,30.8,0.11,14.5,Cepheids,2002A&A...389...19P,MW HIPP,,,,
4,30.8,0.08,14.5,Cepheids,2003A&A...411..361K,cte U99,,,,
5,30.81,0.09,14.5,Cepheids,2001ApJ...553...47F,"13, VI, KEY PROJECT",,,,
6,30.82,0.08,14.6,Cepheids,2003A&A...411..361K,cte LMC STS02,,,,
7,30.84,0.09,14.7,Cepheids,2001ApJ...553...47F,"13, VI, +Z, KEY PROJECT",,,,
8,30.86,0.22,14.9,Cepheids,2002A&A...389...19P,MW P02,,,,
9,30.86,0.08,14.9,Cepheids,2003A&A...411..361K,cte MW FSG03,,,,
10,30.88,0.09,15.0,Cepheids,2003A&A...411..361K,cte MW GFG98,,,,
12,30.89,0.1,15.1,Cepheids,2000ApJ...529..745F,HST KP Calibrated,,,,
13,30.89,0.08,15.1,Cepheids,2003A&A...411..361K,cte MF91,,,,
14,30.89,0.1,15.1,Cepheids,2006ApJS..165..108S,LMC ZP,,,,18.54
15,30.89,,15.1,Cepheids,2008A&ARv..15..289T,,,,,18.54
16,30.93,0.12,15.3,Cepheids,2002A&A...383..398P,"48, VI",,,,
17,30.93,0.12,15.3,Cepheids,2002A&A...389...19P,MW GFG,,,,
18,30.95,0.09,15.5,Cepheids,2003A&A...411..361K,cte MW STS03,,,,
19,31.8,,22.9,Cepheids,2006A&A...452..423P,"13, VI",,,,
