No.,(m-M),err(m-M),Distance,Method,Reference,Notes,SN Name,Redshift,H0,LMCModulus
2,31.2,0.2,17.4,Cepheids,2010ApJ...711..808F,over luminous,,,,
3,31.38,0.17,18.9,Cepheids,2007ApJ...667L.151A,"3, avg",,,,
4,31.4,0.2,19.0,Cepheids,2010ApJ...711..808F,canonical,,,,
5,31.4,0.2,19.0,Cepheids,2010ApJ...713..615M,"VI, 1",,,,
9,30.72,0.17,13.9,TRGB,2007AstL...33..137T,,,,,
10,31.3,0.17,18.2,TRGB,2007ApJ...667L.151A,,,,,
11,31.3,0.16,18.2,TRGB,2014A&A...566A..71L,,,,,
