# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      a007
# Description of the table:        Distances
# Object:                          M81
# Display the fields:              $objname,$L,$j2000,$field[modulus],$field[distance],modc,$link[method,method],$link[iref,iref],$link[bibref,bibcode],$link[calib,calib_bibcode],pgc,dataset,bibcode,"calib_bibcode",calibsys
# Description of each column
# $objname: ------------ Name of object
# $j2000: -------------- J2000 coordinates
# $field[modulus]: ----- Distance modulus
# $field[distance]: ---- Linear distance (Mpc)
# modc: ---------------- Distance modulus corrected to standard system
# $link[method,method]:  Distance determination method
# $link[iref,iref]: ---- Code of Bib.Ref.
# $link[bibref,bibcode]:  Bibliographic Reference
# $link[calib,calib_bibcode]:  Calibration relation
# pgc: ----------------- PGC number
# dataset: ------------- <NA>
# bibcode: ------------- <NA>
# calib_bibcode: ------- <NA>
# calibsys: ------------ Calibration system
#--------,------,-------,---------,------,--------,--------,----------,------,--------,----,--------------------,----------------,---------------------,--------------------------,---,-------,-------,---------------,--------
$objname,$j2000,modulus,e_modulus,flimit,fquality,distance,e_distance,flimit,fquality,modc,$link[method,method],$link[iref,iref],$link[bibref,bibcode],$link[calib,calib_bibcode],pgc,dataset,bibcode,"calib_bibcode",calibsys
#--------,------,-------,---------,------,--------,--------,----------,------,--------,----,--------------------,----------------,---------------------,--------------------------,---,-------,-------,---------------,--------
NGC3031,J095533.1+690355,27.79,0.3,,,3.61410015015799,0.535440567771039,,,27.7900009155273,Cepheids  ,    51472,Madore+1993            ,                               ,28630,51472,1993AJ....106.2243M,,
NGC3031,J095533.1+690355,27.99,0.15,,,3.9627799248616,0.283414521092576,,,27.9899997711182,ESM       ,    51279,Bartel+2007            ,                               ,28630,51279,2007ApJ...668..924B,,
NGC3031,J095533.1+690355,28.1673,0.283638,,,4.30000170645866,0.599999963363132,,,28.1673431396484,ESM       ,    51851,Bartel+2005            ,                               ,28630,51851,2005ASPC..340..293B,,
NGC3031,J095533.1+690355,27.71,0.08,,,3.48337168171484,0.130725293940015,,,28.0575512085535,FGLR      ,    51845,Kudritzki+2012         ,FGLR:Kudritzki+2008            ,28630,51845,2012ApJ...747...15K,2008ApJ...681..269K,
NGC3031,J095533.1+690355,27.68,0.09,,,3.43557996183046,0.145385164091784,,,27.6800003051758,FGLR      ,    51845,Kudritzki+2012         ,FGLR:Kudritzki+2012            ,28630,51845,2012ApJ...747...15K,2012ApJ...747...15K,
NGC3031,J095533.1+690355,27.86,0.28,,,3.73250262707876,0.513695548592028,,,27.8600006103516,GCLF      ,    51579,Nantais+2011           ,                               ,28630,51579,2011AJ....142..183N,,
NGC3031,J095533.1+690355,27.7123,0.0820333,,,3.48706360729355,0.134253037862731,,,27.9498456682611,SBF       ,    50007,Jensen+2003            ,SBF:Jensen+2003                ,28630,50007,2003ApJ...583..712J,2003ApJ...583..712J,Freedman+2001
NGC3031,J095533.1+690355,27.96,0.26,,,3.90840731007692,0.497139931901746,,,27.9039541800863,SBF       ,    50006,Tonry+2001             ,SBF:Tonry+2000                 ,28630,50006,2001ApJ...546..681T,2000ApJ...530..625T,Ferrarese+2000
NGC3031,J095533.1+690355,27.7,0.09,,,3.46736972277367,0.146730427384311,,,27.6678174126256,Sosie     ,    51162,Terry+2002             ,Sosie:Terry+2002               ,28630,51162,2002A&A...393...57T,2002A&A...393...57T,Paturel+2002
NGC3031,J095533.1+690355,28.15,0.35,,,4.26579443862968,0.746077897643048,,,28.1721781436777,TF        ,    51600,Tully+2008             ,TF:Tully+2008                  ,28630,51600,2008ApJ...676..184T,2008ApJ...676..184T,Freedman+2001
NGC3031,J095533.1+690355,27.715,0.07,,,3.4914034001244,0.114382776715874,,,27.7766282891222,TRGB      ,    51280,Dalcanton+2009         ,TRGB:Girardi+2008              ,28630,51280,2009ApJS..183...67D,2008PASP..120..583G,Girardi+2008
NGC3031,J095533.1+690355,27.767,0.02,,,3.57602082847893,0.0330892741628319,,,27.8286283348986,TRGB      ,    51280,Dalcanton+2009         ,TRGB:Girardi+2008              ,28630,51280,2009ApJS..183...67D,2008PASP..120..583G,Girardi+2008
NGC3031,J095533.1+690355,27.768,0.04,,,3.57766712114052,0.0665153342226019,,,27.8296277855822,TRGB      ,    51280,Dalcanton+2009         ,TRGB:Girardi+2008              ,28630,51280,2009ApJS..183...67D,2008PASP..120..583G,Girardi+2008
NGC3031,J095533.1+690355,27.78,0.04,,,3.59749448912796,0.0668839610298999,,,27.8416288231799,TRGB      ,    51280,Dalcanton+2009         ,TRGB:Girardi+2008              ,28630,51280,2009ApJS..183...67D,2008PASP..120..583G,Girardi+2008
NGC3031,J095533.1+690355,28.03,0.12,,,4.03645520605119,0.229342979511083,,,28.0389949061465,TRGB      ,    51332,Sakai+2004             ,TRGB:Lee+1993                  ,28630,51332,2004ApJ...608...42S,1993ApJ...417..553L,Lee+1993
NGC3031,J095533.1+690355,27.69,0.04,,,3.45143824221423,0.0641685099413021,,,27.6925479648837,TRGB      ,    51342,Rizzi+2007             ,TRGB:Rizzi+2007                ,28630,51342,2007ApJ...661..815R,2007ApJ...661..815R,Rizzi+2007
NGC3031,J095533.1+690355,27.79,0.07,,,3.61410015015799,0.11840247692077,,,27.7925483463535,TRGB      ,    51670,Radburn-Smith+2011     ,TRGB:Rizzi+2007                ,28630,51670,2011ApJS..195...18R,2007ApJ...661..815R,Rizzi+2007
NGC3031,J095533.1+690355,27.84,0.0900002,,,3.69828205767842,0.156502060725384,,,27.842547583414,TRGB      ,    52052,Jacobs,+2009           ,TRGB:Rizzi+2007                ,28630,52052,2009AJ....138..332J,2007ApJ...661..815R,
NGC3031,J095533.1+690355,27.95,0.0500002,,,3.89045281683994,0.0906188886950332,,,27.9052174683697,TRGB      ,    52052,Jacobs,+2009           ,TRGB:Wu+2014:F110W             ,28630,52052,2009AJ....138..332J,2014AJ....148....7W,
NGC3031,J095533.1+690355,27.92,0.165,,,3.83707258973703,0.302922412972094,,,27.8787257861441,TRGB      ,    52052,Jacobs,+2009           ,TRGB:Wu+2014:F160W             ,28630,52052,2009AJ....138..332J,2014AJ....148....7W,
NGC3031,J095533.1+690355,27.93,0.04,,,3.85478411840381,0.0716674428642396,,,27.9300003051758,TRGB      ,    51424,Tikhonov+2005          ,                               ,28630,51424,2005A&A...431..127T,,Lee+1993
NGC3031,J095533.1+690355,27.55,,,:,3.23593543236117,,,:,27.5499992370605,BRSLF     ,    51532,Humphreys+1986         ,                               ,28630,51532,1986AJ.....91..808H,,
