TAB5_INDEX,Flag,z_c,z_cErr,A_v,A_vErr,Q,C_Hb,C_HbErr,log_sigma(Hb),log_sigma(Hb)Err,log_sigma([OIII]),log_sigma([OIII])Err,logL(Hb),logL(Hb)Err,12+logO/H,12+logO/HErr,logR_u,logR_uErr,logM_dyn,logM_dynErr,logM_cl,logM_clErr,logM_ion,logM_ionErr,logSFR,logSFRErr
028,4,0.02077,0.78e-5,0.39,0.16,7.37,0.04,0.02,1.480,0.026,1.492,0.005,40.17,0.09,8.22,0.17,2.57,0.04,7.83,0.06,7.02,0.09,6.45,0.09,-0.64,0.09
029,4,0.05547,1.46e-5,0.31,0.11,7.92,0.03,0.01,1.565,0.033,1.545,0.024,40.97,0.08,8.19,0.09,3.06,0.03,8.49,0.07,7.82,0.08,7.00,0.08,0.16,0.08
030,4,0.02370,0.94e-5,0.74,0.16,6.27,0.07,0.02,1.588,0.033,1.609,0.024,40.81,0.15,8.31,0.12,2.71,0.03,8.19,0.07,7.66,0.15,6.94,0.15,0.00,0.15
031,4,0.08769,1.19e-5,0.63,0.22,2.64,0.06,0.02,1.532,0.035,1.547,0.002,41.06,0.12,8.13,0.19,3.11,0.04,8.47,0.08,7.91,0.12,6.65,0.12,0.25,0.12
032,3,0.09729,0.86e-5,0.36,0.11,5.83,0.04,0.01,1.649,0.033,1.641,0.023,41.53,0.08,8.10,0.08,2.70,0.07,8.30,0.10,8.39,0.08,7.29,0.08,0.72,0.08
033,4,0.10937,0.41e-5,0.94,0.26,0.00,0.09,0.03,1.688,0.025,1.705,0.006,41.83,0.13,8.07,0.20,2.89,0.03,8.57,0.06,8.68,0.13,7.75,0.13,1.02,0.13
034,4,0.11245,0.63e-5,0.55,0.16,4.95,0.05,0.02,1.707,0.024,1.700,0.005,41.54,0.10,8.17,0.14,3.13,0.03,8.85,0.06,8.39,0.10,7.35,0.10,0.73,0.10
035,3,0.07302,0.85e-5,0.38,0.13,0.88,0.04,0.01,1.664,0.019,1.629,0.009,41.25,0.08,7.93,0.11,2.60,0.03,8.23,0.05,8.10,0.08,7.09,0.08,0.44,0.08
036,3,0.04258,1.61e-5,0.67,0.15,5.72,0.07,0.01,1.637,0.034,1.479,0.024,41.38,0.10,7.68,0.14,2.63,0.03,8.20,0.08,8.23,0.10,6.52,0.10,0.57,0.10
037,1,0.05156,1.19e-5,0.64,0.18,0.00,0.06,0.02,nan,nan,nan,nan,40.92,0.10,8.10,0.14,2.79,0.05,nan,nan,7.77,0.10,6.56,0.10,0.11,0.10
038,4,0.08479,0.86e-5,0.74,0.16,6.38,0.07,0.02,1.652,0.024,1.607,0.007,41.56,0.10,8.04,0.12,3.11,0.03,8.72,0.06,8.41,0.10,7.85,0.10,0.75,0.10
039,4,0.03065,1.06e-5,1.05,0.23,0.00,0.10,0.02,1.490,0.035,1.440,0.024,41.15,0.13,8.04,0.17,3.16,0.03,8.44,0.07,8.00,0.13,7.31,0.13,0.34,0.13
040,4,0.09209,1.19e-5,1.07,0.22,0.33,0.11,0.02,1.747,0.024,1.709,0.005,41.93,0.12,8.19,0.18,2.96,0.03,8.76,0.06,8.79,0.12,7.53,0.12,1.12,0.12
041,4,0.03127,1.24e-5,0.60,0.17,0.00,0.06,0.02,1.449,0.035,1.440,0.024,40.83,0.10,nan,nan,2.83,0.03,8.03,0.08,7.69,0.10,7.12,0.10,0.02,0.10
042,4,0.01125,1.80e-5,0.84,0.18,0.00,0.08,0.02,1.406,0.040,1.368,0.029,40.37,0.11,8.06,0.15,2.70,0.03,7.82,0.08,7.22,0.11,6.07,0.11,-0.44,0.11
043,4,0.07687,1.31e-5,0.55,0.13,0.00,0.05,0.01,1.725,0.032,1.565,0.027,41.91,0.09,8.11,0.10,2.99,0.03,8.74,0.07,8.76,0.09,7.62,0.09,1.10,0.09
044,4,0.09922,0.96e-5,0.79,0.18,6.27,0.08,0.02,1.766,0.024,1.747,0.007,41.77,0.10,8.19,0.13,2.92,0.03,8.76,0.06,8.63,0.10,7.34,0.10,0.96,0.10
045,4,0.12641,0.30e-5,0.24,0.09,3.19,0.02,0.01,1.646,0.025,1.632,0.004,41.60,0.08,8.13,0.08,3.02,0.04,8.62,0.06,8.45,0.08,7.23,0.08,0.79,0.08
046,4,0.04038,1.45e-5,0.01,0.08,3.30,0.00,0.01,1.566,0.025,1.550,0.004,40.74,0.07,7.87,0.06,2.93,0.05,8.36,0.07,7.59,0.07,7.02,0.07,-0.07,0.07
047,4,0.02771,1.06e-5,0.32,0.08,3.19,0.03,0.01,1.535,0.035,1.486,0.024,41.02,0.06,8.11,0.06,2.80,0.03,8.17,0.07,7.87,0.06,6.82,0.06,0.21,0.06
048,4,0.02293,1.46e-5,0.50,0.15,0.00,0.05,0.01,1.477,0.035,1.451,0.023,40.36,0.09,8.03,0.12,2.50,0.03,7.75,0.08,7.21,0.09,6.12,0.09,-0.45,0.09
049,4,0.05815,0.96e-5,0.47,0.17,0.66,0.05,0.02,1.614,0.024,1.586,0.004,40.90,0.10,8.32,0.15,2.78,0.04,8.30,0.06,7.75,0.10,6.81,0.10,0.09,0.10
050,1,0.07590,0.78e-5,0.57,0.16,1.32,0.06,0.02,nan,nan,1.636,0.013,41.26,0.10,8.06,0.12,3.06,0.04,nan,nan,8.11,0.10,7.40,0.10,0.45,0.10
051,4,0.10809,1.18e-5,0.96,0.26,1.21,0.09,0.03,1.737,0.023,1.695,0.006,41.69,0.13,7.88,0.20,2.97,0.05,8.75,0.06,8.55,0.13,7.23,0.13,0.88,0.13
052,4,0.09494,0.25e-5,0.33,0.19,0.00,0.03,0.02,1.561,0.025,1.556,0.003,41.33,0.10,8.06,0.17,2.98,0.05,8.40,0.07,8.18,0.10,7.07,0.10,0.52,0.10
053,4,0.01352,1.31e-5,0.25,0.08,2.64,0.02,0.01,1.441,0.036,1.403,0.024,40.32,0.07,7.98,0.06,2.44,0.04,7.62,0.08,7.17,0.07,6.50,0.07,-0.49,0.07
054,4,0.08536,0.78e-5,0.51,0.15,0.33,0.05,0.01,1.700,0.024,1.681,0.004,41.46,0.09,8.06,0.11,3.00,0.03,8.70,0.06,8.31,0.09,7.74,0.09,0.65,0.09
055,4,0.10263,0.86e-5,0.44,0.10,6.60,0.04,0.01,1.787,0.031,1.756,0.022,41.97,0.08,8.00,0.08,3.07,0.03,8.94,0.07,8.82,0.08,7.75,0.08,1.16,0.08
056,4,0.04587,0.95e-5,0.00,0.00,0.00,0.00,0.00,1.602,0.025,1.581,0.007,40.61,0.06,nan,nan,2.67,0.03,8.18,0.06,7.46,0.06,6.44,0.06,-0.20,0.06
057,4,0.01558,2.00e-5,0.24,0.10,0.00,0.02,0.01,1.536,0.034,1.501,0.025,40.19,0.07,7.97,0.08,2.39,0.03,7.76,0.07,7.04,0.07,6.12,0.07,-0.62,0.07
058,4,0.02329,1.46e-5,0.01,0.18,1.65,0.00,0.02,1.496,0.036,1.332,0.026,39.93,0.10,7.78,0.16,2.52,0.06,7.81,0.10,6.78,0.10,5.10,0.10,-0.88,0.10
059,4,0.01765,3.39e-5,0.35,0.11,0.00,0.03,0.01,1.434,0.036,1.396,0.025,40.25,0.07,8.14,0.09,2.56,0.03,7.73,0.08,7.10,0.07,6.11,0.07,-0.56,0.07
060,4,0.01822,0.69e-5,0.44,0.13,0.00,0.04,0.01,1.440,0.035,1.453,0.024,40.27,0.09,nan,nan,2.52,0.03,7.70,0.08,7.12,0.09,6.55,0.09,-0.54,0.09
061,4,0.09883,0.78e-5,0.60,0.16,0.00,0.06,0.02,1.750,0.025,1.706,0.006,41.64,0.10,8.04,0.13,2.68,0.03,8.48,0.06,8.49,0.10,7.44,0.10,0.83,0.10
062,2,0.04662,2.23e-5,0.53,0.15,3.96,0.05,0.01,1.808,0.032,1.682,0.024,41.33,0.09,8.05,0.12,2.83,0.03,8.75,0.07,8.18,0.09,7.21,0.09,0.52,0.09
063,4,0.12029,0.86e-5,0.72,0.18,1.54,0.07,0.02,1.746,0.025,1.691,0.008,41.86,0.10,8.20,0.15,3.13,0.04,8.92,0.06,8.71,0.10,7.46,0.10,1.05,0.10
064,4,0.01578,1.19e-5,0.35,0.11,0.55,0.03,0.01,1.296,0.044,1.241,0.029,40.17,0.08,7.91,0.09,2.84,0.03,7.73,0.09,7.02,0.08,5.80,0.08,-0.64,0.08
065,4,0.01621,1.63e-5,0.94,0.21,2.31,0.09,0.02,1.425,0.042,1.399,0.025,40.49,0.12,8.06,0.18,2.73,0.03,7.88,0.09,7.35,0.12,6.26,0.12,-0.32,0.12
066,4,0.03259,1.45e-5,0.34,0.20,0.00,0.03,0.02,1.297,0.035,1.270,0.000,40.14,0.10,7.82,0.16,2.59,0.07,7.48,0.10,6.99,0.10,6.43,0.10,-0.67,0.10
067,4,0.02518,1.61e-5,0.66,0.16,0.00,0.07,0.02,1.532,0.034,1.447,0.024,40.72,0.10,7.86,0.12,2.47,0.03,7.84,0.08,7.57,0.10,6.82,0.10,-0.09,0.10
068,2,0.03964,1.31e-5,0.91,0.19,5.17,0.09,0.02,1.839,0.032,1.807,0.023,41.34,0.11,8.23,0.14,2.62,0.03,8.60,0.07,8.19,0.11,6.81,0.11,0.53,0.11
069,3,0.06244,1.45e-5,0.22,0.08,0.00,0.02,0.01,1.681,0.042,1.578,0.012,41.62,0.07,7.99,0.07,2.58,0.03,8.24,0.09,8.47,0.07,7.28,0.07,0.81,0.07
070,4,0.05564,0.95e-5,0.68,0.17,0.44,0.07,0.02,1.612,0.025,1.573,0.007,41.12,0.10,8.11,0.12,3.00,0.03,8.53,0.06,7.97,0.10,6.86,0.10,0.31,0.10
071,3,0.14486,0.41e-5,0.06,0.15,1.43,0.01,0.02,1.709,0.032,1.656,0.023,41.69,0.08,8.03,0.14,nan,nan,nan,nan,8.55,0.08,6.95,0.08,0.88,0.08
072,4,0.14807,0.86e-5,0.46,0.14,10.12,0.05,0.01,1.774,0.024,1.763,0.001,41.82,0.08,8.03,0.11,3.11,0.03,8.95,0.06,8.67,0.08,8.10,0.08,1.01,0.08
073,4,0.01390,1.61e-5,0.42,0.18,0.00,0.04,0.02,1.279,0.044,1.191,0.026,39.59,0.09,7.73,0.14,2.36,0.05,7.22,0.10,6.44,0.09,5.30,0.09,-1.22,0.09
074,4,0.03476,1.31e-5,0.28,0.08,1.10,0.03,0.01,1.560,0.037,1.485,0.024,41.20,0.07,7.87,0.06,2.86,0.03,8.28,0.08,8.05,0.07,6.94,0.07,0.39,0.07
075,4,0.03375,1.28e-5,1.17,0.71,3.63,0.12,0.07,1.540,0.034,1.540,0.005,41.00,0.30,nan,nan,nan,nan,nan,nan,7.85,0.30,nan,nan,0.19,0.30
076,1,0.19347,0.14e-5,0.47,0.16,0.55,0.05,0.02,nan,nan,nan,nan,41.77,0.10,8.20,0.13,2.91,0.07,nan,nan,8.62,0.10,7.26,0.10,0.96,0.10
077,4,0.04583,1.45e-5,1.03,0.21,2.97,0.10,0.02,1.791,0.033,1.759,0.023,41.74,0.12,8.14,0.14,2.78,0.03,8.66,0.07,8.59,0.12,7.29,0.12,0.93,0.12
078,4,0.06988,1.45e-5,0.63,0.21,0.99,0.06,0.02,1.597,0.022,1.574,0.001,40.98,0.11,7.85,0.16,nan,nan,nan,nan,7.83,0.11,6.93,0.11,0.17,0.11
079,3,0.05050,0.95e-5,0.15,0.11,6.27,0.01,0.01,1.630,0.034,1.554,0.024,40.67,0.08,7.98,0.09,2.57,0.04,8.14,0.08,7.52,0.08,6.32,0.08,-0.14,0.08
080,4,0.07806,1.19e-5,0.62,0.19,3.41,0.06,0.02,1.593,0.025,1.601,0.007,41.21,0.10,8.11,0.16,3.10,0.03,8.59,0.06,8.06,0.10,6.90,0.10,0.40,0.10
081,4,0.01453,2.00e-5,0.16,0.07,0.00,0.02,0.01,1.410,0.038,1.404,0.024,40.25,0.07,7.61,0.05,2.20,0.03,7.32,0.08,7.10,0.07,5.68,0.07,-0.56,0.07
082,4,0.02777,2.00e-5,0.48,0.13,0.00,0.05,0.01,1.593,0.034,1.572,0.024,41.14,0.09,8.17,0.10,2.82,0.04,8.31,0.08,7.99,0.09,6.85,0.09,0.33,0.09
083,4,0.01216,2.75e-5,0.39,0.12,0.00,0.04,0.01,1.446,0.036,1.344,0.025,40.20,0.08,7.99,0.09,2.43,0.05,7.62,0.09,7.06,0.08,6.02,0.08,-0.61,0.08
084,4,0.03039,0.56e-5,1.00,0.22,0.66,0.10,0.02,1.639,0.033,1.603,0.024,41.60,0.12,8.17,0.16,2.76,0.02,8.34,0.07,8.45,0.12,7.36,0.12,0.79,0.12
