No.,Object Name,RA-s,Dec-s,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag
70,WISEA J105326.00+043014.5,10h53m26.0027s,+04d30m14.529s,163.3583447,4.5040359,G,5696.47521227137,0.019001396,SLS
71,SHOC 079a,01h41m37.2180s,-09d14m35.238s,25.405075,-9.2431219,PofG,5415.66201520243,0.018064704,SLS
72,WISEA J220802.85+131334.5,22h08m02.8553s,+13d13m34.538s,332.0118974,13.2262608,G,34841.0190644055,0.11621713,SLS
73,WISEA J212043.94+010006.9,21h20m43.9460s,+01d00m06.906s,320.1831085,1.0019185,G,34102.0426471339,0.11375217,SLS
74,WISEA J104755.92+073951.2,10h47m55.9215s,+07d39m51.228s,161.9830066,7.6642302,G,50450.2859937703,0.16828404,SLS
75,WISEA J214350.85-072003.9,21h43m50.8608s,-07d20m03.673s,325.96192,-7.3343537,G,32939.396530292,0.109874,SLS
76,WISEA J092540.91+063116.8,09h25m40.9102s,+06d31m16.856s,141.4204593,6.521349,G,22443.8094740164,0.07486449,SLS
77,WISEA J103509.33+094517.2,10h35m09.3367s,+09d45m17.271s,158.788903,9.7547976,G,14751.1589851331,0.04920457,SLS
78,WISEA J092749.17+084037.1,09h27m49.1786s,+08d40m37.117s,141.9549112,8.6769771,G,32096.5240387758,0.10706248,SLS
79,WISEA J101036.62+641242.6,10h10m36.6230s,+64d12m42.670s,152.652596,64.2118528,G,11851.3513801647,0.039531853,SLS
80,WISEA J100746.48+025229.1,10h07m46.4813s,+02d52m29.147s,151.9436723,2.8747633,G,7046.13486233821,0.023503376,SLS
81,WISEA J222510.11-001153.1,22h25m10.1328s,-00d11m52.837s,336.29222,-0.19801052,G,19990.5838068058,0.06668141,SLS
82,WISEA J105331.37+011740.5,10h53m31.3719s,+01d17m40.580s,163.3807163,1.2946058,G,37113.0052011323,0.12379566,SLS
83,WISEA J105210.40+032712.7,10h52m10.4136s,+03d27m13.279s,163.04339,3.4536887,G,45013.9574856832,0.1501504,SLS
84,WISEA J221823.83+003918.6,22h18m23.8365s,+00d39m18.620s,334.599319,0.6551724,G,32505.8876422503,0.10842797,SLS
85,WISEA J102429.21+052451.0,10h24m29.2199s,+05d24m51.092s,156.1217497,5.4141923,G,9950.34851706182,0.03319079,SLS
86,WISEA J090531.04+033530.3,09h05m31.0465s,+03d35m30.300s,136.3793606,3.5917501,G,11718.3343659274,0.039088156,SLS
87,WISEA J084414.20+022621.3,08h44m14.2089s,+02d26m21.363s,131.0592038,2.4392677,G,27309.0183599906,0.09109308,SLS
88,WISEA J084056.00+022030.8,08h40m56.0026s,+02d20m30.858s,130.2333443,2.3419051,G,15102.5097500599,0.05037655,SLS
89,WISEA J225140.29+132713.7,22h51m40.2976s,+13d27m13.722s,342.9179067,13.4538119,G,18629.6909333377,0.06214196,SLS
90,WISEA J230123.64+133314.2,23h01m23.6430s,+13d33m14.285s,345.3485128,13.5539682,G,9080.47521781589,0.030289205,SLS
91,WISEA J230117.65+135229.7,23h01m17.6595s,+13d52m29.713s,345.3235814,13.8749203,G,7361.75756129044,0.02455618,SLS
92,WISEA J224556.90+125022.4,22h45m56.9001s,+12d50m22.437s,341.487084,12.8395659,G,24126.6015013374,0.08047768,SLS
93,WISEA J081334.13+313251.9,08h13m34.1385s,+31d32m51.942s,123.3922438,31.5477617,G,5854.92392051319,0.019529924,SLS
94,WISEA J080000.72+274641.8,08h00m00.7236s,+27d46m41.834s,120.0030151,27.7782874,G,11767.9008517633,0.039253492,SLS
95,SDSS J171236.62+321633.4,17h12m36.6312s,+32d16m33.427s,258.15263,32.275952,G,3582.41644470199,0.011949655,SLS
96,WISEA J084219.11+300703.6,08h42m19.1195s,+30d07m03.630s,130.5796647,30.1176752,G,25200.5869966504,0.08406011,SLS
97,WISEA J081403.76+235328.7,08h14m03.7618s,+23d53m28.785s,123.5156744,23.8913294,G,5960.73027230005,0.019882856,SLS
98,WISEA J074806.32+193146.4,07h48m06.3280s,+19d31m46.486s,117.0263669,19.5295797,G,18860.7469765674,0.06291268,SLS
99,WISEA J104829.15+111520.0,10h48m29.1552s,+11d15m20.089s,162.1214802,11.2555804,G,27791.7891447309,0.09270343,SLS
100,WISEA J101042.53+125516.8,10h10m42.5379s,+12d55m16.822s,152.6772414,12.9213396,G,18381.1300084853,0.06131285,SLS
101,SDSS J082520.11+082723.0,08h25m20.1120s,+08d27m23.204s,126.3338,8.4564458,G,26037.2103143795,0.086850785,SLS
102,WISEA J101157.10+130822.0,10h11m57.0888s,+13d08m22.124s,152.98787,13.139479,G,43103.0443832962,0.14377628,SLS
103,WISEA J080619.49+194927.2,08h06m19.4918s,+19d49m27.251s,121.5812161,19.8242364,G,20919.274887349,0.06977919,SLS
104,WISEA J081420.73+575007.7,08h14m20.7377s,+57d50m07.785s,123.5864074,57.835496,G,16564.3097669662,0.05525259,SLS
105,WISEA J105108.90+131928.2,10h51m08.9080s,+13d19m28.218s,162.7871169,13.324505,G,13618.2717666346,0.045425665,SLS
106,WISEA J074947.00+154013.4,07h49m47.0088s,+15d40m13.328s,117.44587,15.670369,G,22241.3356437324,0.07418911,SLS
107,WISEA J090418.13+260106.2,09h04m18.1308s,+26d01m06.255s,136.075545,26.0184042,G,29495.8466502677,0.098387554,SLS
108,WISEA J082722.53+202613.0,08h27m22.5388s,+20d26m13.092s,126.8439118,20.4369701,G,32557.1221733225,0.10859887,SLS
109,SDSS J094254.26+340411.9,09h42m54.2736s,+34d04m11.892s,145.72614,34.06997,G,6741.54002895351,0.022487357,SLS
110,WISEA J142342.85+225728.4,14h23m42.8524s,+22d57m28.453s,215.9285518,22.9579036,G,9847.5940524974,0.032848038,SLS
111,2MASS J11421221+0020039,11h42m12.2162s,+00d20m03.919s,175.550901,0.334422,G,5396.264244,0.018,SLS
112,WISEA J103411.72+014247.2,10h34m11.7297s,+01d42m47.249s,158.548874,1.7131248,*,,,
113,SDSS J131235.33+125744.5,13h12m35.3393s,+12d57m44.510s,198.1472474571,12.9623639909,G,,,
114,WISEA J105032.51+153806.6,10h50m32.5192s,+15d38m06.607s,162.6354968,15.6351686,G,25310.4591337526,0.084426604,SLS
115,WISEA J085221.70+121651.7,08h52m21.7078s,+12d16m51.777s,133.0904493,12.2810493,G,22761.3871195873,0.075923815,SLS
116,WISEA J083946.00+140033.4,08h39m46.0057s,+14d00m33.485s,129.9416907,14.0093014,G,33459.9129842492,0.111610256,SLS
117,WISEA J101458.63+193219.3,10h14m58.6416s,+19d32m19.554s,153.74434,19.538765,G,3785.93625087199,0.012628524,SLS
118,WISEA J100720.55+193348.5,10h07m20.4936s,+19d33m49.629s,151.83539,19.563786,G,9416.3797759292,0.031409662,SLS
119,WISEA J091640.96+182808.4,09h16m40.9824s,+18d28m07.914s,139.17076,18.468865,G,6526.69316434289,0.021770705,SLS
120,WISEA J093424.08+222522.6,09h34m24.0818s,+22d25m22.645s,143.6003412,22.4229571,G,25279.2555355542,0.08432252,SLS
121,WISEA J084000.36+180530.9,08h40m00.3656s,+18d05m30.910s,130.0015237,18.0919195,G,21641.4989020677,0.07218827,SLS
122,WISEA J103726.55+270759.4,10h37m26.5570s,+27d07m59.422s,159.3606545,27.1331729,G,23107.2262001738,0.07707741,SLS
123,WISEA J103226.97+271755.3,10h32m26.9567s,+27d17m55.244s,158.1123199,27.298679,G,57707.1881449507,0.19249046,SLS
124,WISEA J101136.07+263027.5,10h11m36.0760s,+26d30m27.574s,152.9003168,26.5076596,G,16388.4665007263,0.05466604,SLS
125,WISEA J162152.58+151855.9,16h21m52.5834s,+15d18m55.934s,245.4690976,15.3155374,G,10295.0510844401,0.034340594,SLS
126,WISEA J090506.84+223834.7,09h05m06.8640s,+22d38m33.932s,136.2786,22.642759,G,37638.4604360426,0.12554839,SLS
127,WISEA J094000.50+203122.7,09h40m00.5062s,+20d31m22.702s,145.0021095,20.522973,G,13430.4089213761,0.044799022,SLS
128,WISEA J192757.99-413431.8,19h27m57.9977s,-41d34m31.847s,291.9916572,-41.5755132,IrS,,,
