# id redshift galex.FUV galex.FUV_err galex.NUV galex.NUV_err sloan.sdss.u sloan.sdss.u_err sloan.sdss.g sloan.sdss.g_err sloan.sdss.r sloan.sdss.r_err sloan.sdss.i sloan.sdss.i_err sloan.sdss.z sloan.sdss.z_err wise.W1 wise.W1_err wise.W2 wise.W2_err wise.W3 wise.W3_err wise.W4 wise.W4_err 
0_UM199 0.12682357755555893 0.05372791656065097 0.0014509864102539847 0.06864991439230915 0.001099120750173596 0.08271799518641329 0.0026665131169402393 0.13753080974214546 0.001140035012422792 0.10934526967309194 0.0014099500124565827 0.18297847342954138 0.0021908822273398795 0.12682357755555893 0.006541294572279136 0.0946927606943421 0.006453928920001641 0.10631396008124065 0.011848171879555072 1.387723402858043 0.16871454444873077 10.326712750521486 1.1698842340779296 
1_UM282 0.1752265861885708 0.10543868963912581 0.0020999342042365412 0.10150326215166904 0.0012866934818269824 0.1234809607858603 0.003525635202718893 0.23463889244641323 0.001728883251147982 0.15718098282039206 0.0017372284221330622 0.1806342083169977 0.0026619240662752 0.1752265861885708 0.010813106556808259 0.07704008943011295 0.006102262835073894 0.06231466942423622 0.01497981613623065 0.5038519136686446 0.2343527049089687 4.425497469805352 1.4143837290242658 
2_UM336 0.30732649292042896 0.06582032160924937 0.0014293330423551557 0.07492038492127504 0.0010851949380530316 0.11662724050819641 0.004081871010554307 0.27694912668096805 0.002040636577962613 0.2970297844017863 0.002462170873459638 0.2951209226666381 0.0038054298081119566 0.30732649292042896 0.011039268259979229 0.13788492215242285 0.006603828738973716 0.10041308160272668 0.012392838035425777 nan nan nan nan 
4_SBS0934+546 0.35809643710263583 0.22033322944815456 0.0030624830884614603 0.24017068680276596 0.002012101808191587 0.2613364576189026 0.002888397271531946 0.35448674447379985 0.0016324717869787221 0.3407218616593577 0.0018828985908336396 0.5238416190277907 0.0028948557673518166 0.35809643710263583 0.007585837164926646 0.3677195993490587 0.00948310348006432 0.37965602420946465 0.01188898810461736 3.30143622586035 0.1277108756974943 22.323490240089914 1.089716800029097 
5_UM570 0.04608928809808951 0.07694138506153358 0.009692859757118312 0.07753182378131188 0.0062362657026220234 0.0743361389655177 0.001985517311251725 0.20026266903409007 0.0011066924073626309 0.10626738654024653 0.0010766346805236341 0.05628594992827295 0.0013478731681984457 0.04608928809808951 0.004711928142828775 0.04667848781013259 0.004471217512116808 0.08020294128220173 0.010267879793793502 1.5118298376779267 0.13088999346151817 7.385197207200435 0.8842623399022911 
6_UM162 0.21281390459827157 0.053289298103836466 0.0013281977219952717 0.0666131544415393 0.0009043613689140634 0.09826525828295317 0.0036202259021046023 0.22304885593776094 0.002054355882766659 0.1839924489796672 0.002372486313366676 0.2857590543374944 0.0036847134167513045 0.21281390459827157 0.010192460185644613 0.10081305560870478 0.006592510148275448 0.14079599310661478 0.012967790195223348 1.5729065189617935 0.16515185030749696 8.10516941205119 1.082444851334062 
10_SHOC391 1.2280046179887882 1.0020283291640621 0.03443172747068315 1.076564364305983 0.02053852110883568 1.32678331072416 0.0073320755349761705 3.03109815358405 0.008375233708613292 1.893215275777464 0.005231147126200561 1.1428783347897724 0.004210519386868463 1.2280046179887882 0.009048272408028262 3.4794994986662005 0.07370896182572326 8.460388289805882 0.15584611165638732 112.90233200142849 1.5598033597845233 375.28576960107836 5.530415479655943 
11_WAS69 0.7131813866797402 0.19778802779423982 0.015923454714442994 0.258249803654048 0.010312521990292475 0.4145720317867252 0.004963854377894709 0.8309980410444329 0.003061509922585865 0.7899507213358176 0.0036378575102954938 0.6332861644521969 0.002916390563734009 0.7131813866797402 0.01050982930924539 0.35671122689832874 0.009856295442716502 0.3012938697698905 0.014430099281366897 3.2441648343886538 0.19123111902409756 17.537274379368892 1.3406514097150164 
12_WAS17 0.17139573075084236 0.09721202725919827 0.007707876846692322 0.11604862524256558 0.005359542584802474 0.1449439191287786 0.002536467377046057 0.27848384078050026 0.0015389585770101777 0.22100393173491817 0.0016284171478588682 0.17474308552673234 0.00193133195442066 0.17139573075084236 0.004893700357408414 0.09478001612646118 0.0061979890838013045 0.0786665846490785 0.011447827124198456 0.9304711507622953 0.16454315529264205 6.332308965744082 1.1372930578428797 
14_WISEAJ095227.57+322810.3 0.8009400305332887 0.21627185237270202 0.008187679298299848 0.22261785814856003 0.005044257724151196 0.37256323846660316 0.004804007930908404 0.6338697112569269 0.002335262316865024 0.7655966069112554 0.0028205621349130863 0.7372249081043352 0.004074055400603874 0.8009400305332887 0.014753860597505171 0.3005500318009321 0.009688588320931977 0.22729521623854668 0.012770144469521552 0.9924369203197175 0.14259463660822233 9.426752325995784 1.085294969059242 
15_WISEAJ094252.78+354725.7 0.3977406691050282 0.2769746358129134 0.018373313706584005 0.27514397041762606 0.01081145181978253 0.3756643646144586 0.004497995662837729 0.5321082592667937 0.00245044909129346 0.49934418872134984 0.002759477964535166 0.38618908944898994 0.003201239665591878 0.3977406691050282 0.010257315438257614 0.1924494960820524 0.007799111598656397 0.16741343040580828 0.012643864350396659 1.4083250765816537 0.15046537839259488 9.297412435255945 1.3786805630283547 
