 # ; obj tags ;obj count;    raw id    ;            identifier             ;typ;      coord1 (FK5,J2000/2000)      ;  redshift  
57 ;d         ;        3;J093006+602653;LB 555                             ;EmG;142.5269901116390 +60.4480972656328;0.01364     
58 ;d         ;        3;J093424+222522;SDSS J093424.08+222522.6           ;G  ;143.6003719958543 +22.4229508786488;0.08432     
59 ;dx        ;        4;J093813+542825;LEDA 27453                         ;Sy2;144.5562075622725 +54.4735907882074;0.10212     
60 ;d         ;        3;J094000+203122;SDSS J094000.51+203122.5           ;G  ;145.0021475918562 +20.5229127801380;0.04484     
61 ;d         ;        3;J094252+354725;LEDA 3531560                       ;H2G;145.7199180627836 +35.7904948197030;0.01485     
62 ;d         ;        3;J094254+340411;SDSS J094254.27+340411.9           ;EmG;145.7261232781841 +34.0700523965735;0.02256     
63 ;d         ;        3;J094809+425713;US 982                             ;EmG;147.0412573852364 +42.9537814370520;0.01715     
64 ;d         ;        3;J095000+300341;LEDA 142860                        ;H2G;147.5031878437906 +30.0614141143149;0.01730     
65 ;d         ;        3;J095023+004229;SHOC 282                           ;Sy1;147.5971955785384 +00.7081317766930;0.09772     
66 ;d         ;        3;J095131+525936;LEDA 28398                         ;EmG;147.8823339870502 +52.9933248497515;0.04626     
67 ;d         ;        3;J095226+021759;SHOC 283                           ;Sy1;148.1123612749755 +02.2999056519330;0.11918     
68 ;d         ;        3;J095227+322809;LEDA 28449                         ;AG?;148.11486122 +32.46960293          ;0.015060    
69 ;d         ;        3;J095545+413429;2MASX J09554552+4134302            ;EmG;148.9398490924527 +41.5748625782264;0.01576     
70 ;x*        ;        1;GD 108        ;GD 108                             ;HS*;150.1968661541422 -07.5585532725435;0.000302    
71 ;d         ;        3;J100720+193349;SDSS J100720.48+193349.5           ;EmG;151.8353737648551 +19.5637819658763;0.03143     
72 ;d         ;        3;J100746+025228;RESOLVE rs219                      ;EmG;151.9437834465516 +02.8745734395481;0.02349     
73 ;d         ;        3;J101036+641242;[HM2015b] 84 2                     ;G  ;152.6526462571231 +64.2118401527106;0.03953     
74 ;d         ;        3;J101042+125516;[BKD2008] WR 341                   ;EmG;152.6772488812309 +12.9213158418806;0.06136     
