    0.200072038173675537E+02    0.541140437126159668E+00    0.805038958787918091E+00   -0.446067866128692497E+07   -0.460515351937698814E+01    1
    0.236848831176757812E+02    0.519432425498962402E+00    0.793402701616287231E+00   -0.299327347617161646E+07   -0.461515351937698259E+01    1
    0.245052707195281982E+02    0.737265348434448242E+00    0.980899155139923096E+00   -0.238695278039452666E+07   -0.462515351937698149E+01    1
    0.274149954319000244E+02    0.668835639953613281E-01    0.879332065582275391E+00   -0.208779310858202190E+07   -0.463515351937698661E+01    1
    0.274146485328674316E+02    0.273414254188537598E+00    0.914261192083358765E+00   -0.194532817012096080E+07   -0.464515351937698728E+01    1
    0.229065096378326416E+02    0.181411147117614746E+01    0.553086698055267334E+00   -0.167853556986956019E+07   -0.465515351937698174E+01    1
    0.243245601654052734E+02    0.147183477878570557E+01    0.733448207378387451E+00   -0.165602231883098907E+07   -0.466515351937698153E+01    1
    0.228196072578430176E+02    0.201972186565399170E+01    0.559335410594940186E+00   -0.150310028828191198E+07   -0.467515351937698398E+01    1
    0.280439674854278564E+02    0.842810869216918945E+00    0.655283331871032715E+00   -0.137118207396260789E+07   -0.468515351937698377E+01    1
    0.206963014602661133E+02    0.264076292514801025E+01    0.994633734226226807E+00   -0.133024293339994620E+07   -0.469515351937698444E+01    1
    0.274341344833374023E+02    0.126366376876831055E+01    0.644884049892425537E+00   -0.117411357488269452E+07   -0.470515351937698423E+01    1
    0.255815434455871582E+02    0.182230770587921143E+01    0.684726774692535400E+00   -0.111053041221214784E+07   -0.471515351937698135E+01    1
    0.283255267143249512E+02    0.120513021945953369E+01    0.570091098546981812E+00   -0.105469087145689293E+07   -0.472515351937698025E+01    1
    0.231900203227996826E+02    0.260370910167694092E+01    0.914467781782150269E+00   -0.971874449900324340E+06   -0.473515351937698448E+01    1
    0.202501332759857178E+02    0.340964257717132568E+01    0.611248403787612915E+00   -0.971006468146967469E+06   -0.474515351937698782E+01    1
    0.206653499603271484E+02    0.378937840461730957E+01    0.867744326591491699E+00   -0.736106572430036496E+06   -0.475515351937698494E+01    1
