RefCode,Citation,Band,mu_0,e_R,Rank,Year,Date,Comments,Author,ADS_date,JD
2002AJ....123.1307M,Maiz-Apellaniz et al.2002,F814W(F555W F814W),27.31,0.18,1,2002,2024,WF chip.,Valencia et al.2024,2002-03-00,2452334.5
2002AJ....123.1307M,Maiz-Apellaniz et al.2002,F814W(F555W F814W),27.34,0.13,1,2002,2024,PC chip.,Valencia et al.2024,2002-03-00,2452334.5
2002AJ....123.1307M,Maiz-Apellaniz et al.2002,F814W(F702W F814W),27.34,0.13,1,2002,2024,PC chip.,Valencia et al.2024,2002-03-00,2452334.5
2002AJ....123.1307M,Maiz-Apellaniz et al.2002,F814W(F702W F814W),27.34,0.16,1,2002,2024,WF chip.,Valencia et al.2024,2002-03-00,2452334.5
2002AJ....124..811D,Drozdovsky et al.2002,F814W(F555W F702W F814W),27.13,0.15,1,2002,2024,Value presented by NED.,Valencia et al.2024,2002-08-00,2452487.5
2002AJ....124..811D,Drozdovsky et al.2002,I(VI),27.13,0.23,1,2002,2024,Additional value of the publication.,Valencia et al.2024,2002-08-00,2452487.5
2006AJ....132..729T,Tully et al.2006,I(VI),27.33,0.03,1,2006,2024,"Only random error, does not contain M-TRGB_I error.",Valencia et al.2024,2006-08-00,2453948.5
2009AJ....138..332J,Jacobs et al.2009,F814W(F606W F814W),27.35,0.04,1,2009,2024,"Value of mu_0, sigma_ran do not appear in the publication due to truncated table.",Valencia et al.2024,2009-08-00,2455044.5
2009ApJS..183...67D,Dalcanton et al.2009,F814W(F606W F814W),27.41,0.03,1,2009,2024,There are no specific comments on the publication.,Valencia et al.2024,2009-07-00,2455013.5
2012A&A...540A..49M,"McCall, M. L. et al.2012",I(VI),27.39,0.1,2,2012,2024,"It is unclear whether these observations are from Spain, Mexico, Chile, or Hawaii.",Valencia et al.2024,2012-04-00,2456018.5
2013AstBu..68..125M,Makarov et al. 2013,F814W(F555W F814W),27.26,0.09,1,2013,2026,"WFPC2 archival photometry. Unlike the other targets, F555W rather than F606W provides the color. TRGBTOOL maximum-likelihood fitting gives F814W_TRGB=23.31+/-0.06. Real error is +0.05/-0.04.",Quintero-Salazar et al.2026,2013-04-00,2456383.5
2014AJ....148....7W,Wu et al. 2014,F110W(F110W F160W),27.34,0.07,1,2014,2026,"Direct WFC3/IR measurement using the color-dependent IR TRGB calibration. The result agrees with the adopted optical F814W distance within 1 sigma.",Quintero-Salazar et al.2026,2014-07-00,2456839.5
2014AJ....148....7W,Wu et al. 2014,F160W(F110W F160W),27.33,0.11,1,2014,2026,"Independent WFC3/IR solution from the same stellar field. F160W is brighter but has a stronger color dependence and a larger distance uncertainty.",Quintero-Salazar et al.2026,2014-07-00,2456839.5
2013AJ....146...86T,Tully et al.2013,F814W(F606W F814W),27.34,0.08,1,2013,2024,"Survey of 8,000 galaxies.",Valencia et al.2024,2013-10-00,2456566.5
