RefCode,Citation,Band,mu_0,e_R,e_S,e_T,Category,Ncef,Zcorr,zeroP,Rank,Year,Date,Comments,Author,ADS_date,JD
2000ApJ...529..745F,Ferrarese et al.2000,W(VI),30.8,0.06,,,1,58,False,LMC,1,2000,2024,They calculate gamma.,Valencia et al.2024,2000-02-00,2451575.5
2001ApJ...548..564W,Willick & Batra 2001,W(VI),30.71,0.06,,,1,52,False,LMC,1,2001,2024,They do not apply metallicity correction.,Valencia et al.2024,2001-02-00,2451941.5
2001ApJ...549..721M,Macri et al.2001,H,30.25,0.12,,,1,3,True,LMC,1,2001,2026,There are no specific comments on the publication.,Quintero-Salazar et al.2026,2001-03-00,2451969.5
2001ApJ...553...47F,Freedman et al.2001,W(VI),30.68,0.08,,,1,36,False,LMC,1,2001,2024,There are no specific comments on the publication.,Valencia et al.2024,2001-05-00,2452030.5
2001ApJ...553...47F,Freedman et al.2001,W(VI),30.7,0.08,,,1,36,True,LMC,1,2001,2024,There are no specific comments on the publication.,Valencia et al.2024,2001-05-00,2452030.5
2002A&A...383..398P,Paturel et al. 2002,W(VI),31.23,0.07,,,3,-1,False,GC,1,2002,2026,"Not a preferred near-solar solution. Lowering Vlim by 0.5 mag shifts mu by +0.70 mag, revealing severe incompleteness sensitivity. The 187 listed sosie matches are not a unique-star count.",Quintero-Salazar et al.2026,2002-02-00,2452306.5
2002A&A...389...19P,"Paturel, G. et al.2002",W(VI),30.86,0.1,,,1,187,False,GC,1,2002,2024,They use data from Paturel et al. 2002 but with HIPPARCOS calibration.,Valencia et al.2024,2002-07-00,2452456.5
2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.712,0.062,,,1,36,False,LMC,1,2003,2026,Maximum-light LMC PL solution used as a consistency check. CTE corrected; no metallicity correction.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.721,0.06,,,1,36,False,LMC,1,2003,2026,Representative mean-light result using the authors' OGLE LMC PL fit. CTE corrected but not metallicity corrected.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.741,0.06,,,1,36,True,LMC,1,2003,2026,LMC mean-light solution with a +0.020 mag metallicity correction; e_R remains the random PL-fit error.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.751,0.06,,,1,36,True,GC,1,2003,2026,FSG03 Galactic solution with a -0.054 mag metallicity correction. Metallicity uncertainty is systematic.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.805,0.06,,,1,36,False,GC,1,2003,2026,Representative FSG03 Galactic mean-light solution. CTE corrected but not metallicity corrected.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
2006ApJS..165..108S,Saha et al.2006,W(VI),30.8,0.08,0.08,0.1131370849898476,2,51,True,GC+LMC,1,2006,2024,They delve into the HST CTE correction.,Valencia et al.2024,2006-07-00,2453917.5
