RefCode,Citation,Band,mu_0,e_R,e_S,e_T,Category,Ncef,Zcorr,zeroP,Rank,Year,Date,Comments,Author,ADS_date,JD
2005ApJ...627..579R,Riess et al. 2005,W(VI),32.22,0.05,,,3,64,False,LMC,1,2005,2026,Preferred OGLE+10 Wesenheit solution before the +0.07 mag metallicity correction. It uses 64 visually selected high-quality ACS Cepheids; the 0.05 mag error also spans analysis choices.,Quintero-Salazar et al.2026,2005-07-00,2453552.5
2005ApJ...627..579R,Riess et al. 2005,W(VI),32.29,0.06,,,3,64,True,LMC,1,2005,2026,Adopted distance after a +0.07+/-0.03 mag metallicity correction. Table 13 gives a statistical error from the dereddened PL fit and O/H measurement; no per-galaxy systematic or total error is tabulated.,Quintero-Salazar et al.2026,2005-07-00,2453552.5
2006ApJ...642L..29N,Ngeow & Kanbur 2006,W(VI),32.149,0.033,,,3,64,True,LMC,1,2006,2026,"STR04 nonlinear, long-period LMC PL solution. The quoted uncertainty is random only, and no individual systematic or total modulus error is reported.",Quintero-Salazar et al.2026,2006-05-00,2453856.5
2006ApJ...642L..29N,Ngeow & Kanbur 2006,W(VI),32.171,0.034,,,3,64,True,LMC,1,2006,2026,STR04 linear LMC PL solution with metallicity correction. Random error only is attached to the modulus; systematic sources are discussed in the H0 error budget.,Quintero-Salazar et al.2026,2006-05-00,2453856.5
2006ApJ...642L..29N,Ngeow & Kanbur 2006,W(VI),32.18,0.034,,,3,64,True,LMC,1,2006,2026,"KN04 nonlinear, long-period LMC PL solution. Metallicity is corrected and the tabulated uncertainty is random only; no module-specific e_S or e_T is given.",Quintero-Salazar et al.2026,2006-05-00,2453856.5
2006ApJ...642L..29N,Ngeow & Kanbur 2006,W(VI),32.189,0.033,,,3,64,True,LMC,1,2006,2026,"KN04 linear LMC PL solution with metallicity correction. A roughly 0.03 mag form-of-PL systematic is discussed, but Table 1 assigns only a random error to the modulus.",Quintero-Salazar et al.2026,2006-05-00,2453856.5
2006ApJ...642L..29N,Ngeow & Kanbur 2006,W(VI),32.193,0.033,,,3,64,True,LMC,1,2006,2026,"TR02 linear LMC PL solution. The tabulated error is random only. Linear fits carry an additional approximately 0.03 mag form-of-PL systematic, but no module-specific e_S or e_T is quoted.",Quintero-Salazar et al.2026,2006-05-00,2453856.5
2006ApJ...642L..29N,Ngeow & Kanbur 2006,W(VI),32.195,0.034,,,3,64,True,LMC,1,2006,2026,"KN06 linear LMC PL solution, used in the authors' preferred linear calibration of H0. Metallicity is corrected; the modulus uncertainty is random only.",Quintero-Salazar et al.2026,2006-05-00,2453856.5
2006ApJ...642L..29N,Ngeow & Kanbur 2006,W(VI),32.213,0.034,,,3,64,True,LMC,1,2006,2026,"KN06 nonlinear, long-period LMC PL solution, preferred for the final nonlinear H0 result. The quoted modulus error is random only.",Quintero-Salazar et al.2026,2006-05-00,2453856.5
2006ApJ...642L..29N,Ngeow & Kanbur 2006,W(VI),32.222,0.034,,,3,64,True,LMC,1,2006,2026,"TR02 nonlinear, long-period LMC PL solution. The metallicity-corrected modulus has random error only; the additional 0.03 mag linearity systematic does not apply.",Quintero-Salazar et al.2026,2006-05-00,2453856.5
