RefCode,Citation,Band,mu_0,e_R,Rank,Year,Date,Comments,Author,ADS_date,JD
2015ApJ...807..133J,Jang & Lee 2015,F814W(F555W F814W),31.76,0.04,1,2015,2026,"First TRGB distance for NGC 5584. The listed error is random; an additional 0.12 mag systematic applies. Blue RGB selection minimizes crowding and host extinction, which is assumed negligible.",Quintero-Salazar et al.2026,2015-07-00,2457204.5
2017ApJ...836...74J,Jang & Lee 2017,F814W(F555W F814W),31.784,0.060,1,2017,2026,"Combined-anchor blue-I solution from uniformly reprocessed HST/ACS photometry in the lowest-sky region. Error is random only; the common systematic is 0.057 mag.",Quintero-Salazar et al.2026,2017-02-00,2457785.5
2017ApJ...836...74J,Jang & Lee 2017,QT(F555W F814W),31.751,0.049,1,2017,2026,"Preferred combined-anchor QT solution from the lowest-sky region. A 0.006 mag artificial-star offset was applied. Error is random only; systematic=0.057 mag.",Quintero-Salazar et al.2026,2017-02-00,2457785.5
