RefCode,Citation,Band,mu_0,e_R,e_S,e_T,Category,Ncef,Zcorr,zeroP,Rank,Year,Date,Comments,Author,ADS_date,JD
2000ApJ...529..723G,Gibson et al. 2000,W(VI),30.76,0.12,0.16,0.2,2,17,False,LMC,1,2000,2026,"Alternative fit to Saha et al. photometry using 17 high-quality Cepheids on chips 1, 3 and 4. Chip 2 was excluded because its modulus was 0.66 mag larger; including it would give mu0=31.03+/-0.11.",Quintero-Salazar et al.2026,2000-02-00,2451575.5
2000ApJ...529..723G,Gibson et al. 2000,W(VI),30.95,0.07,0.16,0.1746424919657298,2,27,False,LMC,1,2000,2026,Final ALLFRAME+TRIAL solution. The PL fit uses 27 of 39 candidates with P>20 d to limit incompleteness. All four WFPC2 chips are included because this reduction shows no significant chip-dependent offset.,Quintero-Salazar et al.2026,2000-02-00,2451575.5
2000ApJ...529..745F,Ferrarese et al.2000,W(VI),30.95,0.07,,,1,-1,False,LMC,1,2000,2026,They calculate gamma.,Quintero-Salazar et al.2026,2000-02-00,2451575.5
2000ApJ...530L...5G,Gibson et al. 2000,W(VI),30.851,0.097,,,1,6,False,LMC,1,2000,2026,"PC-only true modulus from six Cepheids, derived for the differential blending test. It is a chip-specific PL result rather than an adopted global galaxy distance. The quoted uncertainty is internal; no separate systematic term is provided.",Quintero-Salazar et al.2026,2000-02-00,2451575.5
2000ApJ...530L...5G,Gibson et al. 2000,W(VI),30.886,0.046,,,1,21,False,LMC,1,2000,2026,"WFC-only true modulus from 21 Cepheids. Its offset from the PC result is -0.035+/-0.167 mag, inconsistent with the +0.11 mag shift predicted by severe blending. No metallicity correction was applied.",Quintero-Salazar et al.2026,2000-02-00,2451575.5
2001ApJ...547L.103G,Gibson & Stetson 2001,W(VI),30.693,0.069,,,3,27,False,LMC,1,2001,2026,"Uncorrected re-fit of 27 previously selected Cepheids using the Stetson WFPC2 zero point, Udalski OGLE-LMC PL relations and mu_LMC=18.45. Only the internal random R_PL uncertainty is tabulated.",Quintero-Salazar et al.2026,2001-02-00,2451941.5
2001ApJ...547L.103G,Gibson & Stetson 2001,W(VI),30.763,0.069,,,3,27,True,LMC,1,2001,2026,"Metallicity-corrected result for the same 27 Cepheids, using gamma_VI=-0.2 mag dex^-1 and the adopted field abundance. The correction raises the modulus by 0.070 mag; the reported internal error is unchanged.",Quintero-Salazar et al.2026,2001-02-00,2451941.5
2001ApJ...548..564W,Willick & Batra 2001,VI,30.77,0.07,,,3,39,False,LMC,1,2001,2026,Sandage/Saha HST observations reanalyzed by the Key Project are used. The fit solves simultaneously for distance and reddening. The quoted error is random; the dominant common LMC systematic is omitted.,Quintero-Salazar et al.2026,2001-02-00,2451941.5
2001ApJ...549..721M,Macri et al.2001,H,31.47,0.15,,,1,2,True,LMC,1,2001,2026,They use the H band data.,Quintero-Salazar et al.2026,2001-03-00,2451969.5
2001ApJ...553...47F,Freedman et al.2001,W(VI),30.8,0.04,,,1,35,False,LMC,1,2001,2026,Final period-cut Wesenheit fit before abundance correction. e_R is the random PL-fit error only; N_cef is the post-cut sample.,Quintero-Salazar et al.2026,2001-05-00,2452030.5
2001ApJ...553...47F,Freedman et al.2001,W(VI),30.87,0.04,,,1,35,True,LMC,1,2001,2026,"Table 4 mu_Z, using gamma=-0.2 mag dex^-1 relative to the LMC. Metallicity uncertainty is systematic and excluded from e_R.",Quintero-Salazar et al.2026,2001-05-00,2452030.5
2002A&A...383..398P,Paturel et al. 2002,W(VI),31.04,0.06,,,3,-1,False,GC,1,2002,2026,"Preferred near-solar-metallicity solution. Vlim variations shift mu by +0.18/-0.12 mag. The 153 Table 6 entries represent sosie matches, not a verified distinct-Cepheid count.",Quintero-Salazar et al.2026,2002-02-00,2452306.5
2002A&A...389...19P,"Paturel, G. et al.2002",W(VI),30.79,0.07,,,1,153,False,GC,1,2002,2026,"Bias-corrected HIPPARCOS PL solution. Incompleteness is important in the raw sample, although the limiting-magnitude stability test around the final fit is small.",Quintero-Salazar et al.2026,2002-07-00,2452456.5
2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.826,0.102,,,1,31,False,LMC,1,2003,2026,Representative LMC mean-light solution. Includes the +0.05 mag STS CTE correction; random error only.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.843,0.102,,,1,31,False,LMC,1,2003,2026,Maximum-light LMC PL solution used as a consistency test. CTE corrected without metallicity correction.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.896,0.102,,,1,31,True,LMC,1,2003,2026,LMC solution with a +0.070 mag metallicity correction. No additional random uncertainty is assigned.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.925,0.102,,,1,31,True,GC,1,2003,2026,FSG03 Galactic solution with a negligible -0.004 mag metallicity correction.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.929,0.102,,,1,31,False,GC,1,2003,2026,Representative FSG03 Galactic mean-light solution. CTE corrected but not metallicity corrected.,Quintero-Salazar et al.2026,2003-12-00,2452974.5
2005ApJ...627..579R,Riess et al. 2005,W(VI),30.78,0.07,,,3,-1,False,LMC,1,2005,2026,Re-fit of published Gibson et al. (2000) WFPC2 photometry using the OGLE+10 PL relations. The number of retained Cepheids is not stated clearly; the +0.08 mag metallicity correction is not applied.,Quintero-Salazar et al.2026,2005-07-00,2453552.5
2005ApJ...627..579R,Riess et al. 2005,W(VI),30.86,0.09,,,3,-1,True,LMC,1,2005,2026,Adopted distance after a +0.08+/-0.05 mag metallicity correction. The error is statistical from the PL fit and O/H measurement; no per-galaxy systematic or total uncertainty is listed.,Quintero-Salazar et al.2026,2005-07-00,2453552.5
2006ApJ...642L..29N,Ngeow & Kanbur 2006,W(VI),30.77,0.044,,,3,35,True,LMC,1,2006,2026,"STR04 nonlinear, long-period LMC PL solution with metallicity and CTE corrections. Only the random modulus error is reported.",Quintero-Salazar et al.2026,2006-05-00,2453856.5
2006ApJ...642L..29N,Ngeow & Kanbur 2006,W(VI),30.784,0.043,,,3,35,True,LMC,1,2006,2026,STR04 linear LMC PL solution. The corrected modulus includes the -0.07 mag CTE term. An additional linearity systematic is discussed but not assigned as an individual e_S.,Quintero-Salazar et al.2026,2006-05-00,2453856.5
2006ApJ...642L..29N,Ngeow & Kanbur 2006,W(VI),30.794,0.043,,,3,35,True,LMC,1,2006,2026,"KN04 nonlinear LMC PL solution with period, metallicity, and -0.07 mag CTE corrections. No individual systematic or total modulus error is quoted.",Quintero-Salazar et al.2026,2006-05-00,2453856.5
2006ApJ...642L..29N,Ngeow & Kanbur 2006,W(VI),30.803,0.043,,,3,35,True,LMC,1,2006,2026,KN04 linear LMC PL solution after the period cut and metallicity and CTE corrections. The table provides random error only.,Quintero-Salazar et al.2026,2006-05-00,2453856.5
2006ApJ...642L..29N,Ngeow & Kanbur 2006,W(VI),30.808,0.043,,,3,35,True,LMC,1,2006,2026,"KN06 linear LMC PL solution, used for the preferred linear H0 calibration. It includes the period cut and metallicity and CTE corrections.",Quintero-Salazar et al.2026,2006-05-00,2453856.5
2006ApJ...642L..29N,Ngeow & Kanbur 2006,W(VI),30.81,0.043,,,3,35,True,LMC,1,2006,2026,"TR02 linear LMC PL solution. It includes a period cut, metallicity correction, and -0.07 mag CTE correction. Random error only is attached to the modulus.",Quintero-Salazar et al.2026,2006-05-00,2453856.5
2006ApJ...642L..29N,Ngeow & Kanbur 2006,W(VI),30.819,0.042,,,3,35,True,LMC,1,2006,2026,"KN06 nonlinear LMC PL solution, preferred for the nonlinear H0 result. The modulus includes period, metallicity, and CTE corrections; its error is random only.",Quintero-Salazar et al.2026,2006-05-00,2453856.5
2006ApJ...642L..29N,Ngeow & Kanbur 2006,W(VI),30.834,0.043,,,3,35,True,LMC,1,2006,2026,"TR02 nonlinear LMC PL solution, including period, metallicity, and CTE corrections. The tabulated uncertainty is random only.",Quintero-Salazar et al.2026,2006-05-00,2453856.5
2006ApJ...642L..29N,Ngeow & Kanbur 2006,W(VI),30.902,0.039,,,3,35,True,GC,1,2006,2026,"Galactic Ngeow & Kanbur (2004) PL calibration with period, metallicity, and CTE corrections. The quoted uncertainty is random only.",Quintero-Salazar et al.2026,2006-05-00,2453856.5
2006ApJ...642L..29N,Ngeow & Kanbur 2006,W(VI),30.943,0.039,,,3,35,True,GC,1,2006,2026,"Galactic Sandage et al. (2004) PL calibration with period, metallicity, and CTE corrections. The Galactic zero-point systematic is discussed, but no individual e_S or e_T is given.",Quintero-Salazar et al.2026,2006-05-00,2453856.5
2006ApJS..165..108S,Saha et al.2006,W(VI),31.24,0.09,0.08,0.1204159457879229,2,27,True,GC+LMC,1,2006,2026,Revised SN Ia-host distance. The uncorrected GC/LMC values are 31.26/30.98 mag. The two metallicity-corrected routes agree within 0.01 mag; formal negative absorption is retained.,Quintero-Salazar et al.2026,2006-07-00,2453917.5
2009ApJ...699..539R,Riess et al. 2009,W(F160W VI),30.43,0.0845,,,5,15,True,N4258,1,2009,2026,Relative modulus delta_mu0=mu0(host)-mu0(NGC4258); adding mu4258~29.29 gives mu0~1.145 mag. Fifteen Cepheids enter the clipped fit. WFPC2 V-I was transformed to the ACS scale; its net systematic effect on W is ~0.01 mag.,Quintero-Salazar et al.2026,2009-07-00,2455013.5
2011ApJ...730..119R,Riess et al. 2011,W(H VI),30.91,0.07,,,3,-1,True,N4258+LMC+GC,1,2011,2026,"Figure 7 lists 49 measured Cepheids, but the final retained count is not given. Modeling rather than rejecting outliers shifts its intercept by 0.08+/-0.05 mag, the largest such effect among the hosts.",Quintero-Salazar et al.2026,2011-04-00,2455652.5
2013MNRAS.434.2866F,Fiorentino et al.2013,F160W,30.92,0.05,,,1,49,True,LMC,1,2013,2026,"Pure theoretical F160W PL fit for Z=0.02, Y=0.28 and P>10 d. The 49 good Cepheids define the fit; sigma=0.32 mag. Galactic foreground extinction is corrected, with no metallicity term.",Quintero-Salazar et al.2026,2013-10-00,2456566.5
2016ApJ...826...56R,Riess et al.2016,VIHK,30.906,0.053,,,1,33,True,N4258,1,2016,2026,NGC 4536 result from Table 5. Based on the final globally clipped Cepheid sample; no separate galaxy-level systematic or total error is tabulated.,Quintero-Salazar et al.2026,2016-07-00,2457570.5
2022ApJ...934L...7R,Riess et al. 2022,W H(VI),30.835,0.046,0.019,0.05,2,40,True,N4258+GC+LMC,1,2022,2026,Preferred SN-independent mu_host; no SN measurements are used. Inter-host covariance from common anchors and PL parameters must be retained. Error computed/retrieved from Table6.,Quintero-Salazar et al.2026,2022-07-00,2459761.5
2022ApJ...934L...7R,Riess et al. 2022,W H(VI),30.838,0.047,0.019,0.051,2,40,True,N4258+GC+LMC,1,2022,2026,Approximate mu_Ceph obtained after excluding only SN 1981B from NGC 4536; other SN calibrators remain in the global solution. Error computed/retrieved from Table6.,Quintero-Salazar et al.2026,2022-07-00,2459761.5
