    0.292775353687744300E+02   -0.723747196926873215E+02
    0.293762626817492887E+02   -0.719795478583438921E+02
    0.293760498725003032E+02   -0.719120070184966806E+02
    0.293760272792652941E+02   -0.719048537873272551E+02
    0.292795234638418762E+02   -0.717393419169462163E+02
    0.293752276299869628E+02   -0.716538222432791088E+02
    0.292803590275475969E+02   -0.714799998779888597E+02
    0.293745559804627518E+02   -0.714461970423130595E+02
    0.292813803610219523E+02   -0.711691855828599387E+02
    0.293733798695781374E+02   -0.710897185168715851E+02
    0.292818559261194444E+02   -0.710267829528348216E+02
    0.292822772810378638E+02   -0.709018458315194238E+02
    0.293723736858061919E+02   -0.707919080389974198E+02
    0.293711984901833141E+02   -0.704524363602994725E+02
    0.292850237882039757E+02   -0.701158548211092807E+02
    0.293699179236140679E+02   -0.700927858620513291E+02
    0.292851107543468281E+02   -0.700917708641205479E+02
    0.292851661431847745E+02   -0.700764574863150216E+02
    0.293698317576714842E+02   -0.700689701125973414E+02
    0.293696564828187334E+02   -0.700206746849509614E+02
    0.292856187214512929E+02   -0.699520829394258499E+02
    0.293691411624988135E+02   -0.698798437175596376E+02
    0.293691019128380510E+02   -0.698691882566630085E+02
    0.292859962481168772E+02   -0.698493559233536701E+02
    0.292861582936820071E+02   -0.698055476989061106E+02
    0.293686544326480998E+02   -0.697484172834827945E+02
    0.292863914060955324E+02   -0.697428274074408989E+02
    0.292864437526306745E+02   -0.697287920058180504E+02
    0.293684466971886273E+02   -0.696927953387765058E+02
    0.292867678136288383E+02   -0.696423011592043366E+02
    0.292868169971928580E+02   -0.696292341098197909E+02
    0.293681823895265097E+02   -0.696224329903824355E+02
    0.292868847870589661E+02   -0.696112496216606189E+02
    0.292870112787748766E+02   -0.695777718442739115E+02
    0.292871878973333217E+02   -0.695312019514019397E+02
    0.292873503795260106E+02   -0.694885392078458324E+02
    0.292873563330110471E+02   -0.694869792801475086E+02
    0.292875859299925807E+02   -0.694269968792439158E+02
    0.292878024925949738E+02   -0.693707349251419600E+02
    0.293672168254852295E+02   -0.693692605129990909E+02
    0.293672124793809886E+02   -0.693681347088383546E+02
    0.293671498081051610E+02   -0.693519141972885649E+02
    0.292881362264657916E+02   -0.692846315445999323E+02
    0.292881570334371304E+02   -0.692792874088266757E+02
