####################################################
#  1   2222        NN   NN   GGGG   CCCCC  333333  333333   1          
# 111 222222       NNN  NN  GG  GG CC    C    3333    3333 111  99999  
#  11     222      NN N NN GG      CC        3333    3333   11 99   99 
#  11  2222   ...  NN  NNN GG   GG CC    C     333     333  11  999999 
# 111 2222222 ...  NN   NN  GGGGGG  CCCCC  333333  333333  111     99  
#                                                                999   
####################################################
#        PPPPPP  LL      RRRRRR   CCCCC  
#        PP   PP LL      RR   RR CC    C 
#        PPPPPP  LL      RRRRRR  CC      
#        PP      LL      RR  RR  CC    C 
#        PP      LLLLLLL RR   RR  CCCCC  
####################################################
RefCode,Citation,Band,mu_0,e_R,e_S,e_T,Category,Ncef,Zcorr,zeroP,Rank,Year,Date,Comments,Author,ADS_date,JD
2000ApJ...529..745F,Ferrarese et al.2000b,W(VI),30.78,0.1,,,1,28,False,LMC,1,2000,2024,They calculate gamma.,Valencia et al.2024,2000-02-00,2451575.5
2001ApJ...548..564W,Willick & Batra 2001,W(VI),30.7,0.08,,,1,28,False,LMC,1,2001,2024,They do not apply error for metallicity.,Valencia et al.2024,2001-02-00,2451941.5
2001ApJ...553...47F,Freedman et al.2001,W(VI),30.62,0.09,,,1,33,True,LMC,1,2001,2024,There are no specific comments on the publication.,Valencia et al.2024,2001-05-00,2452030.5
2001ApJ...553...47F,Freedman et al.2001,W(VI),30.64,0.09,,,1,33,False,LMC,1,2001,2024,There are no specific comments on the publication.,Valencia et al.2024,2001-05-00,2452030.5
2002A&A...389...19P,"Paturel, G. et al.2002",W(VI),30.7,0.08,,,1,88,False,GC,1,2002,2024,Using data from Paturel et al. 2002 but with HIPPARCOS calibration.,Valencia et al.2024,2002-07-00,2452456.5
2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.5,0.09,,,1,33,False,LMC,1,2003,2024,There are no specific comments on the publication.,Valencia et al.2024,2003-12-00,2452974.5
2003A&A...411..361K,"Kanbur, S. M. et al.2003",W(VI),30.56,0.09,,,1,33,False,GC,1,2003,2024,There are no specific comments on the publication.,Valencia et al.2024,2003-12-00,2452974.5
2006ApJS..165..108S,Saha et al.2006,W(VI),30.74,0.08,0.08,0.1131370849898476,2,26,True,LMC,1,2006,2024,They delve into the HST CTE correction.,Valencia et al.2024,2006-07-00,2453917.5
