# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      a007
# Description of the table:        Distances
# Object:                          NGC4535
# Display the fields:              $objname,$L,$j2000,$field[modulus],$field[distance],modc,$link[method,method],$link[iref,iref],$link[bibref,bibcode],$link[calib,calib_bibcode],pgc,dataset,bibcode,"calib_bibcode",calibsys
# Description of each column
# $objname: ------------ Name of object
# $j2000: -------------- J2000 coordinates
# $field[modulus]: ----- Distance modulus
# $field[distance]: ---- Linear distance (Mpc)
# modc: ---------------- Distance modulus corrected to standard system
# $link[method,method]:  Distance determination method
# $link[iref,iref]: ---- Code of Bib.Ref.
# $link[bibref,bibcode]:  Bibliographic Reference
# $link[calib,calib_bibcode]:  Calibration relation
# pgc: ----------------- PGC number
# dataset: ------------- <NA>
# bibcode: ------------- <NA>
# calib_bibcode: ------- <NA>
# calibsys: ------------ Calibration system
#--------,------,-------,---------,------,--------,--------,----------,------,--------,----,--------------------,----------------,---------------------,--------------------------,---,-------,-------,---------------,--------
$objname,$j2000,modulus,e_modulus,flimit,fquality,distance,e_distance,flimit,fquality,modc,$link[method_method],$link[iref_iref],$link[bibref_bibcode],$link[calib_calib_bibcode],pgc,dataset,bibcode,"calib_bibcode",calibsys
NGC4535,J123420.3+081153,30.99,,,c,15.7761110341285,,,c,30.9954208089975,Cepheids  ,    51258,Solanes+2002           ,Cepheids:Freedman+2001:Z       ,41812,51258,2002AJ....124.2440S,2001ApJ...553...47F,Solanes+2002B
NGC4535,J123420.3+081153,31.01,0.264764,,c,15.9220889487632,2.06467366412183,,c,31.0100002288818,Cepheids  ,    51384,Ferrarese+2000         ,                               ,41812,51384,2000ApJS..128..431F,,Ferrarese+2000
NGC4535,J123420.3+081153,31.25,,,c,17.7827941003892,,,c,31.25,Cepheids  ,    52014,Tammann+2008           ,                               ,41812,52014,2008A&ARv..15..289T,,
NGC4535,J123420.3+081153,31.25,,,c,17.7827941003892,,,c,31.25,SNIa      ,    52014,Tammann+2008           ,                               ,41812,52014,2008A&ARv..15..289T,,
NGC4535,J123420.3+081153,30.16,,,c,10.7646513798736,,,c,30.1599998474121,TF        ,    51258,Solanes+2002           ,                               ,41812,51258,2002AJ....124.2440S,,Solanes+2002B
NGC4535,J123420.3+081153,30.47,,,c,12.4165191496719,,,c,30.4699993133545,TF        ,    51258,Solanes+2002           ,                               ,41812,51258,2002AJ....124.2440S,,Solanes+2002B
NGC4535,J123420.3+081153,30.51,,,c,12.6473648077941,,,c,30.5100002288818,TF        ,    51258,Solanes+2002           ,                               ,41812,51258,2002AJ....124.2440S,,Solanes+2002B
NGC4535,J123420.3+081153,30.6,,,c,13.1825697013894,,,c,30.6000003814697,TF        ,    51258,Solanes+2002           ,                               ,41812,51258,2002AJ....124.2440S,,Solanes+2002B
NGC4535,J123420.3+081153,30.67,,,c,13.6144473029985,,,c,30.6700000762939,TF        ,    51258,Solanes+2002           ,                               ,41812,51258,2002AJ....124.2440S,,Solanes+2002B
NGC4535,J123420.3+081153,30.78,,,c,14.3218835214853,,,c,30.7800006866455,TF        ,    51258,Solanes+2002           ,                               ,41812,51258,2002AJ....124.2440S,,Solanes+2002B
NGC4535,J123420.3+081153,31.19,,,c,17.2981678465072,,,c,31.1900005340576,TF        ,    51258,Solanes+2002           ,                               ,41812,51258,2002AJ....124.2440S,,Solanes+2002B
NGC4535,J123420.3+081153,31.68,,,c,21.6770440946591,,,c,31.6800003051758,TF        ,    51258,Solanes+2002           ,                               ,41812,51258,2002AJ....124.2440S,,Solanes+2002B
NGC4535,J123420.3+081153,30.99,0.05,,c,15.7761110341285,0.367467160545951,,c,30.9899997711182,average   ,    51258,Solanes+2002           ,                               ,41812,51258,2002AJ....124.2440S,,Solanes+2002B
#-- end of data table ----------------------------------------------------------
# 34 lines were successfully retrieved
#-------------------------------------------------------------------------------
# Pleinpot version: 8.18.10
# Date: 2026-02-04T01:21:28
