# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      a007
# Description of the table:        Distances
# Object:                          M101
# Display the fields:              $objname,$L,$j2000,$field[modulus],$field[distance],modc,$link[method,method],$link[iref,iref],$link[bibref,bibcode],$link[calib,calib_bibcode],pgc,dataset,bibcode,"calib_bibcode",calibsys
# Description of each column
# $objname: ------------ Name of object
# $j2000: -------------- J2000 coordinates
# $field[modulus]: ----- Distance modulus
# $field[distance]: ---- Linear distance (Mpc)
# modc: ---------------- Distance modulus corrected to standard system
# $link[method,method]:  Distance determination method
# $link[iref,iref]: ---- Code of Bib.Ref.
# $link[bibref,bibcode]:  Bibliographic Reference
# $link[calib,calib_bibcode]:  Calibration relation
# pgc: ----------------- PGC number
# dataset: ------------- <NA>
# bibcode: ------------- <NA>
# calib_bibcode: ------- <NA>
# calibsys: ------------ Calibration system
#--------,------,-------,---------,------,--------,--------,----------,------,--------,----,--------------------,----------------,---------------------,--------------------------,---,-------,-------,---------------,--------
$objname,$j2000,modulus,e_modulus,flimit,fquality,distance,e_distance,flimit,fquality,modc,$link[method_method],$link[iref_iref],$link[bibref_bibcode],$link[calib_calib_bibcode],pgc,dataset,bibcode,"calib_bibcode",calibsys
NGC5457,J140312.6+542057,29.34,0.08,,,7.37904281981132,0.276923518291022,,,29.3400001525879,Cepheids  ,    51332,Sakai+2004             ,                               ,50063,51332,2004ApJ...608...42S,,
NGC5457,J140312.6+542057,29.34,0.17,,,7.37904281981132,0.60090489398667,,,29.3400001525879,Cepheids  ,    51531,Kelson+1996            ,                               ,50063,51531,1996ApJ...463...26K,,
NGC5457,J140312.6+542057,29.3462,0.400791,,,7.40000130406729,1.4999991726475,,,29.246890741782,EPM       ,    51832,Eastman+1996           ,EPM:Eastman+1996               ,50063,51832,1996ApJ...466..911E,1996ApJ...466..911E,
NGC5457,J140312.6+542057,29.42,0.15,,,7.65596633810234,0.547547952285021,,,29.4282208306195,PNLF      ,    51533,Feldmeier+1997         ,PNLF:Ciardullo+1989            ,50063,51533,1997ApJ...479..231F,1989ApJ...339...53C,Ciardullo+1989
NGC5457,J140312.6+542057,29.42,0.15,,,7.65596633810234,0.547547952285021,,,29.4200000762939,PNLF      ,    51534,Feldmeier+1996         ,PNLF:Feldmeier+1996            ,50063,51534,1996ApJ...461L..25F,1996ApJ...461L..25F,Feldmeier+1996
NGC5457,J140312.6+542057,29.05,0.07,,,6.45654002186276,0.211524390350172,,,29.0499992370605,SNIa      ,    52085,Vink&oacute;;+2012     ,SNIa:Guy+2007                  ,50063,52085,2012A&A...546A..12V,2007A&A...466...11G,
NGC5457,J140312.6+542057,29.21,0.07,,,6.95024024555541,0.22769863204599,,,29.3075594097129,SNIa      ,    52085,Vink&oacute;;+2012     ,SNIa:Jha+2007:RV=3.1           ,50063,52085,2012A&A...546A..12V,2007ApJ...659..122J,
NGC5457,J140312.6+542057,29.42,0.11,,,7.65596633810234,0.397820620591541,,,29.4289942957949,TRGB      ,    51332,Sakai+2004             ,TRGB:Lee+1993                  ,50063,51332,2004ApJ...608...42S,1993ApJ...417..553L,Lee+1993
NGC5457,J140312.6+542057,29.26,0.01,,,7.1121358861807,0.0328288807897348,,,29.2600002288818,TRGB      ,    51791,Lee+2012               ,TRGB:Madore+2009               ,50063,51791,2012ApJ...760L..14L,2009ApJ...690..389M,Madore+2009
NGC5457,J140312.6+542057,29.3,0.01,,,7.24435705546922,0.033439199978516,,,29.3025466678867,TRGB      ,    51791,Lee+2012               ,TRGB:Rizzi+2007                ,50063,51791,2012ApJ...760L..14L,2007ApJ...661..815R,Rizzi+2007
NGC5457,J140312.6+542057,29.34,0.09,,,7.37904281981132,0.31226266398033,,,29.342547583414,TRGB      ,    51342,Rizzi+2007             ,TRGB:Rizzi+2007                ,50063,51342,2007ApJ...661..815R,2007ApJ...661..815R,Rizzi+2007
NGC5457,J140312.6+542057,29.21,0.0600004,,,6.95024024555541,0.194724521415024,,,29.2125465152988,TRGB      ,    52052,Jacobs;+2009           ,TRGB:Rizzi+2007                ,50063,52052,2009AJ....138..332J,2007ApJ...661..815R,
NGC5457,J140312.6+542057,29.05,0.134164,,,6.45654002186276,0.411499876722104,,,29.0499992370605,TRGB      ,    51790,Shappee+2011           ,                               ,50063,51790,2011ApJ...733..124S,,
NGC5457,J140312.6+542057,29.36,0.15,,p,7.44732183233258,0.532625881465406,,p,29.3682213646771,PNLF      ,    51533,Feldmeier+1997         ,PNLF:Ciardullo+1989            ,50063,51533,1997ApJ...479..231F,1989ApJ...339...53C,Ciardullo+1989
NGC5457,J140312.6+542057,29.21,0.0600004,,p,6.95024024555541,0.194724521415024,,p,29.2125465152988,TRGB      ,    51764,Jacobs+2009            ,TRGB:Rizzi+2007                ,50063,51764,2009AJ....138..332J,2007ApJ...661..815R,Rizzi+2007
NGC5457,J140312.6+542057,29.13,,,c,6.69884350518728,,,c,29.135420198646,Cepheids  ,    51600,Tully+2008             ,Cepheids:Freedman+2001:Z       ,50063,51600,2008ApJ...676..184T,2001ApJ...553...47F,Freedman+2001
NGC5457,J140312.6+542057,29.38,,,c,7.51622603530097,,,c,29.3424348549278,Cepheids  ,    51350,Madore+1991            ,Cepheids:Madore+1991           ,50063,51350,1991PASP..103..933M,1991PASP..103..933M,Madore+1991
NGC5457,J140312.6+542057,29.34,0.1,,c,7.37904281981132,0.347764931496839,,c,29.3400001525879,Cepheids  ,    51384,Ferrarese+2000         ,                               ,50063,51384,2000ApJS..128..431F,,Ferrarese+2000
NGC5457,J140312.6+542057,29.05,0.14,,c,6.45654002186276,0.42997858637978,,c,29.0499992370605,Cepheids  ,    51332,Sakai+2004             ,                               ,50063,51332,2004ApJ...608...42S,,
NGC5457,J140312.6+542057,29.17,,,c,6.82338718115409,,,c,29.1700000762939,Cepheids  ,    52014,Tammann+2008           ,                               ,50063,52014,2008A&ARv..15..289T,,
NGC5457,J140312.6+542057,29.3403,,,c,7.38000214476581,,,c,29.3402824401855,Cepheids  ,    51160,Karachentsev+2004      ,                               ,50063,51160,2004AJ....127.2031K,,
NGC5457,J140312.6+542057,29.39,,,c,7.55092015426194,,,c,29.3899993896484,TRGB      ,    52014,Tammann+2008           ,                               ,50063,52014,2008A&ARv..15..289T,,
#-- end of data table ----------------------------------------------------------
# 45 lines were successfully retrieved
#-------------------------------------------------------------------------------
# Pleinpot version: 8.18.10
# Date: 2026-02-03T22:29:11
