,Galaxia,N_dat,mu_w,sigma_w,sigma_br,sigma_C,sigma_cl+,sigma_cl-,sigma_L,sigma_Lcorr
0,M33,1,24.52,0.19104973174542803,--,--,--,--,--,--
1,M81,1,27.78,0.14866068747318506,--,--,--,--,--,--
2,M101,1,29.04,0.18681541692269402,--,--,--,--,--,--
3,NGC4258,1,29.28,0.04242640687119285,--,--,--,--,--,--
4,NGC6822,3,23.318015293662334,0.054922382002118915,0.03274236559435343,0.026577232905715918,0.03639081789898668,0.02620514806382701,0.055117734140939165,0.015088914754775617
