    0.200059808350142880E+02    0.999711278877717824E+01   -0.317860628836906049E+07
    0.200060080053821885E+02    0.999712565846954071E+01   -0.317860472316716239E+07
    0.200060135807624526E+02    0.999712757740539004E+01   -0.317860462278422248E+07
    0.200060217969061824E+02    0.999713152867289523E+01   -0.317860413126307027E+07
    0.200059982713534197E+02    0.999712487986685794E+01   -0.317860411190598086E+07
    0.200058873676198026E+02    0.999709389363649770E+01   -0.317860391132514458E+07
    0.200060036883009396E+02    0.999712728382796811E+01   -0.317860384935759986E+07
    0.200060062430698338E+02    0.999712809310574180E+01   -0.317860382477584900E+07
    0.200060057233707091E+02    0.999712814635141100E+01   -0.317860376314226817E+07
    0.200059906215079479E+02    0.999712413728283877E+01   -0.317860367149434332E+07
    0.200060227977936478E+02    0.999713340560095176E+01   -0.317860364455849910E+07
    0.200059542926116727E+02    0.999711396624837789E+01   -0.317860361216108548E+07
    0.200059912559598168E+02    0.999712465765273706E+01   -0.317860356770596281E+07
    0.200060210558812166E+02    0.999713329048176824E+01   -0.317860352776773367E+07
    0.200060132534949915E+02    0.999713118778420018E+01   -0.317860349002432125E+07
    0.200060109814701832E+02    0.999713108469540579E+01   -0.317860332329664147E+07
    0.200060110947850660E+02    0.999713130609737632E+01   -0.317860326547065657E+07
    0.200059904776041897E+02    0.999712543504603879E+01   -0.317860326202787925E+07
    0.200060030859870039E+02    0.999712924486363619E+01   -0.317860319703437062E+07
    0.200059741044857908E+02    0.999712124280944714E+01   -0.317860311547045782E+07
    0.200059700216562355E+02    0.999712044529474397E+01   -0.317860300311612664E+07
    0.200059420713134060E+02    0.999711264454973225E+01   -0.317860294996166462E+07
    0.200059525508804761E+02    0.999711570124718207E+01   -0.317860292954351241E+07
    0.200060134922179458E+02    0.999713330100056297E+01   -0.317860286454688851E+07
    0.200059451622851014E+02    0.999711381548756073E+01   -0.317860286155847320E+07
    0.200060017572332178E+02    0.999713007514353613E+01   -0.317860282715384988E+07
    0.200059964176966183E+02    0.999712857640885311E+01   -0.317860281960145943E+07
    0.200060541542906414E+02    0.999714508982687633E+01   -0.317860280720397225E+07
    0.200060112088759858E+02    0.999713284688127679E+01   -0.317860280419123545E+07
    0.200059771355743941E+02    0.999712315055563572E+01   -0.317860279649551399E+07
    0.200060237502664044E+02    0.999713652088347793E+01   -0.317860277488982631E+07
    0.200060240304439283E+02    0.999713675483787334E+01   -0.317860272778521618E+07
    0.200060148869823848E+02    0.999713420148709808E+01   -0.317860271084803808E+07
    0.200059588006716211E+02    0.999711823882864792E+01   -0.317860269880260620E+07
    0.200059495437141734E+02    0.999711567497343268E+01   -0.317860267517408961E+07
    0.200060071380286928E+02    0.999713211075176567E+01   -0.317860267410850804E+07
    0.200059977204900186E+02    0.999712948035278082E+01   -0.317860265681981016E+07
    0.200060026265527746E+02    0.999713097411716412E+01   -0.317860262806748273E+07
    0.200059813447523815E+02    0.999712495166323833E+01   -0.317860261293498985E+07
    0.200060444324429199E+02    0.999714297435540011E+01   -0.317860260587575706E+07
    0.200059725668702058E+02    0.999712247284950806E+01   -0.317860260510145687E+07
    0.200059992221653928E+02    0.999713011923345363E+01   -0.317860259245979739E+07
    0.200059844885709417E+02    0.999712598899116145E+01   -0.317860257000659173E+07
    0.200060448401204702E+02    0.999714332156874796E+01   -0.317860253525756067E+07
    0.200060033251825331E+02    0.999713154627608880E+01   -0.317860251404011436E+07
    0.200059596686108563E+02    0.999711929711956593E+01   -0.317860245086995140E+07
    0.200059586102966307E+02    0.999711905654707245E+01   -0.317860243209855398E+07
    0.200060079302493961E+02    0.999713312813221933E+01   -0.317860243208087655E+07
    0.200059419256328468E+02    0.999711432547343293E+01   -0.317860242315380648E+07
    0.200059758828036536E+02    0.999712410541166818E+01   -0.317860239514470287E+07
    0.200060022660863623E+02    0.999713174027919038E+01   -0.317860236228949158E+07
    0.200059439523427010E+02    0.999711530086475264E+01   -0.317860230168945715E+07
    0.200060029970640123E+02    0.999713218940376436E+01   -0.317860228871375602E+07
    0.200059647108694456E+02    0.999712129934456861E+01   -0.317860227849401301E+07
    0.200059654231954802E+02    0.999712168930570932E+01   -0.317860222138533834E+07
    0.200060384562098399E+02    0.999714255882972402E+01   -0.317860221147594787E+07
    0.200060352615013173E+02    0.999714167087081229E+01   -0.317860220428061625E+07
    0.200060163649108489E+02    0.999713646929354205E+01   -0.317860214622367965E+07
    0.200059554143917424E+02    0.999711908078817402E+01   -0.317860214581038244E+07
    0.200059510371971356E+02    0.999711798268165985E+01   -0.317860209970306698E+07
    0.200059977247759946E+02    0.999713134931902303E+01   -0.317860208558729757E+07
    0.200060275445871518E+02    0.999713988746847804E+01   -0.317860207634193031E+07
    0.200059436869716230E+02    0.999711597222506754E+01   -0.317860207320359210E+07
    0.200059784288861664E+02    0.999712591058331412E+01   -0.317860206521985587E+07
    0.200059441225132666E+02    0.999711623060290933E+01   -0.317860203218633169E+07
    0.200059472279026878E+02    0.999711712875837222E+01   -0.317860202846936183E+07
    0.200059551611641773E+02    0.999711944244323014E+01   -0.317860201310479874E+07
    0.200059588072855519E+02    0.999712060143602876E+01   -0.317860197679723008E+07
    0.200059857037442548E+02    0.999712840357784671E+01   -0.317860193756273249E+07
    0.200059646644849103E+02    0.999712246665078474E+01   -0.317860191743632033E+07
    0.200059675194823718E+02    0.999712328350102553E+01   -0.317860191673662560E+07
