No.,(m-M),err(m-M),Distance,Method,Reference,Notes,SN Name,Redshift,H0,LMCModulus
3,26.8,,2.29,Cepheids,2000ApJ...529..745F,"HST KP Calibrated, max. D",,,,
5,26.43,0.1,1.93,TRGB,2012A&A...540A..49M,,,,,
6,26.59,0.02,2.08,TRGB,2009ApJS..183...67D,I,,,,
7,26.64,0.05,2.13,TRGB,2006AJ....132..729T,,,,,
8,26.69,0.12,2.18,TRGB,2009AJ....138..332J,I,,,,
