No.,(m-M),err(m-M),Distance,Method,Reference,Notes,SN Name,Redshift,H0,LMCModulus
1,29.94,0.13,9.72,Cepheids,2001ApJ...548..564W,LMC W01,,,,
2,29.96,0.1,9.8,Cepheids,2001ApJ...547L.103G,"7, VI",,,,
3,29.97,0.06,9.86,Cepheids,2001ApJ...553...47F,"9, VI, KEY PROJECT",,,,
4,30.05,0.06,10.2,Cepheids,2002A&A...389...19P,MW HIPP,,,,
5,30.08,0.17,10.4,Cepheids,2002A&A...389...19P,MW P02,,,,
6,30.1,0.1,10.5,Cepheids,2001ApJ...547L.103G,"7, VI +Z",,,,
7,30.11,0.06,10.5,Cepheids,2001ApJ...553...47F,"9, VI, +Z, KEY PROJECT",,,,
10,30.17,0.1,10.8,Cepheids,2002A&A...383..398P,"74, VI",,,,
11,30.17,0.1,10.8,Cepheids,2002A&A...389...19P,MW GFG,,,,
13,30.2,0.1,11.0,Cepheids,2000ApJ...529..723G,ALLFRAME,,,,
14,30.2,0.1,11.0,Cepheids,2000ApJ...529..745F,HST KP Calibrated,,,,
17,30.34,0.11,11.7,Cepheids,2006ApJS..165..108S,LMC ZP,,,,18.54
18,30.34,,11.7,Cepheids,2008A&ARv..15..289T,,,,,18.54
19,30.36,0.09,11.8,Cepheids,2000ApJ...529..723G,"ALLFRAME, Key Project",,,,
20,30.37,0.1,11.9,Cepheids,2000ApJ...529..768K,"Z, Key Project",,,,
22,30.77,,14.3,Cepheids,2006A&A...452..423P,"18, VI",,,,
38,29.65,0.28,8.51,TRGB,2009ApJ...694.1331M,I,,,,
39,29.96,0.56,9.82,TRGB,2018ApJS..235...23S,,,,,
40,30.15,0.03,10.7,TRGB,2013ApJ...773...13L,Syst. +/- 0.12,,,,
41,30.17,0.06,10.8,TRGB,2017ApJ...836...74J,"I, LMC zero point",,,,
42,30.19,0.06,10.9,TRGB,2017ApJ...836...74J,"I, NGC 4258 + LMC zero point",,,,
43,30.21,0.05,11.0,TRGB,2017ApJ...836...74J,"QT, LMC zero poQTnt",,,,
44,30.22,0.05,11.1,TRGB,2017ApJ...836...74J,"QT, NGC 4258 + LMC zero poQTnt",,,,
45,30.23,0.05,11.1,TRGB,2017ApJ...836...74J,"QT, NGC 4258 zero poQTnt",,,,
46,30.24,0.06,11.2,TRGB,2017ApJ...836...74J,"I, NGC 4258 zero point",,,,
