No.,(m-M),err(m-M),Distance,Method,Reference,Notes,SN Name,Redshift,H0,LMCModulus
1,29.7,0.07,8.73,Cepheids,2001ApJ...548..564W,LMC W01,,,,
2,29.77,0.07,8.99,Cepheids,2002A&A...389...19P,MW HIPP,,,,
3,29.79,0.15,9.08,Cepheids,2002A&A...389...19P,MW P02,,,,
4,29.79,0.17,9.09,Cepheids,2001ApJ...547L.103G,"17, VI",,,,
5,29.8,0.06,9.12,Cepheids,2002A&A...383..398P,"369, VI",,,,
6,29.8,0.06,9.12,Cepheids,2002A&A...389...19P,MW GFG,,,,
7,29.86,0.08,9.38,Cepheids,2001ApJ...553...47F,"16, VI, KEY PROJECT",,,,
8,29.94,0.17,9.75,Cepheids,2001ApJ...547L.103G,"17, VI +Z",,,,
9,29.97,0.09,9.86,Cepheids,2002AJ....123..207D,U99 + PSF,,,,
10,30.01,0.08,10.1,Cepheids,2001ApJ...553...47F,"16, VI, +Z, KEY PROJECT",,,,
11,30.03,0.11,10.1,Cepheids,2002AJ....123..207D,"avg MF91, U99 + PSF",,,,
13,30.06,0.17,10.3,Cepheids,2000ApJ...529..723G,ALLFRAME,,,,
14,30.06,0.17,10.3,Cepheids,2000ApJ...529..745F,HST KP Calibrated,,,,
15,30.09,0.1,10.4,Cepheids,2002AJ....123..207D,MF91 + PSF,,,,
16,30.13,0.08,10.6,Cepheids,2003A&A...411..361K,cte LMC K03,,,,
17,30.13,0.08,10.6,Cepheids,2003A&A...411..361K,cte U99,,,,
18,30.15,0.08,10.7,Cepheids,2000ApJ...529..723G,"ALLFRAME, Key Project",,,,
19,30.16,0.08,10.8,Cepheids,2003A&A...411..361K,cte LMC STS02,,,,
20,30.21,0.08,11.0,Cepheids,2003A&A...411..361K,cte MW FSG03,,,,
22,30.24,0.08,11.2,Cepheids,2003A&A...411..361K,cte MF91,,,,
23,30.24,0.08,11.2,Cepheids,2003A&A...411..361K,cte MW GFG98,,,,
24,30.31,0.08,11.5,Cepheids,2003A&A...411..361K,cte MW STS03,,,,
25,30.5,0.09,12.6,Cepheids,2006ApJS..165..108S,LMC ZP,,,,18.54
26,30.5,,12.6,Cepheids,2008A&ARv..15..289T,,,,,18.54
27,30.96,,15.6,Cepheids,2006A&A...452..423P,"104, VI",,,,
36,29.82,0.1,9.2,TRGB,2009ApJ...697..996M,I,,,,
37,30.12,0.03,10.6,TRGB,2013ApJ...773...13L,Syst. +/- 0.12,,,,
38,30.14,0.54,10.7,TRGB,2018ApJS..235...23S,,,,,
39,30.15,0.09,10.7,TRGB,2017ApJ...836...74J,"I, LMC zero point",,,,
40,30.17,0.04,10.8,TRGB,2017ApJ...836...74J,"QT, LMC zero poQTnt",,,,
41,30.18,0.09,10.8,TRGB,2017ApJ...836...74J,"I, NGC 4258 + LMC zero point",,,,
42,30.18,0.04,10.9,TRGB,2017ApJ...836...74J,"QT, NGC 4258 + LMC zero poQTnt",,,,
43,30.19,0.04,10.9,TRGB,2017ApJ...836...74J,"QT, NGC 4258 zero poQTnt",,,,
44,30.21,0.09,11.0,TRGB,2017ApJ...836...74J,"I, NGC 4258 zero point",,,,
