    0.308091144562313488E+02   -0.241671435898052671E+02
    0.309282088160339299E+02   -0.238803204075255024E+02
    0.309268585375795446E+02   -0.234860690159613910E+02
    0.308143084167660248E+02   -0.226755184863419217E+02
    0.309221690159202538E+02   -0.221876482840095761E+02
    0.308167031492770427E+02   -0.220332246002546945E+02
    0.308176830809986733E+02   -0.217786640986433468E+02
    0.308182141549948483E+02   -0.216427113517628058E+02
    0.308185182970317939E+02   -0.215654873648952048E+02
    0.309194132356855000E+02   -0.214759346662133481E+02
    0.309186984288756079E+02   -0.212975296974733261E+02
    0.308197980621088590E+02   -0.212456132545395384E+02
    0.309181571271938047E+02   -0.211641289688412151E+02
    0.308202745648967920E+02   -0.211286049144436525E+02
    0.309174313323340897E+02   -0.209875602766990177E+02
    0.309172891288832332E+02   -0.209532741546756327E+02
    0.308212434444990464E+02   -0.208941915775842482E+02
    0.309170212573198810E+02   -0.208889633247263404E+02
    0.308212866322707697E+02   -0.208838518939281066E+02
    0.308213246564931325E+02   -0.208747561482275472E+02
    0.308215788027415272E+02   -0.208141476663186111E+02
    0.308218675398739315E+02   -0.207456819044226144E+02
    0.309160043962327364E+02   -0.206481007359127169E+02
    0.308223090168535059E+02   -0.206418042544729730E+02
    0.308225035007124859E+02   -0.205963522697414021E+02
    0.309157811838091234E+02   -0.205959207544944753E+02
    0.309155506552842851E+02   -0.205422920244571650E+02
    0.309155075625107258E+02   -0.205322966685317176E+02
    0.309154671659639533E+02   -0.205229351340478274E+02
    0.308229421548393461E+02   -0.204945306865582459E+02
    0.308231089550839243E+02   -0.204560650594786964E+02
    0.308231863406982214E+02   -0.204382664905889904E+02
    0.309150534334525418E+02   -0.204275261265334898E+02
    0.309143261278976524E+02   -0.202618803309134954E+02
    0.308240278508694558E+02   -0.202466538033844401E+02
    0.308241185328995186E+02   -0.202262167680205067E+02
    0.309139877744980538E+02   -0.201857209374044224E+02
    0.309138292121310840E+02   -0.201502274006000945E+02
    0.309138223629282969E+02   -0.201486970671856938E+02
    0.308245735231472793E+02   -0.201242962279379078E+02
    0.308246169588636043E+02   -0.201146204958825443E+02
    0.308246626632153209E+02   -0.201044495891536243E+02
    0.308246682918945680E+02   -0.201031977224855929E+02
    0.309134777416065809E+02   -0.200720003557794442E+02
    0.309134692811638523E+02   -0.200701249226300753E+02
    0.308248217876836144E+02   -0.200691200067594870E+02
    0.309134361118454315E+02   -0.200627757055001616E+02
    0.308248540067318189E+02   -0.200619819918129707E+02
    0.308248650044144590E+02   -0.200595466828555082E+02
    0.309133099797547288E+02   -0.200348792687017365E+02
    0.309133092165143566E+02   -0.200347107061754244E+02
    0.308250542317360470E+02   -0.200177392209904781E+02
    0.309131715743768574E+02   -0.200043599098262170E+02
    0.309128227921399770E+02   -0.199278758179918078E+02
    0.309127430402112893E+02   -0.199104725496002928E+02
    0.308256699895741235E+02   -0.198829343586029310E+02
    0.308258203916458804E+02   -0.198502956716171468E+02
    0.308258242907529763E+02   -0.198494510323379636E+02
    0.308258430582370977E+02   -0.198453866127532201E+02
    0.308259045537025287E+02   -0.198320810588349161E+02
    0.308259671880669046E+02   -0.198185485241250596E+02
    0.308261270851021045E+02   -0.197840907619880539E+02
    0.309120915338083861E+02   -0.197694935896132122E+02
    0.308264161753146837E+02   -0.197221164328946088E+02
    0.308264472449139859E+02   -0.197154806917623908E+02
    0.309117687265593659E+02   -0.197004279402080051E+02
    0.309117514101203525E+02   -0.196967377580025556E+02
    0.309117379143943651E+02   -0.196938628202389374E+02
    0.309117169583682347E+02   -0.196894004511921104E+02
    0.308266485876253675E+02   -0.196725955853396144E+02
    0.308266532550495995E+02   -0.196716038486894078E+02
    0.309115631486906182E+02   -0.196567154785522824E+02
    0.308267292310934629E+02   -0.196554757394287272E+02
    0.308267634363048018E+02   -0.196482241183477662E+02
    0.308267708614967546E+02   -0.196466507252652036E+02
    0.308267739914337433E+02   -0.196459875763633498E+02
    0.308267783853109698E+02   -0.196450567154015907E+02
    0.309114181645827664E+02   -0.196260142738113288E+02
    0.308268707610912998E+02   -0.196255088763179444E+02
    0.308268724144645070E+02   -0.196251593911277205E+02
    0.308269027084285696E+02   -0.196187583613968997E+02
    0.308270349838406972E+02   -0.195908627019930677E+02
    0.308270783712418321E+02   -0.195817317564740776E+02
    0.309111742708645956E+02   -0.195746055328374275E+02
    0.309110590651281996E+02   -0.195504255138713425E+02
    0.308272805530801186E+02   -0.195393064116925501E+02
    0.308272845079697326E+02   -0.195384785655832971E+02
    0.308273098916255925E+02   -0.195331670654068574E+02
    0.309109430074002205E+02   -0.195261337798955594E+02
    0.308274458178935795E+02   -0.195047794739547307E+02
    0.308274733091597710E+02   -0.194990492786861971E+02
    0.309107902111587265E+02   -0.194942551142570792E+02
    0.308275000146382219E+02   -0.194934864893007145E+02
    0.309107193556314925E+02   -0.194795117821365622E+02
    0.309106958765214301E+02   -0.194746318814035071E+02
    0.308276360474758135E+02   -0.194652060038009118E+02
    0.309106348838891130E+02   -0.194619680477372832E+02
    0.309105930912387770E+02   -0.194533014254927572E+02
    0.308276976624133283E+02   -0.194524270419470078E+02
    0.308277926239369826E+02   -0.194327691603725654E+02
    0.309104692065383730E+02   -0.194276625337639821E+02
    0.309104143980548649E+02   -0.194163439834085061E+02
    0.309104100669688435E+02   -0.194154502072524302E+02
    0.309103935974150978E+02   -0.194120523562954581E+02
    0.309103875053878063E+02   -0.194107958473817597E+02
    0.309103574434455126E+02   -0.194045981495947686E+02
    0.309103564168880638E+02   -0.194043865899406107E+02
    0.308281826451413394E+02   -0.193525042213437928E+02
    0.309100437164306641E+02   -0.193401885184023854E+02
    0.309099823287343263E+02   -0.193276429093756263E+02
    0.308283529341853253E+02   -0.193176979160107898E+02
    0.308284032513863053E+02   -0.193074410623784587E+02
    0.309098663438450458E+02   -0.193039908808826439E+02
    0.309098376263857233E+02   -0.192981451096743655E+02
    0.309098313234576167E+02   -0.192968626275871884E+02
    0.308284641871998204E+02   -0.192950366192642058E+02
    0.308285055266429637E+02   -0.192866318964499150E+02
    0.308286702789634468E+02   -0.192532209924075879E+02
    0.308286810437804171E+02   -0.192510426680880009E+02
    0.309095944354250562E+02   -0.192488061038276648E+02
    0.309095890790952481E+02   -0.192477227308503203E+02
    0.308287007828238124E+02   -0.192470498614511918E+02
    0.309095746114876633E+02   -0.192447972249962298E+02
    0.308287323756619855E+02   -0.192406633281049793E+02
    0.309094758114113901E+02   -0.192248467665815213E+02
    0.308288321021361540E+02   -0.192205362345077475E+02
    0.309094267846525597E+02   -0.192149650330314152E+02
    0.309094063529976815E+02   -0.192108504185212290E+02
    0.308288979005567612E+02   -0.192072838321777368E+02
    0.308290148469576017E+02   -0.191837831929900560E+02
    0.308290197345756631E+02   -0.191828025041037478E+02
    0.308291206467264836E+02   -0.191625814157093011E+02
    0.308291242632595157E+02   -0.191618576688147009E+02
    0.308291837332259497E+02   -0.191499658156748040E+02
    0.308292209165220434E+02   -0.191425394800831867E+02
    0.309090464357721402E+02   -0.191387110056151322E+02
    0.309090302905400200E+02   -0.191354901431397586E+02
    0.308292638115489659E+02   -0.191339809723028331E+02
    0.309089498741680870E+02   -0.191194670460158527E+02
    0.309089386075571610E+02   -0.191172247374920268E+02
    0.308293591516214107E+02   -0.191149914678187756E+02
    0.308293968064507951E+02   -0.191075040305459289E+02
    0.308294354244515922E+02   -0.190998324368181827E+02
    0.308294594561299959E+02   -0.190950622286061069E+02
    0.308294823488592584E+02   -0.190905207838160926E+02
    0.308294902386504290E+02   -0.190889562193813163E+02
    0.309087680882128097E+02   -0.190833650614950301E+02
    0.308295391234836025E+02   -0.190792691793543341E+02
    0.309087280339525030E+02   -0.190754326570770232E+02
    0.308296095836790869E+02   -0.190653277805919252E+02
    0.308296642203760882E+02   -0.190545343403989698E+02
    0.308296676188058498E+02   -0.190538634761583481E+02
    0.309086109406626441E+02   -0.190522893367055310E+02
    0.309085887761736267E+02   -0.190479162744472674E+02
    0.308297614610189008E+02   -0.190353614462433924E+02
    0.309084829262289418E+02   -0.190270659182042294E+02
    0.308298075619712080E+02   -0.190262882639666024E+02
    0.308298190318660588E+02   -0.190240325115371327E+02
    0.308298420744843042E+02   -0.190195027719958105E+02
    0.309084424197606396E+02   -0.190191017632768826E+02
    0.309083662238982768E+02   -0.190041427921310344E+02
    0.308299459592229468E+02   -0.189991139799333730E+02
    0.309083288292907916E+02   -0.189968120050230134E+02
    0.309083258781780721E+02   -0.189962337706571915E+02
    0.309083172272429287E+02   -0.189945389768932991E+02
    0.308300267579709484E+02   -0.189832934361243097E+02
    0.309082155693464316E+02   -0.189746513438344806E+02
    0.308301543978374148E+02   -0.189583678335387873E+02
    0.309081189667591651E+02   -0.189558005811977317E+02
    0.308301738543592165E+02   -0.189545755059168286E+02
    0.308301936070201812E+02   -0.189507273933290072E+02
    0.308302355613314845E+02   -0.189425605412993185E+02
    0.309080133294886821E+02   -0.189352402302638865E+02
    0.309080032366927000E+02   -0.189332787735951236E+02
    0.309079574388867400E+02   -0.189243847247233461E+02
    0.309078737979007236E+02   -0.189081685036587288E+02
    0.309078252611790560E+02   -0.188987742983047902E+02
    0.309078055725192051E+02   -0.188949669479384674E+02
