id redshift galex.FUV galex.FUV_err galex.NUV galex.NUV_err sloan.sdss.u sloan.sdss.u_err sloan.sdss.g sloan.sdss.g_err sloan.sdss.r sloan.sdss.r_err sloan.sdss.i sloan.sdss.i_err sloan.sdss.z sloan.sdss.z_err ukirt.wfcam.Y ukirt.wfcam.Y_err ukirt.wfcam.J ukirt.wfcam.J_err ukirt.wfcam.H ukirt.wfcam.H_err ukirt.wfcam.K ukirt.wfcam.K_err wise.W1 wise.W1_err wise.W2 wise.W2_err wise.W3 wise.W3_err wise.W4 wise.W4_err
_1_ 0.07368165 0.0513888330424927 0.0007926585939011 0.0651321175265932 0.0006676610341939 0.0786071217847452 0.0004071432267273 0.138120383258461 0.000198484725458 0.113184720561629 0.0002363970138184 0.1881555706630731 0.0003752883624454 0.1340569026335054 0.0011686410276686 0.0984100114490484 0.0029004471824224 0.0949492264327564 0.0028858984729174 0.1125574134841736 0.0063238218174892 0.0988164309351933 0.0062799172891537 0.0946928219111248 0.0064539330677046 0.1063138756633843 0.0118481629574664 1.3877223009459825 0.1687144120911129 10.326713621302826 nan
_2_ 0.02324598 0.2282175296393349 0.0038737456533473 0.3144573860524435 0.0030700959529571 0.5713496107193465 0.0017313420097447 1.1848237203336784 0.0010517824053882 1.4523427295811344 0.0013605962848264 1.5976422489090432 0.0017801859224627 1.8457654426402463 0.0056460768064109 nan nan nan nan nan nan nan nan 0.6527050097885577 0.023445377769759 0.4497694409753481 0.0211269008834371 2.6103772666444955 0.2308076389569303 13.21789153493691 nan
_3_ 0.05303453 0.0723738425824784 0.0021149614630793 0.0934911206187932 0.0015122191732471 0.1580330803590107 0.0018623592147519 0.3672959331719664 0.0009657670055037 0.2537496108183963 0.0011122672545308 0.3527751933036948 0.001688201375436 0.304662563679855 0.0070232283056969 nan nan nan nan nan nan nan nan 0.1542826011145833 0.0071049763486957 0.1462144244826986 0.0119854928950121 1.8823617106963548 0.1751056498123824 12.25637616329066 nan
_5_ 0.01788816 0.2940789912559042 0.0029863361432733 0.3086426932374668 0.0021558200732109 0.5691529030438052 0.0021670640826107 0.9537908484689864 0.0013998605610242 0.9249569434445372 0.0015405570936088 0.7607793268949431 0.0017196070890814 0.8096930849232254 0.0058515752506941 0.2411232626307992 0.0044416545415834 0.2574491313437815 0.0061651048603799 0.2571424919541834 0.0089998052355954 0.2013860811106425 0.0083467549211036 0.3253244757327909 0.010786855880338 0.2315210262699475 0.0138605179962557 1.718316219054856 0.1693411613448696 13.451230486739483 nan
_6_ 0.03755626 0.1037364501949693 0.0018744400134092 0.1012244288798863 0.0012640326121406 0.1261453449640431 0.0005086639406903 0.2334467287514781 0.00026036796743 0.1630409318786767 0.0002919965731133 0.1822435443046307 0.0004003656568262 0.1792803998745521 0.0015189654146099 0.080433938968596 0.0031855431162295 0.0817130518163452 0.004816672357173 0.0898203063355184 0.0047154708863576 0.0739996206742486 0.0064066797024144 0.0770400731894506 0.0061022616417815 0.0623146790576177 0.0149798187020008 0.5038517791284022 0.2343526416328913 4.425497532000696 nan
_7_ 0.05817448 0.0414070909242992 0.0044557945154238 0.0484211478034153 0.003496205152738 0.0931795487645782 0.0012589384186349 0.1791948315380222 0.0006542339249896 0.1819447955058333 0.0007952219694681 0.2536437718810861 0.0011802791932119 0.2470442669086852 0.0043218686485012 nan nan nan nan nan nan nan nan 0.1586049894554055 0.0068657878018528 0.1136031917976961 0.01276515394357 1.4424570005603643 0.1341837591437743 7.515571772419884 nan
_11_ 0.05662303 0.0479457018056771 0.0041287512312637 0.0500283984366537 0.0031862159287527 0.1078506859572255 0.0009966108399486 0.2423030147984447 0.0006297522140543 0.148001997786629 0.000673280972936 0.2317386198135243 0.0010215085774106 0.1700509342662414 0.0036259464422113 0.0797700361611697 0.0031592496007662 0.0618716119376963 0.0043309252610869 0.0685763020001286 0.0061897884502697 0.0739996206742486 0.0066111486249238 0.1586049894554055 0.0068657878018528 0.2700165385975836 0.0146729714123949 3.141253478887557 0.1417668686545169 14.506482439538884 nan
_13_ 0.1131638 0.0445430385919265 0.0018134462842397 0.0568271344762167 0.0014436578240239 0.063485876259979 0.0008894254721758 0.0814103528124161 0.0004103926324324 0.0949793377592972 0.000535174218471 0.1400416313494872 0.0007902919684961 0.0888194773219877 0.0025079928513408 nan nan nan nan nan nan nan nan 0.1021213598038042 0.0053612632044688 0.1294763991630131 0.0101364346979853 1.9710732999677816 0.1161872454327392 11.747949743817724 nan
_14_ 0.08221846 0.0407502019529596 0.0005798004612994 0.0464415011573919 0.0004140595461631 0.060895570386848 0.0012562748917127 0.0923164177819491 0.0005881530847203 0.0524207689103961 0.0006494807648213 0.1541910305705468 0.0010845003604721 0.049386456116106 0.0032978192058849 nan nan nan nan nan nan nan nan 0.3932935914356635 0.0105048670659773 0.6197123556481217 0.0188356138828169 3.2832407953591587 0.1330549711535443 13.563199035558654 nan
_16_ 0.01478385 0.1393828819608875 0.0130604222160967 0.1597168877888939 0.0020162028388473 0.2387981293940668 0.0003665651063597 0.4263687228063444 0.0002157765519171 0.466559433636461 0.0002635729450664 0.4381265314945664 0.0003425246700216 0.4834237356431466 0.0010359109003648 0.1856263886932415 0.0042742056184043 0.1633395786002227 0.0063185349983309 0.1862835298350614 0.0066913655284077 0.1499786958583188 0.0066305032771556 0.2402796169026573 0.0075243941343295 0.1730575077363639 0.0100416871629917 0.8254730464239339 0.1094815723879586 4.028672910498082 nan
