id redshift galex.FUV galex.FUV_err galex.NUV galex.NUV_err sloan.sdss.u sloan.sdss.u_err sloan.sdss.g sloan.sdss.g_err sloan.sdss.r sloan.sdss.r_err sloan.sdss.i sloan.sdss.i_err sloan.sdss.z sloan.sdss.z_err ukirt.wfcam.Y ukirt.wfcam.Y_err ukirt.wfcam.J ukirt.wfcam.J_err ukirt.wfcam.H ukirt.wfcam.H_err ukirt.wfcam.K ukirt.wfcam.K_err wise.W1 wise.W1_err wise.W2 wise.W2_err wise.W3 wise.W3_err wise.W4 wise.W4_err
_1_ 0.07368165 0.0513888330424927 0.0007926585939011 0.0651321175265932 0.0006676610341939 0.0786071217847452 0.0004071432267273 0.138120383258461 0.000198484725458 0.113184720561629 0.0002363970138184 0.1881555706630731 0.0003752883624454 0.1340569026335054 0.0011686410276686 0.0984100114490484 0.0029004471824224 0.0949492264327564 0.0028858984729174 0.1125574134841736 0.0063238218174892 0.0988164309351933 0.0062799172891537 0.0946928219111248 0.0064539330677046 0.1063138756633843 0.0118481629574664 1.3877223009459825 0.1687144120911129 10.326713621302826 nan
_2_ 0.02324598 0.2282175296393349 0.0038737456533473 0.3144573860524435 0.0030700959529571 0.5713496107193465 0.0017313420097447 1.1848237203336784 0.0010517824053882 1.4523427295811344 0.0013605962848264 1.5976422489090432 0.0017801859224627 1.8457654426402463 0.0056460768064109 nan nan nan nan nan nan nan nan 0.6527050097885577 0.023445377769759 0.4497694409753481 0.0211269008834371 2.6103772666444955 0.2308076389569303 13.21789153493691 nan
_3_ 0.05303453 0.0723738425824784 0.0021149614630793 0.0934911206187932 0.0015122191732471 0.1580330803590107 0.0018623592147519 0.3672959331719664 0.0009657670055037 0.2537496108183963 0.0011122672545308 0.3527751933036948 0.001688201375436 0.304662563679855 0.0070232283056969 nan nan nan nan nan nan nan nan 0.1542826011145833 0.0071049763486957 0.1462144244826986 0.0119854928950121 1.8823617106963548 0.1751056498123824 12.25637616329066 nan
_4_ 0.01424038 0.2391916244816132 0.0033228129800687 0.2752614355017086 0.0025587681870185 0.8244973123604599 0.0016799141550221 1.6698074649510284 0.001238092526312 2.126806205121881 0.0015801965354968 2.1397978697358284 0.0019464175238327 2.4004680600408985 0.0054623795061577 0.3975937797953341 0.004394368888232 0.4179183405796449 0.0050039213170017 0.4958774381013948 0.0073075203274044 0.3879979295244261 0.0071471858293319 nan nan nan nan nan nan nan nan
_5_ 0.01788816 0.2940789912559042 0.0029863361432733 0.3086426932374668 0.0021558200732109 0.5691529030438052 0.0021670640826107 0.9537908484689864 0.0013998605610242 0.9249569434445372 0.0015405570936088 0.7607793268949431 0.0017196070890814 0.8096930849232254 0.0058515752506941 0.2411232626307992 0.0044416545415834 0.2574491313437815 0.0061651048603799 0.2571424919541834 0.0089998052355954 0.2013860811106425 0.0083467549211036 0.3253244757327909 0.010786855880338 0.2315210262699475 0.0138605179962557 1.718316219054856 0.1693411613448696 13.451230486739483 nan
_6_ 0.03755626 0.1037364501949693 0.0018744400134092 0.1012244288798863 0.0012640326121406 0.1261453449640431 0.0005086639406903 0.2334467287514781 0.00026036796743 0.1630409318786767 0.0002919965731133 0.1822435443046307 0.0004003656568262 0.1792803998745521 0.0015189654146099 0.080433938968596 0.0031855431162295 0.0817130518163452 0.004816672357173 0.0898203063355184 0.0047154708863576 0.0739996206742486 0.0064066797024144 0.0770400731894506 0.0061022616417815 0.0623146790576177 0.0149798187020008 0.5038517791284022 0.2343526416328913 4.425497532000696 nan
_7_ 0.05817448 0.0414070909242992 0.0044557945154238 0.0484211478034153 0.003496205152738 0.0931795487645782 0.0012589384186349 0.1791948315380222 0.0006542339249896 0.1819447955058333 0.0007952219694681 0.2536437718810861 0.0011802791932119 0.2470442669086852 0.0043218686485012 nan nan nan nan nan nan nan nan 0.1586049894554055 0.0068657878018528 0.1136031917976961 0.01276515394357 1.4424570005603643 0.1341837591437743 7.515571772419884 nan
_8_ 0.09524661 nan nan nan nan 0.1031858567520424 0.0017003251316792 0.145426986873492 0.0008337687027944 0.1309067655991091 0.0010005277992362 0.1900617373738808 0.0015704103452855 0.1338846979136168 0.0048561408717373 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
_9_ 0.01924106 0.0678391985048672 0.0007000391290989 0.0756865710101686 0.0005203003721143 0.1289124774350228 0.0004785222083193 0.2786336953272265 0.0002454847558943 0.3012879153388119 0.0003236060053819 0.3010340963481585 0.0004547800666136 0.333067933020772 0.001496530025671 0.1046677676106363 0.0024019755135852 0.1007061028234149 0.003230610648105 0.1054086728386607 0.0038419229007293 0.0742147520724585 0.0048847191116986 0.1378848892095556 0.006603827513898 0.1004131528679378 0.0123928476700061 nan nan nan nan
_10_ 0.0180647 0.1266690285876694 0.0076506095624742 0.1931294038858197 0.0064991347100004 0.3161870438937522 0.0023450393494651 0.6204476025743788 0.0012044068656882 0.6468552491350852 0.0016237977905096 0.6175307227717545 0.0026825433744445 0.6466049096848259 0.0096584034190661 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
