No.,(m-M),err(m-M),Distance,Method,Reference,Notes,SN Name,Redshift,H0,LMCModulus
7,26.68,0.1,2.17,TRGB,2012A&A...540A..49M,,,,,
8,26.71,0.1,2.2,TRGB,2014A&A...566A..71L,,,,,
9,26.72,0.06,2.21,TRGB,2009ApJS..183...67D,I,,,,
10,26.75,0.05,2.24,TRGB,2006AJ....132..729T,,,,,
11,26.78,0.08,2.27,TRGB,2013AJ....146...86T,,,,74.4,
12,26.8,0.04,2.29,TRGB,2009AJ....138..332J,I,,,,
13,26.8,,2.29,TRGB,2010AJ....140.1038P,"I, M TRGB(I) = -4.05 mag",,,,
14,26.99,0.45,2.5,TRGB,2000AJ....119..177A,,,,,
