No.,(m-M),err(m-M),Distance,Method,Reference,Notes,SN Name,Redshift,H0,LMCModulus
1,30.85,0.05,14.8,Cepheids,2001ApJ...553...47F,"47, VI, KEY PROJECT",,,,
2,30.87,0.07,14.9,Cepheids,2002A&A...389...19P,MW HIPP,,,,
3,30.87,0.05,15.0,Cepheids,2003A&A...411..361K,cte LMC K03,,,,
4,30.88,0.06,15.0,Cepheids,2001ApJ...548..564W,LMC W01,,,,
5,30.88,0.05,15.0,Cepheids,2003A&A...411..361K,cte U99,,,,
6,30.91,0.05,15.2,Cepheids,2003A&A...411..361K,cte LMC STS02,,,,
7,30.97,0.05,15.6,Cepheids,2003A&A...411..361K,cte MW FSG03,,,,
8,30.98,0.2,15.7,Cepheids,2002A&A...389...19P,MW P02,,,,
9,30.99,0.05,15.8,Cepheids,2001ApJ...553...47F,"47, VI, +Z, KEY PROJECT",,,,
10,31.0,0.05,15.9,Cepheids,2003A&A...411..361K,cte MF91,,,,
11,31.02,0.06,16.0,Cepheids,2003A&A...411..361K,cte MW GFG98,,,,
12,31.08,0.07,16.4,Cepheids,2002A&A...383..398P,"64, VI",,,,
13,31.08,0.07,16.4,Cepheids,2002A&A...389...19P,MW GFG,,,,
15,31.1,0.07,16.6,Cepheids,2000ApJ...529..745F,HST KP Calibrated,,,,
16,31.1,0.06,16.6,Cepheids,2003A&A...411..361K,cte MW STS03,,,,
17,31.25,0.04,17.8,Cepheids,2006ApJS..165..108S,LMC ZP,,,,18.54
18,31.25,,17.8,Cepheids,2008A&ARv..15..289T,,,,,18.54
19,31.27,0.07,17.9,Cepheids,2000ApJ...529..768K,"Z, Key Project",,,,
20,31.6,,20.9,Cepheids,2006A&A...452..423P,"27, VI",,,,
