No.,(m-M),err(m-M),Distance,Method,Reference,Notes,SN Name,Redshift,H0,LMCModulus
3,24.1,0.19,0.661,Cepheids,2000ApJ...529..745F,HST KP Calibrated,,,,
13,23.52,0.12,0.506,TRGB,2009AJ....138..332J,I,,,,
14,24.17,0.39,0.682,TRGB,2000ApJ...529..745F,HST KP Calibrated,,,,
15,24.27,0.03,0.715,TRGB,2009ApJ...703..816K,K,,,,
16,24.3,0.25,0.724,TRGB,2015MNRAS.454.1000G,,,,,
17,24.43,0.03,0.769,TRGB,2017ApJ...834...78M,I,,,,
18,24.47,0.11,0.783,TRGB,2009AstL...35..748T,,,,,
19,24.48,0.08,0.787,TRGB,2007ApJ...662..272V,,,,,
20,24.51,0.08,0.798,TRGB,2008ApJ...688L..69S,I,,,,
21,24.6,0.15,0.832,TRGB,2008ApJ...688L..69S,"I, Z",,,,
22,24.95,0.2,0.977,TRGB,2001ApJ...559..225H,I,,,,
11,24.56,0.08,0.817,RR Lyrae,2008ApJ...688L..69S,,,,,
