No.,(m-M),err(m-M),Distance,Method,Reference,Notes,SN Name,Redshift,H0,LMCModulus
1,21.73,0.01,0.222,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep028, VIJHK, 3.6, 4.5(W)",,,,
2,22.42,0.01,0.305,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep025, VIJHK, 3.6, 4.5(W)",,,,
3,23.01,0.01,0.4,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep019, VIJHK, 3.6, 4.5(W)",,,,
4,23.01,0.07,0.4,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep034, VIJHK, 3.6, 4.5(W)",,,,
5,23.09,0.01,0.415,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep027, VIJHK, 3.6, 4.5(W)",,,,
7,23.11,0.07,0.419,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep033, VIJHK, 3.6, 4.5(W)",,,,
9,23.21,0.0,0.439,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep026, VIJHK, 3.6, 4.5(W)",,,,
10,23.22,0.52,0.441,Cepheids,2002A&A...389...19P,MW HIPP,,,,
11,23.23,0.04,0.443,Cepheids,2014A&A...572A..64M,"VI(W), inner, syst. +/- 0.16 mag",,,,
12,23.23,0.07,0.443,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep035, VIJHK, 3.6, 4.5(W)",,,,
13,23.26,0.02,0.449,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep007, VIJHK, 3.6, 4.5(W)",,,,
14,23.27,0.18,0.45,Cepheids,2001ApJ...548..564W,LMC W01,,,,
15,23.27,0.07,0.451,Cepheids,2014A&A...572A..64M,"3.6 micron, inner, syst. +/- 0.27 mag",,,,
16,23.28,0.03,0.453,Cepheids,2014A&A...572A..64M,"VI(W), outer, syst. +/- 0.15 mag",,,,
17,23.28,0.01,0.453,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep002, VIJHK, 3.6, 4.5(W)",,,,
18,23.3,0.4,0.457,Cepheids,2002A&A...389...19P,MW P02,,,,
19,23.3,0.02,0.457,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep003, VIJHK, 3.6, 4.5(W)",,,,
20,23.3,0.04,0.457,Cepheids,2014A&A...572A..64M,"3.6 micron, outer, syst. +/- 0.17 mag",,,,
21,23.3,0.03,0.457,Cepheids,2014A&A...572A..64M,"VI(W), outermost, syst. +/- 0.13 mag",,,,
22,23.31,0.03,0.459,Cepheids,2006ApJS..165..108S,LMC ZP,,,,18.54
23,23.31,0.02,0.46,Cepheids,2006ApJ...647.1056G,"56, JK",,,,
25,23.32,0.05,0.461,Cepheids,2014A&A...572A..64M,"3.6 micron, outermost, syst. +/- 0.16 mag",,,,
26,23.34,0.04,0.466,Cepheids,2004AJ....128.2815P,"45, VI,WI",,,,
27,23.34,0.18,0.466,Cepheids,2010ApJ...715..277B,JK(W),,,,
28,23.34,0.01,0.466,Cepheids,2014ApJ...794..107R,"NGC 6822:[PGU2004] cep018, VIJHK, 3.6, 4.5(W)",,,,
