No.,(m-M),err(m-M),Distance,Method,Reference,Notes,SN Name,Redshift,H0,LMCModulus
2,30.75,0.07,14.1,Cepheids,2001ApJ...547L.103G,"51, VI",,,,
4,30.8,0.05,14.4,Cepheids,2001ApJ...548..564W,LMC W01,,,,
5,30.8,0.07,14.5,Cepheids,2001ApJ...547L.103G,"51, VI +z",,,,
6,30.81,0.03,14.5,Cepheids,2001ApJ...553...47F,"94, VI, KEY PROJECT",,,,
7,30.81,0.03,14.5,Cepheids,2002A&A...389...19P,MW HIPP,,,,
8,30.83,0.04,14.7,Cepheids,2003A&A...411..361K,cte LMC K03,,,,
9,30.84,0.04,14.7,Cepheids,2003A&A...411..361K,cte U99,,,,
10,30.84,0.1,14.7,Cepheids,2013AJ....146...86T,,,,74.4,
11,30.86,0.03,14.9,Cepheids,2001ApJ...553...47F,"94, VI, +Z, KEY PROJECT",,,,
12,30.87,0.04,14.9,Cepheids,2003A&A...411..361K,cte LMC STS02,,,,
13,30.89,0.18,15.1,Cepheids,2002A&A...389...19P,MW P02,,,,
14,30.93,0.04,15.3,Cepheids,2003A&A...411..361K,cte MW FSG03,,,,
15,30.95,0.04,15.5,Cepheids,2000ApJ...530L...5G,"45, VI WF)",,,,
16,30.96,0.04,15.6,Cepheids,2003A&A...411..361K,cte MF91,,,,
17,30.97,0.04,15.7,Cepheids,2003A&A...411..361K,cte MW GFG98,,,,
18,30.98,0.1,15.7,Cepheids,2000ApJ...530L...5G,"6, VI (PC)",,,,
19,30.99,0.07,15.8,Cepheids,2000ApJ...529..723G,"ALLFRAME, Key Project",,,,
20,31.02,0.07,16.0,Cepheids,2000ApJ...529..723G,ALLFRAME,,,,
21,31.02,0.07,16.0,Cepheids,2000ApJ...529..745F,HST KP Calibrated,,,,
22,31.02,0.07,16.0,Cepheids,2000ApJS..128..431F,"51, VI",,,,
24,31.03,0.04,16.1,Cepheids,2002A&A...383..398P,"280, VI",,,,
25,31.03,0.04,16.1,Cepheids,2002A&A...389...19P,MW GFG,,,,
26,31.05,0.04,16.2,Cepheids,2003A&A...411..361K,cte MW STS03,,,,
28,31.12,0.07,16.7,Cepheids,2001ApJ...549..721M,"7, H",,,,
29,31.12,0.09,16.7,Cepheids,2001ApJ...549..721M,"7, I",,,,
31,31.13,0.07,16.8,Cepheids,2000ApJ...529..768K,"Z, Key Project",,,,
32,31.18,0.05,17.2,Cepheids,2006ApJS..165..108S,LMC ZP,,,,18.54
33,31.18,,17.2,Cepheids,2008A&ARv..15..289T,,,,,18.54
34,31.29,0.14,18.1,Cepheids,2001ApJ...549..721M,"7, V",,,,
35,31.37,,18.8,Cepheids,2006A&A...452..423P,"142, VI",,,,
