No.,(m-M),err(m-M),Distance,Method,Reference,Notes,SN Name,Redshift,H0,LMCModulus
1,30.43,0.09,12.2,Cepheids,2009ApJ...699..539R,,,,,
3,30.69,0.07,13.8,Cepheids,2001ApJ...547L.103G,"27, VI",,,,
5,30.76,0.12,14.2,Cepheids,2000ApJ...529..723G,"ALLFRAME, Key Project",,,,
6,30.76,0.07,14.2,Cepheids,2001ApJ...547L.103G,"27, VI +Z",,,,
7,30.77,0.07,14.3,Cepheids,2001ApJ...548..564W,LMC W01,,,,
8,30.77,0.04,14.3,Cepheids,2006ApJ...642L..29N,STR 04 LMC non-linear,,,,
9,30.78,0.07,14.3,Cepheids,2005ApJ...627..579R,35,,,,
10,30.78,0.04,14.4,Cepheids,2006ApJ...642L..29N,STR04 LMC linear,,,,
11,30.79,0.07,14.4,Cepheids,2002A&A...389...19P,MW HIPP,,,,
12,30.79,0.04,14.4,Cepheids,2006ApJ...642L..29N,KN04 LMC non-linear,,,,
13,30.8,0.04,14.5,Cepheids,2001ApJ...553...47F,"35, VI, KEY PROJECT",,,,
14,30.8,0.04,14.5,Cepheids,2006ApJ...642L..29N,KN04 LMC linear,,,,
15,30.81,0.04,14.5,Cepheids,2006ApJ...642L..29N,KN06 LMC linear,,,,
16,30.81,0.04,14.5,Cepheids,2006ApJ...642L..29N,TR02 LMC linear,,,,
17,30.82,0.04,14.6,Cepheids,2006ApJ...642L..29N,KN06 LMC non-linear,,,,
18,30.83,0.1,14.6,Cepheids,2003A&A...411..361K,cte LMC K03,,,,
19,30.83,0.1,14.7,Cepheids,2003A&A...411..361K,cte U99,,,,
20,30.83,0.04,14.7,Cepheids,2006ApJ...642L..29N,TR02 LMC non-linear,,,,
21,30.85,0.1,14.8,Cepheids,2000ApJ...530L...5G,"6, VI (PC)",,,,
22,30.86,0.1,14.9,Cepheids,2003A&A...411..361K,cte LMC STS02,,,,
23,30.87,0.04,14.9,Cepheids,2001ApJ...553...47F,"35, VI, +Z, KEY PROJECT",,,,
24,30.89,0.05,15.0,Cepheids,2000ApJ...530L...5G,"21, VI (WF)",,,,
25,30.91,0.05,15.2,Cepheids,2016ApJ...826...56R,"33, VI(W)",,,,18.49
26,30.9,0.04,15.2,Cepheids,2006ApJ...642L..29N,NK04 GAL,,,,
27,30.91,0.07,15.2,Cepheids,2011ApJ...730..119R,SNIa calibrated,,,,
28,30.92,0.05,15.3,Cepheids,2013MNRAS.434.2866F,"V, I, NIR (W), 49, Syst. +/- 0.32 mag",,,,
29,30.93,0.19,15.3,Cepheids,2002A&A...389...19P,MW P02,,,,
30,30.93,0.1,15.3,Cepheids,2003A&A...411..361K,cte MW FSG03,,,,
31,30.94,0.04,15.4,Cepheids,2006ApJ...642L..29N,STR04 GAL,,,,
32,30.95,0.07,15.5,Cepheids,2000ApJ...529..723G,ALLFRAME,,,,
33,30.95,0.07,15.5,Cepheids,2000ApJ...529..745F,HST KP Calibrated,,,,
34,30.96,0.1,15.6,Cepheids,2003A&A...411..361K,cte MF91,,,,
35,30.99,0.1,15.8,Cepheids,2003A&A...411..361K,cte MW GFG98,,,,
36,31.03,0.07,16.1,Cepheids,2000ApJ...529..768K,"Z, Key Project",,,,
37,31.04,0.06,16.1,Cepheids,2002A&A...383..398P,"153, VI",,,,
38,31.04,0.06,16.1,Cepheids,2002A&A...389...19P,MW GFG,,,,
39,31.07,0.1,16.4,Cepheids,2003A&A...411..361K,cte MW STS03,,,,
41,31.24,0.09,17.7,Cepheids,2006ApJS..165..108S,LMC ZP,,,,18.54
42,31.24,,17.7,Cepheids,2008A&ARv..15..289T,,,,,18.54
43,31.46,0.15,19.6,Cepheids,2001ApJ...549..721M,"2, I",,,,
44,31.47,0.15,19.7,Cepheids,2001ApJ...549..721M,"2, H",,,,
45,31.51,0.21,20.0,Cepheids,2001ApJ...549..721M,"2, V",,,,
46,31.6,,20.9,Cepheids,2006A&A...452..423P,"75, VI",,,,
