No.,(m-M),err(m-M),Distance,Method,Reference,Notes,SN Name,Redshift,H0,LMCModulus
1,31.1,0.05,16.6,Cepheids,2001ApJ...553...47F,"8, VI, KEY PROJECT",,,,
2,31.1,0.04,16.6,Cepheids,2003A&A...411..361K,cte LMC K03,,,,
3,31.1,0.04,16.6,Cepheids,2003A&A...411..361K,cte U99,,,,
4,31.13,0.05,16.9,Cepheids,2003A&A...411..361K,cte LMC STS02,,,,
5,31.15,0.11,17.0,Cepheids,2001ApJ...547L.103G,"9, VI",,,,
6,31.17,0.13,17.1,Cepheids,2001ApJ...548..564W,LMC W01,,,,
7,31.2,0.05,17.4,Cepheids,2003A&A...411..361K,cte MW FSG03,,,,
8,31.24,0.05,17.7,Cepheids,2001ApJ...553...47F,"8, VI, +Z, KEY PROJECT",,,,
9,31.24,0.05,17.7,Cepheids,2003A&A...411..361K,cte MF91,,,,
10,31.27,0.05,17.9,Cepheids,2002A&A...389...19P,MW HIPP,,,,
11,31.27,0.06,17.9,Cepheids,2003A&A...411..361K,cte MW GFG98,,,,
12,31.29,0.11,18.1,Cepheids,2001ApJ...547L.103G,"9, VI +Z",,,,
13,31.34,0.06,18.6,Cepheids,2003A&A...411..361K,cte MW STS03,,,,
14,31.35,0.26,18.6,Cepheids,2002A&A...389...19P,MW P02,,,,
16,31.41,0.1,19.1,Cepheids,2000ApJ...529..723G,ALLFRAME,,,,
17,31.41,0.1,19.1,Cepheids,2000ApJ...529..745F,HST KP Calibrated,,,,
18,31.62,0.09,21.1,Cepheids,2002A&A...383..398P,"18, VI",,,,
19,31.62,0.09,21.1,Cepheids,2002A&A...389...19P,MW GFG,,,,
20,31.65,0.17,21.4,Cepheids,2006ApJS..165..108S,LMC ZP,,,,18.54
21,31.65,,21.4,Cepheids,2008A&ARv..15..289T,,,,,18.54
