No.,(m-M),err(m-M),Distance,Method,Reference,Notes,SN Name,Redshift,H0,LMCModulus
7,17.75,0.18,0.0355,Cepheids,2013A&A...550A..70G,"HV 12717, 1, VK(W), Baade-Wesselink",,,,
8,17.77,0.13,0.0358,Cepheids,2013A&A...550A..70G,"HV 12202, 1, VK(W), Baade-Wesselink",,,,
9,17.89,0.07,0.0379,Cepheids,2013A&A...550A..70G,"HV 2369, 1, VK(W), Baade-Wesselink",,,,
10,17.93,0.13,0.0385,Cepheids,2013A&A...550A..70G,"HV 12197, 1, VK(W), Baade-Wesselink",,,,
11,17.96,0.12,0.039,Cepheids,2013A&A...550A..70G,"HV 12815, 1, VK(W), Baade-Wesselink",,,,
12,17.99,0.08,0.0396,Cepheids,2013A&A...550A..70G,"HV 12452, 1, VK(W), Baade-Wesselink",,,,
13,18.03,0.05,0.0403,Cepheids,2013A&A...550A..70G,"HV 881, 1, VK(W), Baade-Wesselink",,,,
14,18.04,0.06,0.0406,Cepheids,2013A&A...550A..70G,"HV 909, 1, VK(W), Baade-Wesselink",,,,
15,18.05,0.09,0.0408,Cepheids,2013A&A...550A..70G,"HV 2827, 1, VK(W), Baade-Wesselink",,,,
18,18.1,,0.0417,Cepheids,2011ApJ...741L..36M,Z,,,,
19,18.15,0.08,0.0426,Cepheids,2013A&A...550A..70G,"HV 1006, 1, VK(W), Baade-Wesselink",,,,
20,18.17,0.14,0.043,Cepheids,2013A&A...550A..70G,"HV 879, 1, VK(W), Baade-Wesselink",,,,
21,18.17,0.06,0.0431,Cepheids,2005A&A...440..487S,"NGC 1866, HV 12197",,,,
22,18.18,0.04,0.0433,Cepheids,2013A&A...550A..70G,"HV 2338, 1, VK(W), Baade-Wesselink",,,,
25,18.2,0.04,0.0437,Cepheids,2005A&A...440..487S,"NGC 1866, HV 12204",,,,
26,18.22,0.09,0.0441,Cepheids,2013A&A...550A..70G,"HV 1005, 1, VK(W), Baade-Wesselink",,,,
27,18.25,0.05,0.0447,Cepheids,2013A&A...550A..70G,"HV 2282, 1, VK(W), Baade-Wesselink",,,,
28,18.25,0.08,0.0448,Cepheids,2013A&A...550A..70G,"HV 876, 1, VK(W), Baade-Wesselink",,,,
29,18.26,0.04,0.0449,Cepheids,2011A&A...534A..94S,"IRSB, PL2",,,,
30,18.26,0.14,0.0449,Cepheids,2013A&A...550A..70G,"HV 12203, 1, VK(W), Baade-Wesselink",,,,
31,18.28,0.05,0.0454,Cepheids,2013A&A...550A..70G,"HV 900, 1, VK(W), Baade-Wesselink",,,,
32,18.29,0.1,0.0454,Cepheids,2013A&A...550A..70G,"HV 12204, 1, VK(W), Baade-Wesselink",,,,
34,18.29,0.07,0.0455,Cepheids,2005A&A...440..487S,"NGC 1866, HV 12202",,,,
35,18.29,0.02,0.0455,Cepheids,2013A&A...550A..70G,"36, K, Baade-Wesselink",,,,
36,18.3,0.13,0.0457,Cepheids,2013A&A...550A..70G,"HV 2549, 1, VK(W), Baade-Wesselink",,,,
37,18.3,0.04,0.0457,Cepheids,2003AJ....125.1261D,,,,,
38,18.3,0.07,0.0457,Cepheids,2005A&A...440..487S,"NGC 1866, 6, JK",,,,
39,18.31,0.1,0.0459,Cepheids,2013A&A...550A..70G,"HV 5655, 1, VK(W), Baade-Wesselink",,,,
40,18.31,0.03,0.0459,Cepheids,2005A&A...440..487S,"NGC 1866, HV 12198",,,,
42,18.32,0.01,0.0461,Cepheids,2003AJ....125.1261D,,,,,
43,18.32,0.05,0.0462,Cepheids,2013A&A...550A..70G,"HV 2257, 1, VK(W), Baade-Wesselink",,,,
44,18.34,0.09,0.0466,Cepheids,2005A&A...440..487S,"NGC 1866, HV 12199",,,,
45,18.34,0.06,0.0466,Cepheids,2007ApJ...671.1640A,,,,,
46,18.34,0.07,0.0467,Cepheids,2013A&A...550A..70G,"HV 12505, 1, VK(W), Baade-Wesselink",,,,
47,18.35,0.03,0.0468,Cepheids,2002A&A...389...19P,MW GFG,,,,
48,18.36,0.03,0.047,Cepheids,2002A&A...383..398P,"947, VI",,,,
49,18.36,0.06,0.047,Cepheids,2007A&A...476..863F,"10, W, ISB, Z",,,,
50,18.36,0.15,0.047,Cepheids,2013A&A...550A..70G,"HV 12816, 1, VK(W), Baade-Wesselink",,,,
51,18.37,,0.0472,Cepheids,2002A&A...389...19P,MW HIPP,,,,
52,18.37,0.14,0.0472,Cepheids,2002A&A...389...19P,MW P02,,,,
