    0.329374457231029822E+02    0.525485103294411182E+01    0.645720972474033372E+00   -0.266016873834968806E+03
    0.334223904376516217E+02    0.494795918030623838E+01    0.737207275363641945E+00   -0.265308806989353059E+03
    0.325610285780210873E+02    0.564960101841693429E+01    0.529311212831837463E+00   -0.264750026998110286E+03
    0.325992930346901133E+02    0.560650247603688623E+01    0.551332686203953926E+00   -0.263768317998667612E+03
    0.327238099020801698E+02    0.550079238171524043E+01    0.534493146244765072E+00   -0.262927190363826867E+03
    0.336710801854098492E+02    0.467992815258349282E+01    0.782799804123091802E+00   -0.262291589716899864E+03
    0.327479433856522988E+02    0.548348564644850534E+01    0.538494261402534868E+00   -0.262116084995140511E+03
    0.337114793510748356E+02    0.471057701720688193E+01    0.703680502460670154E+00   -0.262052794907260306E+03
    0.327017801711836356E+02    0.553037976524884378E+01    0.531870469981034044E+00   -0.261986129250929707E+03
    0.335452451552557633E+02    0.476644469983208019E+01    0.834958865612372980E+00   -0.261985492245689727E+03
    0.332997564216948092E+02    0.502883876390524875E+01    0.620296097049366280E+00   -0.261815369813721418E+03
    0.331714849907560989E+02    0.512907341348403545E+01    0.704967453286688639E+00   -0.261782886238689571E+03
    0.338349230981944089E+02    0.457877576065486736E+01    0.828854298679145174E+00   -0.261780604976147970E+03
    0.334896847771376400E+02    0.493116422465453308E+01    0.640319171022037836E+00   -0.261765687770706052E+03
    0.330704879664559783E+02    0.514707318103012135E+01    0.696474255894666383E+00   -0.261722124941504887E+03
    0.332370728210903863E+02    0.514229732439170384E+01    0.589369143325441325E+00   -0.261676009096248606E+03
    0.331206195238578545E+02    0.518540829609682863E+01    0.579492346844788009E+00   -0.261593788466311878E+03
    0.327368949882942246E+02    0.546889541180620053E+01    0.605162878792712244E+00   -0.261533429860615229E+03
    0.336106424763874116E+02    0.477144910436451308E+01    0.697904462600634545E+00   -0.261529135326458061E+03
    0.331605782701136675E+02    0.518670630065809490E+01    0.565322233292032239E+00   -0.261514440592046867E+03
    0.330620060345261635E+02    0.527810662963516553E+01    0.578158692324292955E+00   -0.261454477142431870E+03
    0.337704877472468254E+02    0.463020357642182834E+01    0.765882871446712077E+00   -0.261439888018167608E+03
    0.333721564353263176E+02    0.498250539719776420E+01    0.722058947428232845E+00   -0.261361680204757079E+03
    0.334249246949601968E+02    0.491970047136247857E+01    0.760861273071019362E+00   -0.261289024024506034E+03
    0.327884021448245733E+02    0.545281313433039205E+01    0.593346523227632705E+00   -0.261253181992531836E+03
    0.334098378073168547E+02    0.487060496715953484E+01    0.800851353963023649E+00   -0.261243372661461137E+03
    0.335734367181199787E+02    0.478370796911408824E+01    0.713584428651356406E+00   -0.261176132829528342E+03
    0.336667799982893072E+02    0.471166284531097634E+01    0.817330494735847957E+00   -0.261163262340317317E+03
    0.337397442536791417E+02    0.466305451980359198E+01    0.744762479579430092E+00   -0.261154882373043165E+03
    0.328429439766668736E+02    0.535357814273660892E+01    0.644278676802499395E+00   -0.261136318361227666E+03
    0.332031089770830476E+02    0.514209384488564858E+01    0.650884557853786072E+00   -0.261035522100582966E+03
    0.328436758895563230E+02    0.538837823575014063E+01    0.629357496448535558E+00   -0.261033451363916583E+03
    0.334701058473012978E+02    0.489647928308661928E+01    0.748929653924791938E+00   -0.261031452169121565E+03
    0.336714478295467146E+02    0.467277820022865331E+01    0.826407064470195296E+00   -0.261030763429423075E+03
